,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
0,-1.0,1010281346.0,103054538.0,107697965.0,109487586.0,109490516.0,109768493.0,116811672.0,118018085.0,118337595.0,122110275.0,1245780218.0,128722739.0,129184965.0,131077750.0,139639208.0,14126888.0,142201164.0,1431355759.0,14366730.0,144456701.0,146851150.0,148852001.0,152402609.0,15929489.0,1610929369.0,1614394123.0,1650273846.0,167721293.0,17024864.0,17832792.0,184527386.0,18628962.0,190183755.0,193056924.0,19485425.0,19510901.0,198060171.0,204759478.0,20760385.0,209614944.0,212201932.0,213093629.0,2164373851.0,218488473.0,224837380.0,230964567.0,237151318.0,2384189976.0,2401965241.0,24417811.0,2449196382.0,246186910.0,247222343.0,263966194.0,269758445.0,277888342.0,280454457.0,28219493.0,2850686405.0,2852967782.0,289226217.0,289290833.0,296131581.0,2988344625.0,30221116.0,302911816.0,3041707718.0,30424326.0,3050123929.0,3082674381.0,30897766.0,3165778374.0,316960866.0,321573281.0,3245989152.0,32531990.0,32899653.0,334550812.0,335909051.0,3401116798.0,34433212.0,3524061496.0,36440383.0,369576018.0,369962119.0,3727790122.0,376027090.0,38673698.0,389776342.0,390677158.0,394787935.0,39565575.0,3958333694.0,396641438.0,40901072.0,41032068.0,41036997.0,412686379.0,41751269.0,43313884.0,439075171.0,44616469.0,448147713.0,45196227.0,463645413.0,471175527.0,490835855.0,50054358.0,500735156.0,54853852.0,54860800.0,553452236.0,57254910.0,577039111.0,57972437.0,580805749.0,600026645.0,600734509.0,60098791.0,610875376.0,62216770.0,636479512.0,65510604.0,65585237.0,69863404.0,69865217.0,71772133.0,7.242797946077635e+17,735037099.0,75035059.0,7.583418613417984e+17,75960384.0,766071.0,82972071.0,83057072.0,833877799.0,83561688.0,8.396193322923704e+17,85556211.0,86072022.0,861912342.0,891767725.0,9.456098351770214e+17,95030291.0,95412496.0
1,1010281346.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2,103054538.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,4.0,25.0,1.0,2.0,2.0,3.0,0.0,15.0,1.0,5.0,14.0,0.0,8.0,5.0,0.0,26.0,7.0,7.0,37.0,0.0,41.0,0.0,11.0,4.0,2.0,0.0,3.0,24.0,2.0,1.0,6.0,4.0,0.0,19.0,0.0,3.0,3.0,41.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,2.0,10.0,0.0,14.0,0.0,0.0,4.0,9.0,5.0,7.0,4.0,1.0,14.0,6.0,6.0,3.0,14.0,19.0,5.0,0.0,3.0,16.0,17.0,0.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,1.0,6.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,4.0,2.0,13.0,3.0,11.0,1.0,1.0,0.0,14.0,1.0,0.0,12.0,4.0,2.0,2.0,3.0,8.0,0.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,7.0,4.0,8.0,7.0,0.0,4.0,1.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0
3,107697965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
4,109487586.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,109490516.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
6,109768493.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,6.0,1.0,0.0,7.0,0.0,6.0,0.0,3.0,4.0,8.0,2.0,1.0,0.0,5.0,6.0,1.0,2.0,0.0,18.0,0.0,2.0,2.0,2.0,0.0,2.0,5.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,9.0,9.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,11.0,0.0,0.0,2.0,5.0,2.0,2.0,5.0,0.0,3.0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,2.0,1.0,3.0,0.0,4.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0
7,116811672.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,10.0,0.0,3.0,6.0,2.0,1.0,1.0,0.0,4.0,3.0,0.0,2.0,5.0,8.0,0.0,5.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,3.0,9.0,1.0,8.0,3.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,26.0,2.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,10.0,11.0,7.0,9.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,11.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,6.0,6.0,0.0,0.0,1.0,9.0,8.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,7.0
8,118018085.0,0.0,10.0,0.0,0.0,2.0,11.0,7.0,0.0,34.0,11.0,18.0,5.0,5.0,57.0,0.0,67.0,3.0,21.0,28.0,6.0,31.0,10.0,0.0,29.0,15.0,5.0,16.0,9.0,98.0,0.0,17.0,40.0,4.0,5.0,10.0,33.0,10.0,2.0,33.0,9.0,0.0,33.0,0.0,29.0,5.0,37.0,0.0,0.0,37.0,6.0,1.0,0.0,5.0,13.0,4.0,21.0,13.0,0.0,7.0,8.0,2.0,22.0,2.0,2.0,7.0,9.0,35.0,5.0,46.0,5.0,67.0,26.0,143.0,51.0,50.0,6.0,42.0,2.0,5.0,30.0,86.0,0.0,19.0,14.0,11.0,61.0,31.0,4.0,12.0,2.0,16.0,24.0,0.0,3.0,8.0,2.0,7.0,0.0,6.0,17.0,18.0,65.0,9.0,94.0,9.0,30.0,8.0,8.0,3.0,5.0,35.0,4.0,20.0,14.0,24.0,23.0,1.0,10.0,5.0,8.0,33.0,5.0,39.0,5.0,0.0,1.0,1.0,6.0,111.0,24.0,2.0,6.0,6.0,135.0,43.0,0.0,8.0,19.0,5.0,6.0,7.0,1.0,2.0,13.0,8.0
9,118337595.0,0.0,4.0,1.0,0.0,2.0,0.0,2.0,34.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,13.0,4.0,11.0,18.0,8.0,16.0,8.0,0.0,10.0,4.0,0.0,4.0,7.0,11.0,0.0,17.0,10.0,4.0,1.0,1.0,12.0,4.0,0.0,22.0,9.0,0.0,5.0,0.0,11.0,1.0,14.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,2.0,1.0,18.0,5.0,24.0,2.0,6.0,8.0,11.0,6.0,11.0,1.0,20.0,0.0,1.0,0.0,10.0,0.0,11.0,2.0,5.0,4.0,8.0,6.0,2.0,2.0,16.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,15.0,1.0,15.0,1.0,30.0,2.0,3.0,20.0,0.0,1.0,2.0,12.0,0.0,3.0,6.0,12.0,14.0,0.0,4.0,6.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,0.0,8.0,15.0,8.0,0.0,1.0,10.0,19.0,16.0,0.0,3.0,10.0,1.0,2.0,11.0,0.0,0.0,5.0,1.0
