,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,-1.0,100370101.0,102721127.0,109550596.0,110739821.0,111153571.0,115508152.0,1177565731.0,132336370.0,134508565.0,141204035.0,144103037.0,150200769.0,150983065.0,158211348.0,16390177.0,172775211.0,173001733.0,190702011.0,19108742.0,191753329.0,194095677.0,20560375.0,21014323.0,212246121.0,221667796.0,228104529.0,230497699.0,2328198810.0,2560632890.0,268300037.0,268624155.0,26946838.0,2723490176.0,289781808.0,290979303.0,299485155.0,3017879730.0,3046520109.0,3054297324.0,311859741.0,314507974.0,322210206.0,3303353729.0,358546924.0,36358782.0,366489639.0,377341937.0,393218271.0,39454125.0,417552156.0,42620217.0,45894894.0,461037420.0,463810225.0,48302346.0,495712859.0,51911971.0,524080952.0,566083800.0,570287773.0,58812687.0,67098975.0,68127286.0,73729430.0,7389872.0,77946084.0,7.985287543350886e+17,820837604.0,833877799.0,86012021.0,890515868.0,91649023.0,92251040.0
1,100370101.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,102721127.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,109550596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,110739821.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,5.0,3.0,15.0,15.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,34.0,2.0,1.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,8.0,0.0,5.0,2.0,5.0,2.0,5.0,16.0,3.0,7.0,19.0,13.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,5.0
5,111153571.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,9.0,0.0,19.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,10.0,2.0,9.0,4.0,13.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0
6,115508152.0,1.0,1.0,0.0,5.0,6.0,0.0,1.0,4.0,2.0,1.0,1.0,4.0,0.0,1.0,9.0,10.0,16.0,1.0,114.0,11.0,17.0,6.0,1.0,6.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,0.0,62.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,1.0,5.0,4.0,14.0,0.0,28.0,0.0,15.0,0.0,0.0,1.0,0.0,20.0,2.0,4.0,4.0,1.0,4.0,11.0,56.0,7.0,13.0,13.0,45.0,2.0,2.0,17.0,0.0,4.0,3.0,14.0,19.0
7,1177565731.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,5.0,6.0,1.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
8,132336370.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9,134508565.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
