,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
0,-1.0,103941857.0,104628106.0,105015714.0,106389093.0,107435589.0,111652047.0,112555383.0,113009001.0,114233257.0,11430852.0,115893687.0,11679492.0,117776777.0,1224729361.0,14546538.0,145622254.0,1489361083.0,154167199.0,15528513.0,157496596.0,163277484.0,166478864.0,166621885.0,168165602.0,1699770344.0,170249335.0,174495295.0,176783586.0,18020423.0,180586850.0,18103141.0,18248380.0,190333186.0,192450770.0,1946097283.0,20406764.0,20553996.0,211816466.0,218683531.0,222451083.0,230763219.0,24863193.0,2511876565.0,258221375.0,26008098.0,2647218602.0,267323271.0,2691599196.0,26946099.0,27106253.0,27589757.0,2835747097.0,29153853.0,303771372.0,310341169.0,31129986.0,3179338645.0,320593371.0,32277570.0,3250616256.0,326161193.0,3266152297.0,32810761.0,331462259.0,365900821.0,36641694.0,377158991.0,3791121015.0,38975387.0,39711148.0,39714583.0,399886105.0,40635936.0,408514223.0,439339259.0,44188505.0,45312342.0,4535742193.0,45593493.0,4647876433.0,48416262.0,49310742.0,52563037.0,59544745.0,61748941.0,622781563.0,63380894.0,64782378.0,65724589.0,66041607.0,71073037.0,74262470.0,75903057.0,791693863.0,79312296.0,800349540.0,805962090.0,82041060.0,82050919.0,82960773.0,86485949.0,873448334.0,883311679.0,9.293780259001876e+17,9.448930963656417e+17,95422526.0,95873132.0,973960110.0,98175911.0
1,103941857.0,0.0,5.0,4.0,37.0,0.0,0.0,3.0,28.0,2.0,14.0,4.0,1.0,0.0,0.0,2.0,30.0,4.0,3.0,0.0,0.0,2.0,3.0,12.0,14.0,13.0,13.0,2.0,0.0,3.0,3.0,2.0,1.0,5.0,8.0,1.0,2.0,0.0,18.0,22.0,8.0,0.0,2.0,3.0,2.0,38.0,26.0,0.0,0.0,2.0,8.0,1.0,3.0,1.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,24.0,1.0,3.0,8.0,7.0,45.0,1.0,2.0,0.0,2.0,0.0,13.0,2.0,2.0,0.0,26.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,15.0,0.0,23.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,8.0,1.0,2.0,5.0,11.0,1.0,1.0,7.0,0.0,0.0,2.0,0.0,5.0
2,104628106.0,5.0,0.0,1.0,9.0,0.0,2.0,0.0,12.0,0.0,13.0,1.0,1.0,0.0,1.0,2.0,20.0,7.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,5.0,0.0,0.0,1.0,1.0,0.0,11.0,1.0,2.0,0.0,1.0,0.0,14.0,15.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,3.0,5.0,3.0,18.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
3,105015714.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,1.0,0.0,3.0,5.0,6.0,0.0,3.0,0.0,0.0,9.0,6.0,2.0,0.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,106389093.0,37.0,9.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,18.0,1.0,0.0,0.0,1.0,1.0,97.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,17.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,3.0,1.0,0.0,16.0,30.0,0.0,1.0,0.0,6.0,6.0,24.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0,21.0,0.0,4.0,9.0,5.0,34.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,24.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0
5,107435589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,111652047.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,112555383.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,23.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,113009001.0,28.0,12.0,4.0,51.0,0.0,0.0,0.0,0.0,1.0,39.0,4.0,5.0,0.0,1.0,7.0,77.0,10.0,32.0,0.0,0.0,1.0,2.0,1.0,3.0,23.0,14.0,2.0,0.0,4.0,2.0,2.0,1.0,1.0,21.0,1.0,3.0,1.0,27.0,42.0,1.0,0.0,2.0,5.0,3.0,26.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,7.0,52.0,0.0,12.0,19.0,11.0,55.0,1.0,10.0,2.0,1.0,0.0,14.0,4.0,14.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,29.0,1.0,15.0,3.0,0.0,2.0,3.0,3.0,3.0,0.0,2.0,1.0,0.0,18.0,8.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,4.0
9,114233257.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,11.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,1.0,0.0,5.0,3.0,17.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,1.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
