,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,-1.0,10618512.0,107169298.0,113676296.0,120047678.0,122425883.0,123907301.0,130416809.0,133356112.0,135950053.0,137702613.0,141201481.0,145535500.0,1536843788.0,1568307234.0,163126057.0,165798073.0,16704201.0,171503248.0,18760423.0,19141489.0,193372441.0,193789986.0,20508216.0,2256322368.0,226234506.0,2272941120.0,2349788929.0,23715801.0,240193993.0,241058503.0,248292872.0,259885385.0,26101075.0,2616922178.0,27784284.0,28306935.0,2855589413.0,291296410.0,2915449136.0,2917824892.0,295205608.0,303932348.0,30712777.0,30860019.0,3108540594.0,312584835.0,3127248759.0,332173629.0,353605767.0,356114607.0,40448509.0,409576326.0,427819419.0,43725438.0,438753512.0,45679767.0,47652385.0,476564417.0,491958813.0,522904750.0,52341168.0,53196186.0,552468440.0,573821039.0,583127755.0,608833661.0,64201471.0,705349225.0,7.056691031601562e+17,71073121.0,7.771854729550316e+17,792468451.0,8.049276574606746e+17,842560730.0,8.710402062160691e+17,8.969258480366674e+17,897521796.0,9.249099439202345e+17,9.391955994249626e+17
1,10618512.0,0.0,4.0,0.0,5.0,12.0,6.0,1.0,21.0,0.0,1.0,65.0,6.0,0.0,14.0,14.0,4.0,27.0,0.0,13.0,2.0,2.0,6.0,9.0,26.0,1.0,14.0,0.0,51.0,29.0,9.0,39.0,0.0,3.0,3.0,4.0,11.0,34.0,1.0,23.0,12.0,0.0,5.0,16.0,24.0,9.0,129.0,27.0,4.0,0.0,8.0,15.0,4.0,9.0,4.0,0.0,25.0,6.0,3.0,9.0,0.0,0.0,2.0,5.0,13.0,0.0,23.0,2.0,13.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,14.0,5.0,0.0,0.0
2,107169298.0,4.0,0.0,1.0,0.0,13.0,2.0,0.0,6.0,0.0,0.0,11.0,0.0,1.0,7.0,4.0,0.0,13.0,0.0,2.0,1.0,1.0,4.0,2.0,9.0,0.0,6.0,0.0,23.0,4.0,5.0,8.0,1.0,1.0,2.0,0.0,6.0,18.0,0.0,5.0,3.0,0.0,1.0,1.0,3.0,1.0,32.0,5.0,2.0,0.0,3.0,7.0,13.0,3.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,2.0
3,113676296.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,120047678.0,5.0,0.0,1.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,13.0,2.0,0.0,7.0,7.0,2.0,3.0,0.0,3.0,3.0,0.0,1.0,6.0,2.0,1.0,3.0,0.0,3.0,4.0,4.0,7.0,0.0,1.0,2.0,1.0,4.0,14.0,0.0,3.0,3.0,0.0,6.0,3.0,3.0,3.0,17.0,2.0,11.0,0.0,7.0,7.0,0.0,3.0,1.0,0.0,7.0,2.0,9.0,8.0,0.0,0.0,1.0,0.0,6.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0
5,122425883.0,12.0,13.0,3.0,3.0,0.0,8.0,1.0,4.0,1.0,20.0,6.0,1.0,7.0,3.0,4.0,2.0,6.0,1.0,12.0,5.0,0.0,35.0,4.0,52.0,8.0,3.0,0.0,42.0,9.0,3.0,28.0,0.0,25.0,3.0,1.0,3.0,11.0,0.0,8.0,4.0,0.0,2.0,3.0,2.0,3.0,43.0,5.0,2.0,0.0,6.0,4.0,11.0,5.0,0.0,0.0,10.0,3.0,5.0,38.0,0.0,0.0,0.0,5.0,7.0,0.0,10.0,1.0,12.0,7.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0
6,123907301.0,6.0,2.0,0.0,4.0,8.0,0.0,3.0,12.0,0.0,2.0,55.0,2.0,0.0,21.0,12.0,10.0,16.0,0.0,3.0,8.0,4.0,7.0,20.0,15.0,0.0,15.0,0.0,5.0,4.0,15.0,18.0,0.0,1.0,0.0,2.0,15.0,30.0,0.0,13.0,17.0,0.0,7.0,4.0,9.0,24.0,25.0,4.0,11.0,0.0,11.0,19.0,0.0,6.0,2.0,0.0,14.0,1.0,7.0,25.0,0.0,0.0,1.0,2.0,19.0,0.0,39.0,5.0,7.0,1.0,0.0,3.0,7.0,0.0,3.0,0.0,9.0,4.0,0.0,0.0
7,130416809.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,5.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
8,133356112.0,21.0,6.0,0.0,5.0,4.0,12.0,6.0,0.0,0.0,1.0,195.0,16.0,0.0,144.0,12.0,42.0,110.0,0.0,16.0,4.0,12.0,4.0,10.0,66.0,0.0,49.0,0.0,8.0,16.0,31.0,27.0,2.0,0.0,4.0,9.0,74.0,146.0,0.0,47.0,3.0,0.0,6.0,32.0,24.0,39.0,29.0,32.0,6.0,0.0,21.0,30.0,0.0,32.0,11.0,0.0,16.0,15.0,5.0,58.0,0.0,1.0,18.0,4.0,104.0,0.0,74.0,14.0,61.0,13.0,2.0,10.0,11.0,0.0,16.0,0.0,38.0,7.0,1.0,3.0
9,135950053.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
