,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-1.0,115606955.0,1163791608.0,1188534109.0,123907301.0,1263991770.0,130307355.0,132095682.0,140493128.0,1542059156.0,1543161900.0,157185091.0,1586431392.0,1610054502.0,16704201.0,17481929.0,187196080.0,214351319.0,2171819712.0,2181547820.0,2259280134.0,2298981186.0,2543412949.0,255486286.0,2567411066.0,2587721076.0,2600838450.0,2629973298.0,264596079.0,2752498194.0,276405865.0,2816569681.0,281949458.0,2834604770.0,2847540974.0,2874712030.0,2888091850.0,2913790430.0,2916782406.0,3106953674.0,3195119005.0,3220374884.0,3224841817.0,3247646198.0,3258463434.0,3258579024.0,3260824657.0,3273271488.0,3289015916.0,3300687463.0,3317830448.0,336942724.0,3454733414.0,3740548814.0,3970441639.0,413183905.0,4164266719.0,417479326.0,4207660557.0,421929408.0,438142822.0,4798093214.0,4835481672.0,521078882.0,55200138.0,5894192.0,626419045.0,70664813.0,7.070887039407309e+17,7.085208463026504e+17,7.154919439505859e+17,7.396228867685622e+17,7.493381327392645e+17,7.530743871595725e+17,7.54341597354029e+17,7.750224627108782e+17,7.882217107429786e+17,7.917110648450867e+17,7.945182830136156e+17,7.985419742108918e+17,8.101679856379044e+17,81861754.0,83038653.0,8.402196283202314e+17,8.56836808319144e+17,8.616369785461023e+17,8.686954177851351e+17,8.745178935006413e+17,8.803131015428588e+17,8.808390248515625e+17,8.873168851375718e+17,88752232.0,8.920189074809405e+17,8.972677363964314e+17,9.028665172466196e+17,9.22718906946433e+17,9.339859149545636e+17,9.40988241036972e+17,9.438973223536968e+17,947416164.0
1,115606955.0,0.0,7.0,0.0,3.0,0.0,31.0,4.0,0.0,5.0,46.0,0.0,1.0,2.0,22.0,0.0,5.0,0.0,21.0,21.0,0.0,12.0,10.0,19.0,46.0,2.0,20.0,3.0,0.0,2.0,2.0,2.0,21.0,11.0,22.0,14.0,24.0,12.0,16.0,6.0,8.0,2.0,6.0,1.0,8.0,0.0,6.0,15.0,11.0,7.0,9.0,2.0,14.0,0.0,0.0,16.0,16.0,0.0,20.0,0.0,5.0,2.0,12.0,15.0,6.0,1.0,6.0,19.0,6.0,2.0,4.0,14.0,14.0,0.0,10.0,5.0,7.0,15.0,14.0,2.0,0.0,7.0,0.0,0.0,4.0,12.0,0.0,10.0,27.0,13.0,0.0,1.0,0.0,6.0,34.0,6.0,3.0,0.0,21.0,5.0
2,1163791608.0,7.0,0.0,0.0,10.0,0.0,29.0,9.0,2.0,2.0,69.0,0.0,2.0,2.0,21.0,0.0,11.0,2.0,64.0,78.0,0.0,41.0,53.0,49.0,82.0,17.0,56.0,9.0,4.0,10.0,4.0,9.0,51.0,1.0,71.0,61.0,36.0,38.0,60.0,18.0,30.0,4.0,6.0,8.0,35.0,2.0,16.0,45.0,54.0,35.0,10.0,4.0,40.0,0.0,1.0,58.0,32.0,2.0,46.0,3.0,3.0,11.0,28.0,13.0,35.0,4.0,12.0,51.0,15.0,10.0,8.0,52.0,52.0,3.0,3.0,17.0,34.0,55.0,60.0,6.0,10.0,23.0,0.0,2.0,26.0,8.0,0.0,17.0,68.0,41.0,0.0,8.0,3.0,22.0,52.0,10.0,13.0,0.0,49.0,18.0
3,1188534109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,123907301.0,3.0,10.0,0.0,0.0,0.0,12.0,0.0,4.0,38.0,18.0,1.0,1.0,15.0,16.0,0.0,5.0,5.0,7.0,11.0,0.0,2.0,18.0,4.0,34.0,6.0,9.0,11.0,0.0,4.0,2.0,1.0,29.0,0.0,22.0,9.0,2.0,4.0,9.0,3.0,3.0,0.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,13.0,0.0,0.0,7.0,4.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,9.0,3.0,21.0,23.0,1.0,0.0,2.0,20.0,16.0,0.0,0.0,2.0,8.0,6.0,32.0,7.0,2.0,22.0,2.0,0.0,1.0,3.0,0.0,1.0,12.0,1.0,0.0,13.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,16.0
5,1263991770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6,130307355.0,31.0,29.0,0.0,12.0,0.0,0.0,10.0,4.0,32.0,140.0,2.0,2.0,22.0,72.0,0.0,18.0,13.0,62.0,83.0,0.0,55.0,55.0,57.0,134.0,20.0,52.0,19.0,0.0,13.0,9.0,5.0,77.0,3.0,89.0,55.0,43.0,47.0,49.0,33.0,37.0,6.0,6.0,24.0,25.0,13.0,9.0,49.0,66.0,32.0,10.0,7.0,38.0,0.0,2.0,69.0,32.0,2.0,53.0,2.0,7.0,12.0,32.0,30.0,55.0,15.0,18.0,56.0,11.0,7.0,11.0,67.0,70.0,2.0,7.0,22.0,29.0,64.0,73.0,25.0,8.0,33.0,3.0,0.0,24.0,10.0,0.0,32.0,91.0,49.0,0.0,34.0,3.0,21.0,109.0,7.0,11.0,0.0,59.0,48.0
7,132095682.0,4.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,29.0,0.0,4.0,1.0,32.0,47.0,0.0,10.0,9.0,22.0,38.0,3.0,28.0,1.0,1.0,4.0,0.0,2.0,18.0,2.0,17.0,24.0,12.0,17.0,23.0,7.0,10.0,2.0,2.0,2.0,11.0,1.0,7.0,25.0,14.0,15.0,3.0,2.0,17.0,0.0,1.0,21.0,14.0,1.0,18.0,5.0,2.0,6.0,11.0,8.0,9.0,0.0,3.0,14.0,6.0,5.0,1.0,18.0,16.0,1.0,6.0,10.0,8.0,15.0,15.0,0.0,2.0,4.0,0.0,2.0,13.0,3.0,0.0,11.0,23.0,18.0,0.0,2.0,0.0,5.0,17.0,5.0,3.0,0.0,20.0,2.0
8,140493128.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,3.0,6.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,6.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,6.0
9,1542059156.0,5.0,2.0,0.0,38.0,0.0,32.0,0.0,3.0,0.0,16.0,0.0,0.0,28.0,30.0,0.0,4.0,6.0,3.0,3.0,0.0,0.0,5.0,2.0,39.0,2.0,4.0,16.0,0.0,1.0,8.0,0.0,43.0,0.0,17.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,3.0,36.0,18.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,2.0,29.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0
10,1543161900.0,46.0,69.0,0.0,18.0,0.0,140.0,29.0,3.0,16.0,0.0,1.0,10.0,8.0,76.0,0.0,24.0,10.0,216.0,304.0,0.0,187.0,157.0,188.0,427.0,46.0,164.0,36.0,0.0,37.0,16.0,29.0,206.0,6.0,304.0,186.0,115.0,156.0,157.0,69.0,109.0,16.0,18.0,52.0,83.0,16.0,28.0,191.0,186.0,94.0,36.0,8.0,74.0,0.0,8.0,231.0,112.0,12.0,222.0,4.0,8.0,34.0,174.0,74.0,96.0,10.0,37.0,172.0,40.0,38.0,33.0,329.0,244.0,68.0,13.0,100.0,110.0,259.0,188.0,27.0,28.0,67.0,3.0,4.0,52.0,40.0,0.0,163.0,358.0,162.0,0.0,42.0,6.0,49.0,330.0,19.0,21.0,0.0,253.0,80.0
11,157185091.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
