,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,-1.0,1042326667.0,105208717.0,1108876152.0,118695818.0,121723173.0,1246099093.0,1249003411.0,129049230.0,133952647.0,1343758218.0,135428287.0,1426869270.0,1455659006.0,146496396.0,1547057516.0,1582734432.0,1645076125.0,165042385.0,18106306.0,1884780852.0,1926177330.0,1946097283.0,22877707.0,230759594.0,23498310.0,239229224.0,240556445.0,2416000683.0,2517223020.0,265879736.0,2704055222.0,2773580623.0,2836145126.0,2875862751.0,292417641.0,30221116.0,3023486306.0,303194499.0,309110229.0,311981883.0,313384826.0,323042120.0,3318437671.0,346976603.0,349872492.0,356290324.0,365518662.0,374398988.0,389943731.0,401582253.0,4258166179.0,440968902.0,442816820.0,476564417.0,486003053.0,4911086101.0,515308588.0,521522043.0,528475534.0,54161723.0,542685492.0,556974888.0,558183820.0,560836942.0,57018406.0,577121397.0,58730838.0,587986811.0,594943860.0,612656776.0,61451035.0,617604354.0,619397938.0,627263366.0,7.00723841098584e+17,7.372988625623777e+17,7.39736767109161e+17,7.531162097601044e+17,76415143.0,793116961.0,80304353.0,8.229100306136064e+17,83331435.0,8.430403350812344e+17,863456977.0,895531256.0,9.12656462870061e+17,9.145219364865884e+17,924893492.0,94542204.0
1,1042326667.0,0.0,8.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,2.0,1.0,31.0,41.0,0.0,1.0,0.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,12.0,9.0,3.0,0.0,0.0,2.0,16.0,0.0,7.0,2.0,5.0,1.0,3.0,5.0,4.0,2.0,11.0,0.0,2.0,1.0,7.0,0.0,1.0,17.0,0.0,25.0,18.0,3.0,13.0,7.0,11.0,13.0,1.0,2.0,2.0,1.0,2.0,91.0,1.0,0.0,7.0,0.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,18.0,4.0,0.0,1.0,0.0,6.0,0.0,2.0
2,105208717.0,8.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,6.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,22.0,2.0,24.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,4.0,11.0,0.0,2.0,1.0,2.0,7.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
3,1108876152.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,118695818.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
5,121723173.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,27.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,10.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,1246099093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0
7,1249003411.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8,129049230.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,8.0,1.0,8.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,7.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
9,133952647.0,1.0,1.0,1.0,0.0,1.0,7.0,0.0,8.0,0.0,1.0,17.0,1.0,0.0,33.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,34.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0
10,1343758218.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
11,135428287.0,3.0,2.0,1.0,0.0,1.0,5.0,0.0,8.0,17.0,1.0,0.0,2.0,0.0,25.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,11.0,5.0,12.0,0.0,11.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,30.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,6.0,1.0,2.0,11.0,5.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0
