,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,-1.0,1095047526.0,1121648666.0,132489800.0,1341158436.0,1413992102.0,14170217.0,1527165992.0,1622452010.0,173338012.0,1854575396.0,1918790851.0,2277312042.0,230430214.0,2343221881.0,2346308935.0,2365156169.0,2407122798.0,2467160474.0,2556386406.0,2730683010.0,2754255487.0,2903239418.0,2967057559.0,307837968.0,3146767384.0,318433108.0,323120496.0,3240101497.0,3246602130.0,3267938166.0,3269152838.0,3292384208.0,340676401.0,348834842.0,375683671.0,3978823959.0,4362753199.0,4748289931.0,49908951.0,628960161.0,67100318.0,7.105260071328522e+17,7.154919439505859e+17,7.331642951821107e+17,7.359003038415831e+17,7.399461729666785e+17,7.54341597354029e+17,763480296.0,769300429.0,7.8171820849988e+17,7.978262069219901e+17,8.250585498478551e+17,8.496975378921431e+17,8.715083216557711e+17,8.790561628632023e+17,8.818869127802225e+17,8.851187350605783e+17,8.873168851375718e+17,8.909768091723366e+17,9.255639050400072e+17,9.279797747099197e+17,9.297541630381384e+17,9.344958429075702e+17,9.38665883253162e+17
1,1095047526.0,0.0,6.0,2.0,0.0,0.0,83.0,0.0,0.0,83.0,1.0,0.0,0.0,19.0,3.0,0.0,53.0,0.0,413.0,28.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,1121648666.0,6.0,0.0,8.0,0.0,8.0,5.0,1.0,1.0,17.0,2.0,3.0,9.0,215.0,64.0,1.0,42.0,0.0,31.0,28.0,0.0,128.0,1.0,65.0,4.0,0.0,2.0,26.0,103.0,0.0,5.0,2.0,39.0,10.0,1.0,36.0,0.0,0.0,0.0,3.0,0.0,127.0,2.0,0.0,7.0,6.0,1.0,17.0,2.0,55.0,0.0,5.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,0.0,1.0
3,132489800.0,2.0,8.0,0.0,0.0,1.0,18.0,3.0,4.0,14.0,31.0,42.0,24.0,7.0,205.0,289.0,112.0,1.0,53.0,0.0,13.0,35.0,2.0,10.0,49.0,6.0,36.0,12.0,106.0,34.0,11.0,5.0,3.0,11.0,9.0,2.0,6.0,14.0,0.0,4.0,4.0,0.0,40.0,0.0,2.0,15.0,0.0,3.0,1.0,216.0,0.0,4.0,5.0,18.0,168.0,1.0,2.0,1.0,0.0,7.0,1.0,3.0,107.0,2.0,1.0
4,1341158436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1413992102.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,0.0,40.0,37.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,3.0
6,14170217.0,83.0,5.0,18.0,0.0,0.0,0.0,1.0,1.0,107.0,4.0,2.0,4.0,1.0,21.0,3.0,38.0,0.0,214.0,5.0,1.0,7.0,0.0,2.0,10.0,2.0,1.0,3.0,32.0,5.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,27.0,0.0,1.0,5.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0
7,1527165992.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,1.0,0.0,3.0,1.0,134.0,17.0,9.0,0.0,0.0,4.0,1.0,0.0,13.0,19.0,1.0,0.0,5.0,6.0,1.0,1.0,1.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,18.0,7.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0
8,1622452010.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,12.0,0.0,5.0,1.0,17.0,0.0,4.0,0.0,1.0,5.0,0.0,4.0,5.0,0.0,1.0,8.0,36.0,3.0,2.0,13.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,20.0,7.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,49.0,0.0,5.0,11.0,1.0,2.0
9,173338012.0,83.0,17.0,14.0,0.0,0.0,107.0,1.0,1.0,0.0,6.0,0.0,6.0,20.0,14.0,0.0,42.0,1.0,344.0,200.0,1.0,21.0,2.0,3.0,11.0,1.0,1.0,1.0,35.0,7.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,4.0,2.0,171.0,2.0,0.0,0.0,1.0,75.0,0.0,0.0,43.0,0.0,0.0,4.0,3.0,16.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0
10,1854575396.0,1.0,2.0,31.0,0.0,0.0,4.0,42.0,5.0,6.0,0.0,3.0,22.0,1.0,27.0,8.0,194.0,20.0,48.0,2.0,2.0,32.0,6.0,6.0,56.0,25.0,3.0,5.0,59.0,69.0,13.0,7.0,2.0,0.0,37.0,0.0,23.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,46.0,0.0,0.0,30.0,77.0,68.0,5.0,0.0,8.0,0.0,3.0,0.0,0.0,22.0,12.0,0.0
11,1918790851.0,0.0,3.0,42.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,14.0,6.0,745.0,6.0,1.0,0.0,4.0,0.0,10.0,28.0,0.0,0.0,4.0,1.0,81.0,4.0,14.0,5.0,0.0,0.0,0.0,141.0,1.0,8.0,1.0,17.0,0.0,0.0,0.0,1.0,45.0,0.0,0.0,55.0,0.0,1.0,0.0,100.0,0.0,187.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
12,2277312042.0,0.0,9.0,24.0,0.0,1.0,4.0,1.0,12.0,6.0,22.0,14.0,0.0,17.0,58.0,5.0,32.0,1.0,28.0,1.0,7.0,34.0,1.0,5.0,27.0,0.0,15.0,6.0,55.0,24.0,8.0,10.0,4.0,11.0,3.0,1.0,9.0,2.0,0.0,1.0,3.0,3.0,12.0,0.0,2.0,2.0,0.0,3.0,1.0,45.0,0.0,7.0,4.0,3.0,56.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,25.0,0.0,3.0
13,230430214.0,19.0,215.0,7.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,6.0,17.0,0.0,43.0,2.0,16.0,0.0,67.0,115.0,0.0,429.0,3.0,4.0,4.0,2.0,4.0,0.0,27.0,3.0,2.0,1.0,1.0,5.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,360.0,1.0,0.0,0.0,16.0,8.0,1.0,0.0,38.0,0.0,4.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0
14,2343221881.0,3.0,64.0,205.0,0.0,0.0,21.0,3.0,5.0,14.0,27.0,745.0,58.0,43.0,0.0,28.0,68.0,3.0,60.0,5.0,20.0,112.0,1.0,10.0,45.0,7.0,192.0,13.0,127.0,37.0,12.0,7.0,4.0,354.0,6.0,55.0,10.0,43.0,0.0,2.0,3.0,14.0,83.0,0.0,1.0,123.0,0.0,2.0,2.0,547.0,0.0,421.0,7.0,18.0,198.0,1.0,1.0,3.0,0.0,8.0,0.0,4.0,124.0,1.0,1.0
15,2346308935.0,0.0,1.0,289.0,0.0,1.0,3.0,1.0,1.0,0.0,8.0,6.0,5.0,2.0,28.0,0.0,18.0,0.0,9.0,0.0,3.0,10.0,0.0,3.0,7.0,3.0,6.0,5.0,19.0,10.0,1.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,32.0,0.0,1.0,4.0,7.0,33.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,1.0,0.0
16,2365156169.0,53.0,42.0,112.0,0.0,3.0,38.0,134.0,17.0,42.0,194.0,1.0,32.0,16.0,68.0,18.0,0.0,22.0,190.0,8.0,0.0,51.0,12.0,22.0,77.0,28.0,4.0,15.0,156.0,67.0,19.0,15.0,6.0,1.0,68.0,2.0,30.0,1.0,0.0,5.0,7.0,7.0,10.0,0.0,4.0,0.0,1.0,4.0,0.0,135.0,0.0,0.0,90.0,103.0,134.0,5.0,0.0,14.0,0.0,10.0,1.0,1.0,53.0,14.0,1.0
17,2407122798.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0,20.0,0.0,1.0,0.0,3.0,0.0,22.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,10.0,11.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,13.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
18,2467160474.0,413.0,31.0,53.0,0.0,1.0,214.0,9.0,4.0,344.0,48.0,4.0,28.0,67.0,60.0,9.0,190.0,7.0,0.0,380.0,2.0,36.0,5.0,6.0,63.0,10.0,6.0,4.0,134.0,46.0,6.0,4.0,3.0,2.0,21.0,5.0,19.0,2.0,0.0,6.0,5.0,488.0,7.0,0.0,2.0,2.0,232.0,2.0,2.0,97.0,0.0,1.0,15.0,9.0,94.0,5.0,2.0,5.0,0.0,2.0,0.0,1.0,37.0,5.0,1.0
19,2556386406.0,28.0,28.0,0.0,0.0,0.0,5.0,0.0,0.0,200.0,2.0,0.0,1.0,115.0,5.0,0.0,8.0,0.0,380.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,1.0,0.0,0.0,6.0,268.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2730683010.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,10.0,7.0,0.0,20.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,9.0,1.0,6.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
21,2754255487.0,3.0,128.0,35.0,0.0,1.0,7.0,4.0,5.0,21.0,32.0,28.0,34.0,429.0,112.0,10.0,51.0,4.0,36.0,32.0,3.0,0.0,1.0,11.0,34.0,3.0,10.0,6.0,66.0,26.0,10.0,7.0,5.0,17.0,10.0,10.0,14.0,4.0,0.0,1.0,5.0,53.0,13.0,0.0,1.0,9.0,1.0,1.0,1.0,105.0,0.0,19.0,4.0,4.0,46.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,30.0,3.0,1.0
22,2903239418.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,3.0,1.0,0.0,12.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
23,2967057559.0,0.0,65.0,10.0,0.0,47.0,2.0,0.0,4.0,3.0,6.0,0.0,5.0,4.0,10.0,3.0,22.0,0.0,6.0,0.0,1.0,11.0,1.0,0.0,8.0,1.0,1.0,124.0,280.0,7.0,6.0,4.0,133.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,0.0,0.0,68.0,3.0,8.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,155.0,1.0,6.0
24,307837968.0,0.0,4.0,49.0,0.0,0.0,10.0,13.0,5.0,11.0,56.0,4.0,27.0,4.0,45.0,7.0,77.0,10.0,63.0,1.0,2.0,34.0,2.0,8.0,0.0,8.0,6.0,1.0,76.0,59.0,8.0,5.0,2.0,3.0,25.0,1.0,22.0,1.0,0.0,0.0,4.0,0.0,9.0,0.0,1.0,3.0,0.0,2.0,3.0,79.0,0.0,1.0,10.0,8.0,84.0,10.0,0.0,6.0,0.0,3.0,0.0,3.0,37.0,4.0,1.0
25,3146767384.0,2.0,0.0,6.0,0.0,0.0,2.0,19.0,0.0,1.0,25.0,1.0,0.0,2.0,7.0,3.0,28.0,11.0,10.0,0.0,0.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,13.0,14.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0
26,318433108.0,0.0,2.0,36.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,81.0,15.0,4.0,192.0,6.0,4.0,0.0,6.0,0.0,9.0,10.0,0.0,1.0,6.0,0.0,0.0,3.0,19.0,4.0,1.0,1.0,1.0,67.0,0.0,8.0,1.0,19.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,39.0,0.0,0.0,0.0,69.0,0.0,39.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0
27,323120496.0,0.0,26.0,12.0,0.0,40.0,3.0,0.0,8.0,1.0,5.0,4.0,6.0,0.0,13.0,5.0,15.0,0.0,4.0,0.0,1.0,6.0,0.0,124.0,1.0,0.0,3.0,0.0,128.0,6.0,7.0,6.0,65.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,42.0,0.0,15.0,0.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,109.0,0.0,5.0
28,3240101497.0,1.0,103.0,106.0,0.0,37.0,32.0,5.0,36.0,35.0,59.0,14.0,55.0,27.0,127.0,19.0,156.0,4.0,134.0,3.0,6.0,66.0,5.0,280.0,76.0,7.0,19.0,128.0,0.0,51.0,31.0,33.0,118.0,4.0,15.0,0.0,24.0,5.0,0.0,6.0,9.0,3.0,15.0,0.0,38.0,8.0,2.0,60.0,11.0,247.0,0.0,1.0,10.0,9.0,136.0,2.0,7.0,2.0,0.0,29.0,2.0,16.0,250.0,3.0,8.0
29,3246602130.0,0.0,0.0,34.0,0.0,0.0,5.0,6.0,3.0,7.0,69.0,5.0,24.0,3.0,37.0,10.0,67.0,4.0,46.0,1.0,2.0,26.0,9.0,7.0,59.0,5.0,4.0,6.0,51.0,0.0,11.0,7.0,2.0,1.0,11.0,1.0,28.0,1.0,0.0,2.0,5.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,53.0,0.0,1.0,7.0,8.0,84.0,17.0,1.0,3.0,0.0,3.0,0.0,1.0,25.0,3.0,0.0
30,3267938166.0,0.0,5.0,11.0,0.0,1.0,1.0,1.0,2.0,3.0,13.0,0.0,8.0,2.0,12.0,1.0,19.0,2.0,6.0,0.0,1.0,10.0,0.0,6.0,8.0,1.0,1.0,7.0,31.0,11.0,0.0,13.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,22.0,1.0,0.0
31,3269152838.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,13.0,0.0,7.0,0.0,10.0,1.0,7.0,2.0,15.0,1.0,4.0,0.0,0.0,7.0,0.0,4.0,5.0,0.0,1.0,6.0,33.0,7.0,13.0,0.0,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,9.0,0.0,1.0,2.0,2.0,8.0,0.0,0.0,2.0,1.0,12.0,0.0,4.0,0.0,0.0,5.0,0.0,104.0,12.0,0.0,5.0
32,3292384208.0,0.0,39.0,3.0,0.0,23.0,0.0,1.0,3.0,0.0,2.0,0.0,4.0,1.0,4.0,2.0,6.0,0.0,3.0,0.0,0.0,5.0,0.0,133.0,2.0,0.0,1.0,65.0,118.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,43.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,70.0,0.0,6.0
33,340676401.0,0.0,10.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,141.0,11.0,5.0,354.0,3.0,1.0,0.0,2.0,0.0,2.0,17.0,0.0,1.0,3.0,0.0,67.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,25.0,0.0,0.0,0.0,39.0,0.0,131.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
34,348834842.0,0.0,1.0,9.0,0.0,0.0,2.0,75.0,2.0,3.0,37.0,1.0,3.0,2.0,6.0,0.0,68.0,14.0,21.0,0.0,0.0,10.0,1.0,2.0,25.0,34.0,0.0,1.0,15.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,12.0,0.0,0.0,16.0,12.0,17.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0
35,375683671.0,0.0,36.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,1.0,16.0,55.0,1.0,2.0,0.0,5.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,3978823959.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,3.0,4.0,23.0,1.0,9.0,2.0,10.0,3.0,30.0,2.0,19.0,0.0,1.0,14.0,4.0,3.0,22.0,1.0,1.0,2.0,24.0,28.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,2.0,4.0,21.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0
37,4362753199.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,17.0,2.0,0.0,43.0,3.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,19.0,2.0,5.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,21.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0
38,4748289931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,49908951.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
