,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,-1.0,100934984.0,101238601.0,10243382.0,114705405.0,115056683.0,115641271.0,119708946.0,1203736615.0,122425883.0,1235574732.0,123907301.0,1281335275.0,130307355.0,134347018.0,141475437.0,144160801.0,14502433.0,145535500.0,1472466895.0,148865337.0,1516767158.0,1536843788.0,156768711.0,15804515.0,15917040.0,1597267676.0,16039871.0,161133003.0,16115309.0,17035802.0,171077993.0,172630936.0,173898921.0,17699718.0,186174481.0,18711950.0,1917534972.0,192594805.0,19679654.0,200502769.0,206165773.0,213063171.0,21605447.0,22030849.0,222422734.0,22458584.0,22621933.0,231620897.0,23332279.0,233876830.0,23758173.0,238002333.0,246094174.0,252107087.0,253356859.0,2593030610.0,25946556.0,259885385.0,269914300.0,271477047.0,272753147.0,27622050.0,279270170.0,28567304.0,28710635.0,288313882.0,28958572.0,292556702.0,295565112.0,2977057525.0,3081466996.0,30860019.0,3107161105.0,3130789249.0,3143487468.0,316568450.0,3180373724.0,32443307.0,3244488600.0,3277455930.0,32953769.0,333948601.0,336755019.0,3447000797.0,35292115.0,364164261.0,395321652.0,42286700.0,425941314.0,4316605638.0,43559023.0,43725438.0,4415084957.0,45604469.0,468437651.0,47588755.0,4798949964.0,4870169068.0,491958813.0,51190239.0,524998904.0,53440633.0,54117984.0,54225733.0,55178704.0,55222123.0,564509598.0,578475068.0,596326827.0,60794951.0,625908457.0,63173793.0,632432638.0,64201471.0,68135455.0,7.017009414274335e+17,714586800.0,7.23079254271873e+17,72888250.0,76327953.0,77495336.0,78922549.0,8.173501655521321e+17,825598718.0,8.292212586634404e+17,833877799.0,8.490769888286351e+17,85198376.0,9.104984631665869e+17,9.173375749429289e+17
1,100934984.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,14.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,4.0,4.0,5.0,4.0,2.0,0.0,1.0,14.0,9.0,5.0,1.0,3.0,0.0,19.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,13.0,1.0,1.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,2.0,4.0,4.0,4.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,4.0,4.0,3.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,3.0,0.0,6.0,0.0,4.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0
2,101238601.0,3.0,0.0,3.0,0.0,0.0,3.0,25.0,0.0,5.0,6.0,21.0,1.0,28.0,7.0,21.0,4.0,0.0,9.0,0.0,2.0,12.0,1.0,14.0,11.0,14.0,18.0,3.0,1.0,2.0,42.0,49.0,68.0,0.0,11.0,4.0,72.0,18.0,9.0,2.0,7.0,1.0,2.0,2.0,97.0,7.0,2.0,1.0,23.0,0.0,0.0,75.0,0.0,1.0,29.0,0.0,2.0,10.0,3.0,4.0,4.0,1.0,0.0,4.0,2.0,6.0,1.0,7.0,0.0,26.0,2.0,6.0,17.0,6.0,7.0,8.0,1.0,0.0,2.0,9.0,8.0,0.0,7.0,0.0,4.0,1.0,0.0,4.0,3.0,16.0,35.0,2.0,3.0,1.0,20.0,8.0,5.0,12.0,5.0,54.0,1.0,2.0,3.0,2.0,20.0,38.0,2.0,19.0,9.0,0.0,3.0,0.0,1.0,11.0,8.0,27.0,0.0,25.0,0.0,53.0,0.0,1.0,11.0,2.0,2.0,0.0,0.0,1.0,0.0,25.0,9.0
3,10243382.0,1.0,3.0,0.0,0.0,0.0,14.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,13.0,12.0,2.0,0.0,5.0,5.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
4,114705405.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,1.0,6.0,6.0,2.0,0.0,2.0,0.0,8.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
5,115056683.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,7.0,1.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,115641271.0,0.0,3.0,14.0,1.0,1.0,0.0,2.0,0.0,222.0,1.0,5.0,0.0,8.0,2.0,1.0,0.0,0.0,7.0,43.0,16.0,0.0,2.0,25.0,19.0,26.0,67.0,4.0,0.0,10.0,57.0,68.0,8.0,0.0,20.0,14.0,92.0,1.0,23.0,16.0,0.0,0.0,9.0,1.0,7.0,0.0,6.0,0.0,6.0,1.0,0.0,7.0,4.0,0.0,1.0,0.0,4.0,12.0,0.0,15.0,6.0,2.0,4.0,4.0,3.0,8.0,1.0,5.0,0.0,1.0,0.0,3.0,20.0,2.0,18.0,0.0,4.0,1.0,0.0,10.0,17.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,4.0,35.0,4.0,0.0,1.0,11.0,1.0,42.0,16.0,0.0,10.0,7.0,1.0,1.0,3.0,12.0,22.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,10.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
7,119708946.0,5.0,25.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,32.0,9.0,11.0,3.0,0.0,7.0,0.0,1.0,12.0,0.0,19.0,4.0,5.0,9.0,2.0,0.0,1.0,40.0,44.0,50.0,2.0,12.0,1.0,65.0,5.0,8.0,2.0,3.0,2.0,3.0,1.0,30.0,4.0,1.0,0.0,28.0,0.0,0.0,75.0,1.0,0.0,17.0,1.0,3.0,5.0,1.0,2.0,3.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,17.0,2.0,1.0,13.0,5.0,4.0,3.0,2.0,2.0,1.0,12.0,3.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,0.0,11.0,23.0,1.0,5.0,0.0,8.0,10.0,3.0,14.0,7.0,48.0,1.0,0.0,1.0,0.0,11.0,60.0,3.0,14.0,9.0,0.0,2.0,0.0,1.0,5.0,6.0,14.0,0.0,9.0,0.0,44.0,0.0,1.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,26.0,6.0
8,1203736615.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,8.0,3.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,122425883.0,1.0,5.0,10.0,0.0,0.0,222.0,4.0,0.0,0.0,2.0,8.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,37.0,92.0,0.0,7.0,10.0,30.0,21.0,38.0,2.0,1.0,0.0,41.0,69.0,13.0,2.0,10.0,5.0,90.0,2.0,4.0,14.0,0.0,1.0,2.0,5.0,13.0,1.0,4.0,1.0,5.0,0.0,0.0,14.0,1.0,2.0,3.0,0.0,16.0,3.0,0.0,41.0,28.0,2.0,6.0,2.0,13.0,2.0,0.0,9.0,0.0,5.0,0.0,4.0,2.0,2.0,10.0,0.0,5.0,1.0,0.0,7.0,12.0,1.0,5.0,0.0,3.0,0.0,0.0,4.0,0.0,20.0,2.0,1.0,0.0,10.0,1.0,17.0,23.0,7.0,4.0,38.0,0.0,7.0,0.0,1.0,21.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,46.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0
