,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,-1.0,1494895442.0,1608688872.0,181643440.0,279893734.0,2806693224.0,286547043.0,2907387843.0,2954447457.0,3004995744.0,3042776671.0,3123763867.0,354814219.0,361792637.0,4581824713.0,4865073559.0,61524466.0,7.174042449035346e+17,7.327544372997079e+17,7.644788817345946e+17,7.647486216443863e+17,7.67003112515199e+17,7.899100511001682e+17,8.090040431797248e+17,8.125253724578079e+17,8.127293339155825e+17,8.281565517729833e+17,8.358754530302607e+17,8.554582450073395e+17,8.60135977855189e+17,8.752433785138586e+17,8.803298208230687e+17,8.883570063226757e+17,8.916445021711114e+17
1,1494895442.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,4.0,24.0,2.0,3.0,14.0,4.0,7.0,4.0,8.0,1.0,5.0,1.0,3.0,19.0,21.0,0.0,15.0,0.0,2.0,4.0,7.0,8.0,0.0,1.0,1.0,0.0
2,1608688872.0,10.0,0.0,4.0,10.0,0.0,46.0,0.0,35.0,18.0,60.0,19.0,67.0,52.0,13.0,102.0,232.0,17.0,26.0,7.0,62.0,60.0,60.0,8.0,31.0,2.0,16.0,26.0,128.0,31.0,0.0,5.0,1.0,11.0
3,181643440.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0
4,279893734.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
5,2806693224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,286547043.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,37.0,0.0,10.0,6.0,8.0,38.0,15.0,1.0,5.0,2.0,30.0,26.0,14.0,3.0,12.0,0.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0
7,2907387843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2954447457.0,4.0,35.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,4.0,10.0,19.0,19.0,6.0,19.0,26.0,8.0,13.0,2.0,7.0,15.0,13.0,1.0,13.0,1.0,2.0,14.0,28.0,14.0,0.0,3.0,3.0,8.0
9,3004995744.0,24.0,18.0,1.0,0.0,0.0,4.0,0.0,9.0,0.0,4.0,14.0,83.0,18.0,91.0,15.0,7.0,14.0,10.0,2.0,3.0,197.0,92.0,2.0,87.0,3.0,3.0,15.0,19.0,14.0,0.0,3.0,0.0,4.0
10,3042776671.0,2.0,60.0,0.0,0.0,0.0,37.0,0.0,4.0,4.0,0.0,0.0,7.0,5.0,9.0,66.0,18.0,1.0,2.0,0.0,33.0,21.0,12.0,2.0,8.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0
11,3123763867.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,13.0,14.0,7.0,15.0,7.0,6.0,8.0,0.0,1.0,14.0,8.0,1.0,19.0,1.0,1.0,16.0,27.0,21.0,0.0,35.0,39.0,3.0
12,354814219.0,14.0,67.0,5.0,0.0,0.0,10.0,0.0,19.0,83.0,7.0,13.0,0.0,47.0,28.0,12.0,24.0,26.0,18.0,2.0,7.0,85.0,69.0,2.0,45.0,3.0,6.0,20.0,31.0,24.0,0.0,1.0,4.0,10.0
13,361792637.0,4.0,52.0,3.0,1.0,0.0,6.0,0.0,19.0,18.0,5.0,14.0,47.0,0.0,7.0,25.0,50.0,16.0,46.0,4.0,12.0,35.0,27.0,1.0,23.0,2.0,6.0,16.0,27.0,26.0,0.0,0.0,0.0,7.0
14,4581824713.0,7.0,13.0,1.0,0.0,0.0,8.0,0.0,6.0,91.0,9.0,7.0,28.0,7.0,0.0,16.0,3.0,8.0,4.0,1.0,6.0,59.0,26.0,1.0,35.0,1.0,1.0,10.0,11.0,9.0,0.0,3.0,1.0,1.0
15,4865073559.0,4.0,102.0,0.0,0.0,0.0,38.0,0.0,19.0,15.0,66.0,15.0,12.0,25.0,16.0,0.0,61.0,5.0,10.0,1.0,33.0,48.0,23.0,5.0,29.0,0.0,5.0,8.0,25.0,10.0,0.0,4.0,0.0,3.0
16,61524466.0,8.0,232.0,1.0,9.0,0.0,15.0,0.0,26.0,7.0,18.0,7.0,24.0,50.0,3.0,61.0,0.0,6.0,21.0,3.0,26.0,28.0,28.0,4.0,11.0,1.0,7.0,11.0,53.0,16.0,0.0,3.0,1.0,6.0
17,7.174042449035346e+17,1.0,17.0,3.0,2.0,0.0,1.0,0.0,8.0,14.0,1.0,6.0,26.0,16.0,8.0,5.0,6.0,0.0,13.0,3.0,2.0,16.0,14.0,1.0,9.0,49.0,3.0,5.0,15.0,11.0,0.0,1.0,1.0,36.0
18,7.327544372997079e+17,5.0,26.0,1.0,0.0,0.0,5.0,0.0,13.0,10.0,2.0,8.0,18.0,46.0,4.0,10.0,21.0,13.0,0.0,3.0,5.0,19.0,14.0,1.0,13.0,2.0,4.0,11.0,16.0,19.0,0.0,0.0,0.0,6.0
