,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-1.0,151610720.0,1543161900.0,212464615.0,2173656252.0,2226350167.0,2232636931.0,2536839587.0,2710857191.0,2769691959.0,2854111591.0,2874601664.0,2899055516.0,2930037055.0,2934474962.0,2949323749.0,3238960326.0,3302104250.0,4076586972.0,4142661373.0,4145428452.0,4449344008.0,563872350.0,7.792157315189432e+17,7.865077453777838e+17,8.180369810411028e+17,8.268068804587028e+17,8.56836808319144e+17,8.630480611987538e+17,9.137430306407137e+17
1,151610720.0,0.0,48.0,5.0,9.0,29.0,19.0,34.0,10.0,17.0,0.0,15.0,0.0,0.0,0.0,3.0,36.0,0.0,25.0,2.0,0.0,24.0,16.0,82.0,25.0,36.0,0.0,5.0,3.0,0.0
2,1543161900.0,48.0,0.0,24.0,33.0,71.0,43.0,307.0,65.0,135.0,0.0,270.0,1.0,0.0,0.0,32.0,50.0,0.0,188.0,6.0,0.0,86.0,139.0,275.0,159.0,221.0,0.0,52.0,3.0,0.0
3,212464615.0,5.0,24.0,0.0,5.0,5.0,1.0,9.0,78.0,8.0,0.0,14.0,0.0,0.0,0.0,1.0,6.0,0.0,4.0,3.0,0.0,8.0,12.0,18.0,8.0,8.0,0.0,2.0,2.0,0.0
4,2173656252.0,9.0,33.0,5.0,0.0,10.0,9.0,16.0,9.0,12.0,0.0,9.0,2.0,0.0,0.0,1.0,11.0,0.0,11.0,2.0,0.0,21.0,11.0,27.0,6.0,18.0,0.0,4.0,1.0,0.0
5,2226350167.0,29.0,71.0,5.0,10.0,0.0,21.0,71.0,15.0,21.0,0.0,28.0,2.0,0.0,0.0,6.0,28.0,0.0,13.0,2.0,0.0,59.0,28.0,142.0,19.0,53.0,0.0,4.0,38.0,0.0
6,2232636931.0,19.0,43.0,1.0,9.0,21.0,0.0,23.0,17.0,13.0,0.0,12.0,1.0,0.0,0.0,10.0,16.0,0.0,22.0,1.0,0.0,26.0,17.0,32.0,23.0,25.0,0.0,2.0,1.0,0.0
7,2536839587.0,34.0,307.0,9.0,16.0,71.0,23.0,0.0,56.0,108.0,0.0,157.0,1.0,0.0,0.0,22.0,23.0,0.0,200.0,3.0,0.0,77.0,96.0,231.0,101.0,165.0,0.0,119.0,2.0,0.0
8,2710857191.0,10.0,65.0,78.0,9.0,15.0,17.0,56.0,0.0,14.0,0.0,38.0,1.0,1.0,0.0,23.0,10.0,1.0,28.0,5.0,0.0,10.0,11.0,36.0,30.0,37.0,0.0,11.0,7.0,0.0
9,2769691959.0,17.0,135.0,8.0,12.0,21.0,13.0,108.0,14.0,0.0,0.0,82.0,0.0,0.0,0.0,13.0,10.0,0.0,54.0,5.0,0.0,27.0,55.0,90.0,56.0,99.0,0.0,19.0,1.0,0.0
10,2854111591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,9.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2874601664.0,15.0,270.0,14.0,9.0,28.0,12.0,157.0,38.0,82.0,0.0,0.0,1.0,0.0,0.0,16.0,11.0,0.0,70.0,7.0,0.0,19.0,67.0,100.0,93.0,104.0,0.0,30.0,2.0,0.0
12,2899055516.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,9.0,18.0,0.0,0.0,8.0,2.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2930037055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,9.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2934474962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,2949323749.0,3.0,32.0,1.0,1.0,6.0,10.0,22.0,23.0,13.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,2.0,0.0,7.0,12.0,27.0,21.0,26.0,0.0,7.0,0.0,0.0
16,3238960326.0,36.0,50.0,6.0,11.0,28.0,16.0,23.0,10.0,10.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,1.0,0.0,25.0,14.0,57.0,18.0,28.0,0.0,10.0,3.0,0.0
17,3302104250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,8.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4076586972.0,25.0,188.0,4.0,11.0,13.0,22.0,200.0,28.0,54.0,0.0,70.0,2.0,0.0,0.0,11.0,17.0,0.0,0.0,2.0,0.0,24.0,55.0,92.0,73.0,88.0,0.0,119.0,1.0,0.0
19,4142661373.0,2.0,6.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,5.0,5.0,4.0,0.0,3.0,0.0,0.0
20,4145428452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,13.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4449344008.0,24.0,86.0,8.0,21.0,59.0,26.0,77.0,10.0,27.0,0.0,19.0,3.0,0.0,0.0,7.0,25.0,0.0,24.0,3.0,0.0,0.0,39.0,100.0,23.0,57.0,0.0,5.0,1.0,0.0
22,563872350.0,16.0,139.0,12.0,11.0,28.0,17.0,96.0,11.0,55.0,0.0,67.0,0.0,0.0,0.0,12.0,14.0,0.0,55.0,6.0,0.0,39.0,0.0,94.0,52.0,66.0,0.0,24.0,1.0,0.0
23,7.792157315189432e+17,82.0,275.0,18.0,27.0,142.0,32.0,231.0,36.0,90.0,0.0,100.0,1.0,0.0,0.0,27.0,57.0,0.0,92.0,5.0,0.0,100.0,94.0,0.0,88.0,184.0,0.0,27.0,4.0,0.0
24,7.865077453777838e+17,25.0,159.0,8.0,6.0,19.0,23.0,101.0,30.0,56.0,0.0,93.0,0.0,0.0,0.0,21.0,18.0,0.0,73.0,5.0,0.0,23.0,52.0,88.0,0.0,84.0,0.0,31.0,1.0,0.0
25,8.180369810411028e+17,36.0,221.0,8.0,18.0,53.0,25.0,165.0,37.0,99.0,0.0,104.0,0.0,0.0,0.0,26.0,28.0,0.0,88.0,4.0,0.0,57.0,66.0,184.0,84.0,0.0,0.0,35.0,4.0,0.0
26,8.268068804587028e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,8.56836808319144e+17,5.0,52.0,2.0,4.0,4.0,2.0,119.0,11.0,19.0,0.0,30.0,0.0,0.0,1.0,7.0,10.0,0.0,119.0,3.0,0.0,5.0,24.0,27.0,31.0,35.0,0.0,0.0,0.0,0.0
28,8.630480611987538e+17,3.0,3.0,2.0,1.0,38.0,1.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
