,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
0,-1.0,100205970.0,101210695.0,1016369353.0,104394980.0,105452353.0,106389093.0,1087076040.0,110400856.0,111484973.0,113547701.0,115952029.0,11623182.0,116884692.0,118386263.0,118615417.0,1191484560.0,120518851.0,121132387.0,1224729361.0,123160238.0,130055084.0,134902418.0,137517189.0,1402322630.0,140402241.0,1428723187.0,14384186.0,1440615146.0,14421065.0,14546538.0,145622254.0,147125776.0,14834066.0,1549026217.0,15528513.0,157810085.0,163277484.0,166861881.0,1673941226.0,16882312.0,169825640.0,17170704.0,174887773.0,177598545.0,17815227.0,18248380.0,1835188722.0,18733470.0,190333186.0,19283704.0,1929347084.0,19297555.0,198375017.0,198714960.0,203499086.0,203835384.0,20406764.0,20676434.0,208780274.0,215891477.0,2173487586.0,2179363256.0,218460805.0,221755787.0,223413642.0,224264937.0,224375428.0,2305754275.0,230592912.0,230763219.0,233727859.0,23405808.0,2380425654.0,2422387801.0,24345796.0,246667025.0,248250918.0,251470728.0,25270955.0,2532483219.0,258221375.0,2584057152.0,260014570.0,263595100.0,266157698.0,26981507.0,27581795.0,27589757.0,2798556339.0,2843552502.0,289732963.0,291650445.0,292204829.0,29802857.0,2990090798.0,2990522481.0,299559388.0,303168325.0,304994537.0,3075930266.0,309086867.0,31129986.0,320330565.0,32463956.0,325535216.0,3316409420.0,3321956523.0,333965236.0,3368227911.0,337600534.0,338381097.0,344256865.0,346643589.0,34843228.0,352231933.0,3679774881.0,378774444.0,393843106.0,39454125.0,406341659.0,408588088.0,423226171.0,43186551.0,44188505.0,44462363.0,44495845.0,453603539.0,45633768.0,458571474.0,459629387.0,47851089.0,493885559.0,506332965.0,525376581.0,52563037.0,54125842.0,54787794.0,552756117.0,605255836.0,60839931.0,611471436.0,61382468.0,614200684.0,61553631.0,620743170.0,63787815.0,66046835.0,67568398.0,7.063818257828782e+17,7.09260784153432e+17,7.295484737212293e+17,74109537.0,744505350.0,8.083033713965138e+17,8.118654945211556e+17,81343525.0,8.171867615582659e+17,82960773.0,842318252.0,84810591.0,84887442.0,85653593.0,8.593177870675067e+17,86941100.0,8.732349977670124e+17,88398187.0,8.872120185407898e+17,8.966977975667712e+17,89695826.0,897111876.0,9.046919874455634e+17,9.071390013326213e+17,9.177030065728348e+17,91945634.0,93313468.0,93485821.0,947817049.0,95542763.0,95903766.0,973960110.0,99045891.0
1,100205970.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,42.0,2.0,0.0,13.0,0.0,0.0,26.0,5.0,11.0,4.0,0.0,0.0,5.0,6.0,0.0,1.0,6.0,0.0,0.0,10.0,3.0,12.0,4.0,4.0,25.0,6.0,3.0,0.0,1.0,1.0,6.0,14.0,0.0,2.0,1.0,0.0,2.0,18.0,3.0,21.0,5.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,5.0,5.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,13.0,11.0,0.0,0.0,1.0,6.0,3.0,6.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,6.0,0.0,6.0,1.0,5.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,6.0,2.0,7.0,0.0,0.0,2.0,0.0,10.0,6.0,2.0,0.0,0.0,1.0,4.0,0.0,7.0,20.0,2.0,0.0,16.0,0.0,0.0,8.0,12.0,9.0,4.0,1.0,0.0,3.0,2.0,1.0,3.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,15.0,2.0,5.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,10.0,5.0,0.0,1.0,0.0,0.0
2,101210695.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,9.0,0.0,2.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,4.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0
3,1016369353.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,5.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,104394980.0,1.0,1.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,7.0,1.0,39.0,0.0,0.0,73.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,11.0,1.0,33.0,0.0,2.0,1.0,0.0,0.0,0.0,18.0,0.0,50.0,1.0,0.0,21.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,52.0,1.0,6.0,1.0,0.0,15.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,10.0,0.0,7.0,0.0,31.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0
5,105452353.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,1.0,6.0,1.0,0.0,7.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,3.0,5.0,2.0,21.0,11.0,3.0,1.0,1.0,1.0,0.0,3.0,8.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,7.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,0.0,4.0,1.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,18.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6,106389093.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,35.0,0.0,0.0,77.0,1.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,4.0,1.0,96.0,0.0,1.0,1.0,0.0,0.0,0.0,26.0,0.0,81.0,1.0,0.0,63.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,38.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,10.0,1.0,1.0,4.0,13.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,9.0,0.0,0.0,54.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,36.0,1.0,1.0,0.0,13.0,0.0,21.0,0.0,46.0,2.0,0.0,3.0,38.0,0.0,0.0,7.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,2.0,0.0,9.0
7,1087076040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,110400856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,111484973.0,42.0,1.0,10.0,3.0,28.0,1.0,0.0,0.0,0.0,16.0,3.0,64.0,3.0,10.0,84.0,9.0,65.0,6.0,2.0,1.0,7.0,11.0,2.0,2.0,22.0,1.0,0.0,65.0,4.0,59.0,10.0,39.0,111.0,45.0,11.0,1.0,3.0,2.0,40.0,33.0,1.0,2.0,7.0,1.0,6.0,42.0,5.0,77.0,22.0,29.0,1.0,3.0,5.0,6.0,3.0,3.0,14.0,16.0,23.0,0.0,3.0,6.0,5.0,2.0,1.0,9.0,35.0,27.0,41.0,0.0,3.0,1.0,9.0,6.0,25.0,6.0,1.0,4.0,15.0,11.0,0.0,0.0,14.0,1.0,15.0,4.0,16.0,4.0,0.0,3.0,3.0,4.0,1.0,5.0,4.0,12.0,22.0,6.0,28.0,2.0,10.0,10.0,5.0,32.0,17.0,9.0,4.0,1.0,9.0,6.0,1.0,22.0,82.0,14.0,0.0,59.0,1.0,4.0,55.0,24.0,28.0,18.0,13.0,2.0,33.0,14.0,10.0,6.0,13.0,0.0,28.0,2.0,1.0,3.0,1.0,5.0,22.0,2.0,0.0,20.0,6.0,43.0,12.0,8.0,0.0,4.0,3.0,20.0,0.0,0.0,1.0,1.0,20.0,2.0,13.0,68.0,0.0,1.0,7.0,5.0,41.0,2.0,4.0,23.0,12.0,14.0,0.0,3.0,21.0,1.0,0.0,23.0,0.0,9.0,2.0,1.0,12.0,0.0,2.0,3.0,6.0
