,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
0,-1.0,100446119.0,104185680.0,1052294460.0,107354463.0,110936173.0,112923298.0,121340802.0,125470201.0,125981551.0,1261725925.0,1304293166.0,130431285.0,1334181950.0,134443258.0,135274292.0,135619373.0,1370604152.0,137517189.0,14276441.0,144030558.0,14601059.0,1462048578.0,146728199.0,147486328.0,1568718145.0,156887584.0,1610730828.0,16434036.0,166072029.0,176812094.0,18417371.0,184737830.0,185927401.0,1910080838.0,193259692.0,193718941.0,1940145828.0,1948702387.0,20563112.0,21211840.0,21481348.0,2153053470.0,2154063571.0,2175353912.0,22030849.0,2210333792.0,225322510.0,227232193.0,2312666110.0,232744590.0,2358376159.0,236220688.0,237656446.0,2433167971.0,2451719082.0,2455955606.0,247753993.0,256827766.0,2568682789.0,2617276694.0,2646548988.0,2710985599.0,273295620.0,281884604.0,2834151590.0,2835411192.0,286625089.0,287004074.0,289234874.0,2989155436.0,2992259190.0,30182097.0,3060178567.0,307982712.0,308716323.0,3090349861.0,312784764.0,3143487468.0,314471712.0,3181943868.0,3254350010.0,3255340824.0,33081575.0,33193677.0,3323270258.0,342471237.0,3443498844.0,34662887.0,347461881.0,347509097.0,353533205.0,360509494.0,3643745532.0,376033636.0,388150616.0,391519958.0,394926862.0,401673483.0,408211111.0,40901072.0,415655533.0,428638963.0,43296617.0,4441318872.0,450694223.0,45105446.0,459629387.0,4603903747.0,46094642.0,46878105.0,469391870.0,47788539.0,478804245.0,4827585019.0,4831682177.0,484098443.0,49599851.0,50525352.0,52693503.0,529080432.0,545147215.0,561629216.0,564509598.0,573021027.0,57868945.0,580709579.0,607603977.0,60936786.0,632885310.0,64948305.0,66308382.0,709428673.0,7.32986726084268e+17,73910595.0,7.428737652398858e+17,799786682.0,8.047348275430728e+17,80518560.0,8.058185733817795e+17,82344721.0,8.249520206499144e+17,8.361562339922575e+17,85048560.0,86367032.0,8.886264980804608e+17,9.033390739384402e+17,9.03773178878509e+17,90628237.0,90677649.0,90877803.0,9.118995010481111e+17,93525639.0,9.361688746381722e+17,978044378.0,992544337.0
1,100446119.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,104185680.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,4.0,16.0,0.0,7.0,1.0,2.0,10.0,0.0,7.0,2.0,4.0,11.0,4.0,7.0,2.0,8.0,0.0,1.0,6.0,9.0,5.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,3.0,1.0,2.0,4.0,4.0,4.0,7.0,3.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,14.0,4.0,2.0,5.0,6.0,6.0,0.0,8.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,3.0,2.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,2.0,9.0,6.0,3.0,1.0,1.0,13.0,15.0,1.0,3.0,1.0,0.0,0.0,1.0,15.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,9.0,3.0,2.0,0.0,10.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,3.0,8.0,15.0,3.0,0.0,5.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,15.0,13.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0
3,1052294460.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,17.0,6.0,5.0,0.0,1.0,2.0,0.0,9.0,0.0,6.0,15.0,9.0,15.0,0.0,0.0,0.0,0.0,9.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,8.0,0.0,1.0,0.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,1.0,8.0,0.0,0.0,0.0,5.0,6.0,11.0,23.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,2.0,3.0,0.0,0.0,11.0,0.0,3.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,17.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11.0,0.0,0.0,6.0,3.0,4.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4,107354463.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110936173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,112923298.0,2.0,6.0,0.0,0.0,0.0,0.0,14.0,4.0,6.0,17.0,1.0,9.0,6.0,0.0,29.0,1.0,30.0,3.0,8.0,43.0,7.0,11.0,2.0,0.0,0.0,1.0,21.0,18.0,13.0,12.0,1.0,0.0,2.0,6.0,19.0,5.0,1.0,13.0,5.0,4.0,5.0,7.0,9.0,4.0,9.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,6.0,20.0,0.0,3.0,7.0,13.0,22.0,0.0,36.0,24.0,0.0,0.0,1.0,0.0,2.0,2.0,12.0,0.0,28.0,1.0,3.0,1.0,2.0,1.0,0.0,8.0,1.0,0.0,2.0,20.0,4.0,1.0,9.0,1.0,16.0,25.0,1.0,3.0,2.0,0.0,0.0,1.0,20.0,1.0,7.0,1.0,5.0,28.0,4.0,2.0,16.0,11.0,6.0,1.0,16.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,3.0,7.0,28.0,7.0,3.0,8.0,8.0,1.0,0.0,1.0,3.0,3.0,0.0,3.0,1.0,33.0,4.0,8.0,4.0,0.0,15.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,11.0,9.0,0.0,1.0,0.0,1.0,0.0
7,121340802.0,1.0,10.0,23.0,4.0,0.0,14.0,0.0,8.0,5.0,166.0,24.0,46.0,11.0,12.0,53.0,2.0,96.0,4.0,71.0,186.0,83.0,108.0,1.0,1.0,0.0,3.0,46.0,31.0,230.0,6.0,5.0,6.0,3.0,8.0,47.0,2.0,5.0,101.0,3.0,4.0,7.0,76.0,9.0,7.0,112.0,17.0,0.0,16.0,1.0,1.0,106.0,0.0,40.0,4.0,89.0,0.0,2.0,5.0,61.0,40.0,24.0,317.0,146.0,1.0,1.0,2.0,0.0,69.0,2.0,101.0,0.0,37.0,44.0,4.0,0.0,68.0,27.0,16.0,121.0,4.0,0.0,26.0,24.0,18.0,3.0,3.0,4.0,28.0,41.0,1.0,4.0,3.0,37.0,0.0,1.0,28.0,1.0,7.0,1.0,5.0,62.0,3.0,30.0,104.0,5.0,4.0,0.0,192.0,6.0,9.0,2.0,19.0,8.0,8.0,30.0,51.0,12.0,26.0,53.0,15.0,50.0,14.0,33.0,0.0,1.0,16.0,5.0,0.0,0.0,2.0,112.0,73.0,113.0,37.0,0.0,12.0,5.0,2.0,2.0,6.0,46.0,26.0,1.0,1.0,7.0,0.0,7.0,52.0,63.0,7.0,0.0,1.0,2.0,1.0,1.0
8,125470201.0,0.0,1.0,1.0,0.0,0.0,4.0,8.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,31.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,7.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,39.0,1.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,0.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0
9,125981551.0,0.0,4.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,6.0,0.0,2.0,2.0,0.0,5.0,1.0,4.0,0.0,3.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,4.0,5.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,6.0,5.0,2.0,0.0,1.0,0.0,17.0,3.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,2.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,23.0,7.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,6.0,0.0,1.0,1.0,2.0,10.0,9.0,1.0,57.0,1.0,0.0,0.0,1.0,137.0,3.0,1.0,1.0,2.0,6.0,20.0,1.0,2.0,103.0,6.0,0.0,5.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,12.0,0.0,29.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,34.0,0.0
