,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,-1.0,126577606.0,1269382452.0,137242112.0,139486147.0,14479449.0,147983674.0,149074708.0,155500681.0,162267352.0,1670798282.0,19337106.0,195676282.0,20133907.0,207461693.0,223415493.0,2545476971.0,256156536.0,2585049200.0,263503137.0,272753147.0,2755463859.0,279593701.0,28072221.0,2823591702.0,283321125.0,286625089.0,2886613249.0,2953587956.0,3018589736.0,312583003.0,313119250.0,321909700.0,3230555466.0,325393829.0,325744757.0,3277455930.0,3308580440.0,3310298172.0,337034270.0,3389726902.0,342020125.0,357984828.0,382527275.0,3870001338.0,401184754.0,421893092.0,450818786.0,4759411316.0,561833095.0,569195664.0,580963125.0,584698030.0,59146843.0,60608464.0,63437612.0,67805213.0,72845927.0,73458750.0,77134248.0,7.994553867134853e+17,8.287869781245583e+17,8.452086563668623e+17,8.681957685443953e+17,8.830171981382574e+17,9.493039549108224e+17,975318829.0
1,126577606.0,0.0,2.0,1.0,0.0,4.0,12.0,15.0,0.0,7.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,11.0,14.0,0.0,0.0,2.0,0.0,7.0,3.0,0.0,0.0,8.0,0.0,1.0,2.0
2,1269382452.0,2.0,0.0,5.0,5.0,5.0,3.0,61.0,0.0,63.0,3.0,1.0,4.0,3.0,0.0,42.0,26.0,27.0,56.0,1.0,1.0,4.0,0.0,1.0,20.0,0.0,0.0,41.0,1.0,0.0,7.0,18.0,1.0,30.0,14.0,3.0,9.0,3.0,23.0,5.0,2.0,15.0,8.0,0.0,0.0,2.0,2.0,3.0,4.0,45.0,4.0,36.0,14.0,52.0,27.0,11.0,4.0,16.0,3.0,118.0,1.0,3.0,0.0,18.0,22.0,17.0,27.0
3,137242112.0,1.0,5.0,0.0,2.0,2.0,7.0,4.0,0.0,5.0,2.0,1.0,0.0,19.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,2.0,2.0,3.0,5.0,25.0,1.0,1.0,11.0,1.0,2.0,1.0,1.0,3.0,10.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0
4,139486147.0,0.0,5.0,2.0,0.0,15.0,4.0,11.0,0.0,6.0,2.0,4.0,4.0,6.0,11.0,0.0,6.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,3.0,4.0,28.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,8.0,8.0,1.0,1.0,13.0,3.0,2.0,25.0,1.0,27.0,11.0,1.0,3.0,0.0,13.0,0.0,2.0,7.0
5,14479449.0,4.0,5.0,2.0,15.0,0.0,5.0,16.0,0.0,15.0,2.0,4.0,3.0,14.0,0.0,2.0,10.0,0.0,8.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,10.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,13.0,4.0,7.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,0.0,16.0,2.0,13.0,15.0,2.0,2.0,18.0,5.0,1.0,3.0,0.0,2.0,19.0,5.0,3.0,0.0,15.0,1.0,4.0,5.0
6,147983674.0,12.0,3.0,7.0,4.0,5.0,0.0,26.0,0.0,12.0,9.0,6.0,4.0,6.0,0.0,2.0,7.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,4.0,14.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,12.0,3.0,15.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,12.0,2.0,3.0,40.0,30.0,2.0,2.0,2.0,1.0,9.0,5.0,2.0,0.0,23.0,0.0,6.0,6.0
7,149074708.0,15.0,61.0,4.0,11.0,16.0,26.0,0.0,0.0,55.0,7.0,6.0,7.0,7.0,0.0,42.0,9.0,18.0,27.0,2.0,1.0,4.0,0.0,4.0,18.0,0.0,0.0,25.0,7.0,1.0,5.0,14.0,2.0,11.0,10.0,4.0,17.0,7.0,14.0,4.0,2.0,3.0,7.0,2.0,0.0,4.0,2.0,6.0,3.0,35.0,42.0,33.0,15.0,58.0,42.0,4.0,3.0,7.0,6.0,88.0,8.0,5.0,0.0,32.0,5.0,3.0,9.0
8,155500681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,162267352.0,7.0,63.0,5.0,6.0,15.0,12.0,55.0,0.0,0.0,4.0,1.0,2.0,6.0,0.0,39.0,22.0,24.0,42.0,0.0,0.0,6.0,0.0,2.0,25.0,0.0,1.0,32.0,2.0,0.0,5.0,16.0,0.0,27.0,8.0,3.0,11.0,5.0,12.0,4.0,0.0,7.0,5.0,0.0,0.0,3.0,1.0,4.0,3.0,46.0,4.0,33.0,8.0,55.0,12.0,9.0,4.0,14.0,2.0,93.0,1.0,8.0,0.0,21.0,11.0,13.0,20.0
