,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0,-1.0,102906999.0,1126676077.0,1128116924.0,1168806410.0,122564147.0,131126857.0,132095476.0,1382408617.0,155547174.0,1694093814.0,1718745828.0,17481929.0,188804287.0,1964635141.0,212464615.0,2169043847.0,2214098064.0,2232549006.0,2251887763.0,229119260.0,23048740.0,2326329361.0,2347844604.0,2548563476.0,2733625915.0,2739585757.0,2752498194.0,2834367054.0,2876520577.0,2891341698.0,3061643802.0,3065968716.0,3071041573.0,3071764538.0,3073317074.0,3076248691.0,3076272756.0,30860019.0,3138674485.0,3172166294.0,3228266521.0,3232272410.0,3237874165.0,3257476902.0,3296008817.0,3671136314.0,3933130574.0,407052670.0,425649742.0,4378883246.0,4404382574.0,4574311770.0,4777301054.0,499668104.0,522270986.0,576360862.0,587955602.0,589582314.0,590691572.0,61728690.0,628960161.0,65910592.0,68469094.0,69978079.0,7.031077597099459e+17,7.160908580182139e+17,7.184282798336369e+17,7.314251518755799e+17,7.524804840689172e+17,7.562225030605169e+17,759256634.0,7.608109947425587e+17,7.626710928130785e+17,7.717132291143844e+17,77396252.0,7.791547124236984e+17,7.8171733684369e+17,7.824629624013169e+17,7.852951984232817e+17,7.92314504898089e+17,8.068645836632187e+17,8.08335785225257e+17,8.206789392701194e+17,8.257042271879946e+17,8.336991938773606e+17,8.341239456369254e+17,8.401275466414162e+17,8.419927677902807e+17,8.441041598257111e+17,8.465949480319304e+17,8.503531430661038e+17,8.51798551390675e+17,8.527801260475802e+17,8.530569812922081e+17,8.636348702575575e+17,8.716327682827469e+17,8.782846075772477e+17,8.821569851136492e+17,8.831702189938975e+17,88440821.0,8.919413726761042e+17,8.9373720148113e+17,8.952186531715031e+17,8.963314755780035e+17,8.963453605027103e+17,8.984784324424376e+17,9.040024614672548e+17,9.093749936952566e+17,916913466.0,9.228850171134771e+17,9.28689123442901e+17,9.318496353619927e+17,9.347662656960594e+17,9.375999033199903e+17,9.413216675648799e+17,9.430452782060626e+17,9.445735459415736e+17,9.458592492084019e+17,9.508262469124055e+17,9.520236909961953e+17,9.524682197547909e+17,9.550531618651259e+17,9.567240656868598e+17,9.582120077605478e+17
1,102906999.0,0.0,1.0,15.0,45.0,9.0,4.0,2.0,7.0,11.0,4.0,2.0,0.0,0.0,5.0,2.0,5.0,1.0,3.0,6.0,0.0,0.0,10.0,6.0,12.0,0.0,1.0,6.0,6.0,4.0,1.0,5.0,9.0,4.0,3.0,11.0,29.0,0.0,14.0,0.0,4.0,2.0,8.0,0.0,62.0,0.0,11.0,4.0,1.0,10.0,17.0,18.0,24.0,1.0,0.0,4.0,13.0,10.0,1.0,16.0,4.0,3.0,4.0,8.0,0.0,3.0,0.0,63.0,7.0,0.0,4.0,0.0,3.0,5.0,7.0,2.0,1.0,7.0,5.0,7.0,31.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,8.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,4.0,6.0,46.0,0.0,30.0,0.0,0.0,10.0,4.0,3.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,5.0
2,1126676077.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0
3,1128116924.0,15.0,2.0,0.0,36.0,11.0,18.0,3.0,43.0,33.0,18.0,7.0,0.0,1.0,40.0,6.0,30.0,23.0,10.0,17.0,4.0,0.0,68.0,29.0,22.0,34.0,12.0,22.0,35.0,21.0,6.0,27.0,35.0,6.0,3.0,68.0,89.0,13.0,14.0,10.0,24.0,22.0,48.0,1.0,104.0,8.0,20.0,13.0,9.0,58.0,85.0,53.0,22.0,0.0,1.0,23.0,25.0,49.0,1.0,49.0,5.0,5.0,3.0,6.0,1.0,13.0,37.0,125.0,52.0,0.0,33.0,0.0,13.0,26.0,28.0,9.0,8.0,41.0,46.0,21.0,99.0,48.0,15.0,3.0,12.0,5.0,15.0,0.0,17.0,10.0,4.0,22.0,20.0,1.0,8.0,12.0,14.0,21.0,67.0,40.0,1.0,0.0,9.0,15.0,4.0,3.0,5.0,11.0,30.0,81.0,0.0,45.0,17.0,15.0,59.0,15.0,19.0,0.0,15.0,3.0,5.0,21.0,5.0,0.0,33.0
4,1168806410.0,45.0,3.0,36.0,0.0,17.0,24.0,4.0,23.0,26.0,12.0,10.0,0.0,1.0,10.0,8.0,7.0,1.0,20.0,22.0,5.0,1.0,38.0,22.0,33.0,8.0,3.0,22.0,10.0,8.0,6.0,13.0,12.0,4.0,9.0,15.0,109.0,0.0,31.0,4.0,8.0,4.0,22.0,0.0,239.0,0.0,28.0,10.0,3.0,24.0,52.0,38.0,62.0,14.0,0.0,9.0,16.0,20.0,8.0,63.0,5.0,5.0,2.0,29.0,0.0,13.0,3.0,363.0,22.0,0.0,8.0,9.0,11.0,28.0,7.0,9.0,3.0,9.0,18.0,15.0,99.0,15.0,8.0,0.0,2.0,0.0,8.0,0.0,7.0,1.0,2.0,5.0,12.0,1.0,8.0,11.0,1.0,14.0,34.0,15.0,9.0,1.0,5.0,13.0,0.0,0.0,2.0,14.0,14.0,189.0,0.0,64.0,1.0,3.0,10.0,7.0,5.0,0.0,5.0,5.0,4.0,8.0,0.0,0.0,6.0
5,122564147.0,9.0,2.0,11.0,17.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,7.0,7.0,0.0,0.0,4.0,3.0,9.0,0.0,0.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,4.0,9.0,17.0,1.0,7.0,1.0,0.0,3.0,4.0,0.0,25.0,1.0,2.0,7.0,2.0,11.0,12.0,13.0,20.0,4.0,0.0,3.0,10.0,8.0,4.0,6.0,5.0,2.0,6.0,13.0,0.0,0.0,0.0,34.0,8.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,14.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,3.0,11.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,26.0,0.0,24.0,0.0,0.0,5.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0
6,131126857.0,4.0,0.0,18.0,24.0,0.0,0.0,10.0,44.0,163.0,42.0,91.0,0.0,0.0,50.0,32.0,13.0,2.0,4.0,8.0,5.0,0.0,32.0,48.0,6.0,63.0,2.0,18.0,21.0,96.0,45.0,102.0,9.0,1.0,2.0,29.0,46.0,3.0,5.0,3.0,8.0,8.0,167.0,0.0,226.0,0.0,28.0,2.0,20.0,26.0,38.0,42.0,8.0,0.0,0.0,14.0,9.0,87.0,0.0,103.0,0.0,118.0,2.0,1.0,1.0,26.0,12.0,88.0,77.0,0.0,22.0,1.0,47.0,71.0,14.0,11.0,8.0,11.0,50.0,12.0,50.0,20.0,69.0,2.0,4.0,0.0,15.0,0.0,3.0,0.0,97.0,9.0,22.0,0.0,1.0,4.0,4.0,5.0,33.0,18.0,2.0,2.0,34.0,129.0,0.0,0.0,2.0,55.0,61.0,99.0,0.0,15.0,1.0,5.0,25.0,30.0,1.0,0.0,4.0,2.0,31.0,4.0,0.0,0.0,43.0
7,132095476.0,2.0,0.0,3.0,4.0,0.0,10.0,0.0,3.0,6.0,4.0,9.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,0.0,4.0,1.0,5.0,0.0,8.0,4.0,0.0,1.0,8.0,13.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,23.0,0.0,2.0,1.0,1.0,4.0,3.0,11.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,15.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,6.0,8.0,4.0,7.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0
8,1382408617.0,7.0,2.0,43.0,23.0,8.0,44.0,3.0,0.0,43.0,23.0,7.0,0.0,1.0,63.0,2.0,24.0,1.0,11.0,21.0,2.0,0.0,70.0,30.0,23.0,30.0,3.0,21.0,43.0,34.0,13.0,40.0,23.0,0.0,2.0,84.0,100.0,2.0,13.0,8.0,6.0,23.0,70.0,4.0,130.0,1.0,18.0,6.0,19.0,58.0,79.0,73.0,22.0,0.0,2.0,24.0,26.0,69.0,1.0,69.0,5.0,19.0,4.0,8.0,1.0,19.0,16.0,150.0,80.0,0.0,25.0,2.0,18.0,28.0,34.0,8.0,10.0,26.0,81.0,20.0,92.0,47.0,35.0,3.0,4.0,0.0,12.0,0.0,13.0,1.0,16.0,6.0,27.0,1.0,6.0,6.0,10.0,9.0,75.0,36.0,1.0,0.0,14.0,27.0,0.0,0.0,2.0,25.0,40.0,146.0,0.0,30.0,2.0,10.0,57.0,21.0,3.0,0.0,6.0,5.0,16.0,31.0,0.0,0.0,49.0
9,155547174.0,11.0,2.0,33.0,26.0,6.0,163.0,6.0,43.0,0.0,63.0,149.0,0.0,1.0,64.0,69.0,17.0,1.0,9.0,18.0,2.0,0.0,48.0,105.0,17.0,69.0,5.0,30.0,35.0,194.0,94.0,131.0,16.0,1.0,7.0,46.0,71.0,2.0,14.0,4.0,15.0,12.0,271.0,1.0,331.0,0.0,45.0,6.0,30.0,36.0,60.0,58.0,19.0,0.0,1.0,14.0,20.0,122.0,2.0,147.0,4.0,242.0,5.0,5.0,1.0,37.0,10.0,96.0,129.0,0.0,32.0,0.0,103.0,135.0,23.0,9.0,9.0,20.0,55.0,25.0,72.0,24.0,94.0,2.0,5.0,0.0,20.0,0.0,13.0,1.0,175.0,7.0,30.0,1.0,7.0,17.0,3.0,12.0,39.0,31.0,1.0,3.0,58.0,219.0,0.0,0.0,4.0,81.0,89.0,128.0,0.0,33.0,1.0,7.0,30.0,49.0,3.0,0.0,4.0,4.0,38.0,14.0,0.0,0.0,49.0
