,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,-1.0,31668901.0,34699794.0,38473472.0,42493231.0,48959778.0,50645038.0,55837229.0,61695104.0,62783007.0,105092771.0,111950228.0,115000873.0,145401113.0,150881077.0,156647839.0,176015466.0,185137586.0,194008664.0,198093342.0,210824047.0,232663395.0,238169051.0,238662181.0,243601314.0,244152633.0,247494866.0,249644051.0,250334613.0,258536563.0,260314188.0,263515257.0,267088381.0,268274442.0,268529448.0,274246546.0,275519557.0,275670270.0,276228017.0,276676924.0,286791919.0,300918727.0,302144631.0,311943676.0,330185697.0,332757755.0,359509980.0,360201349.0,370501016.0,385160961.0,394285779.0,402037439.0,405438023.0,428978217.0
1,31668901.0,0.0,58.0,217.0,82.0,86.0,112.0,150.0,3.0,112.0,75.0,85.0,269.0,25.0,35.0,27.0,154.0,313.0,59.0,26.0,86.0,204.0,104.0,58.0,119.0,131.0,29.0,63.0,42.0,372.0,167.0,10.0,159.0,92.0,201.0,75.0,74.0,153.0,6.0,147.0,63.0,82.0,7.0,84.0,102.0,15.0,26.0,100.0,3.0,5.0,187.0,197.0,127.0,6.0
2,34699794.0,58.0,0.0,23.0,36.0,61.0,76.0,23.0,0.0,12.0,16.0,65.0,34.0,4.0,24.0,13.0,16.0,49.0,41.0,12.0,13.0,20.0,100.0,27.0,25.0,42.0,25.0,84.0,30.0,95.0,74.0,28.0,35.0,19.0,55.0,30.0,11.0,65.0,0.0,42.0,8.0,3.0,5.0,1.0,22.0,2.0,24.0,61.0,6.0,0.0,42.0,48.0,128.0,1.0
3,38473472.0,217.0,23.0,0.0,50.0,39.0,80.0,104.0,1.0,207.0,50.0,35.0,169.0,41.0,35.0,22.0,129.0,237.0,33.0,14.0,60.0,170.0,58.0,34.0,116.0,95.0,14.0,22.0,21.0,241.0,55.0,9.0,89.0,66.0,134.0,43.0,50.0,69.0,17.0,90.0,86.0,61.0,2.0,148.0,68.0,7.0,21.0,30.0,0.0,2.0,97.0,92.0,57.0,1.0
4,42493231.0,82.0,36.0,50.0,0.0,44.0,85.0,33.0,2.0,27.0,27.0,45.0,32.0,11.0,35.0,16.0,37.0,75.0,54.0,12.0,12.0,49.0,50.0,29.0,34.0,73.0,16.0,42.0,22.0,110.0,66.0,11.0,58.0,24.0,88.0,24.0,26.0,81.0,0.0,80.0,10.0,11.0,4.0,8.0,71.0,5.0,16.0,80.0,2.0,1.0,68.0,95.0,96.0,5.0
5,48959778.0,86.0,61.0,39.0,44.0,0.0,157.0,25.0,0.0,18.0,16.0,58.0,28.0,11.0,56.0,11.0,66.0,109.0,65.0,68.0,21.0,52.0,63.0,16.0,42.0,77.0,52.0,34.0,17.0,140.0,105.0,16.0,40.0,29.0,59.0,50.0,16.0,132.0,0.0,52.0,11.0,11.0,2.0,3.0,70.0,2.0,25.0,71.0,0.0,0.0,59.0,127.0,84.0,3.0
6,50645038.0,112.0,76.0,80.0,85.0,157.0,0.0,30.0,3.0,37.0,34.0,145.0,22.0,16.0,145.0,23.0,73.0,122.0,130.0,47.0,16.0,69.0,167.0,38.0,77.0,119.0,76.0,77.0,34.0,202.0,116.0,118.0,48.0,23.0,86.0,42.0,13.0,144.0,2.0,60.0,11.0,7.0,10.0,5.0,144.0,3.0,107.0,196.0,1.0,1.0,63.0,95.0,200.0,2.0
7,55837229.0,150.0,23.0,104.0,33.0,25.0,30.0,0.0,0.0,60.0,33.0,32.0,207.0,11.0,4.0,11.0,69.0,152.0,7.0,3.0,66.0,98.0,31.0,22.0,56.0,36.0,21.0,13.0,14.0,189.0,50.0,2.0,66.0,46.0,70.0,44.0,34.0,38.0,1.0,54.0,38.0,46.0,2.0,55.0,36.0,7.0,7.0,26.0,0.0,1.0,79.0,72.0,31.0,2.0
8,61695104.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
9,62783007.0,112.0,12.0,207.0,27.0,18.0,37.0,60.0,1.0,0.0,29.0,12.0,82.0,25.0,25.0,7.0,71.0,112.0,19.0,6.0,33.0,112.0,22.0,25.0,88.0,101.0,5.0,22.0,9.0,130.0,47.0,1.0,52.0,60.0,82.0,16.0,32.0,49.0,7.0,76.0,33.0,33.0,4.0,81.0,43.0,7.0,14.0,14.0,1.0,2.0,43.0,76.0,23.0,1.0
10,105092771.0,75.0,16.0,50.0,27.0,16.0,34.0,33.0,0.0,29.0,0.0,27.0,50.0,10.0,10.0,10.0,30.0,71.0,20.0,11.0,16.0,53.0,34.0,16.0,36.0,36.0,5.0,11.0,14.0,88.0,22.0,1.0,19.0,19.0,31.0,20.0,30.0,28.0,3.0,24.0,17.0,28.0,3.0,31.0,25.0,8.0,6.0,18.0,0.0,2.0,37.0,35.0,40.0,2.0
11,111950228.0,85.0,65.0,35.0,45.0,58.0,145.0,32.0,0.0,12.0,27.0,0.0,39.0,6.0,23.0,15.0,23.0,69.0,49.0,20.0,18.0,45.0,114.0,36.0,33.0,70.0,33.0,47.0,26.0,114.0,93.0,5.0,48.0,13.0,81.0,27.0,26.0,84.0,1.0,52.0,7.0,6.0,2.0,5.0,33.0,3.0,27.0,75.0,0.0,0.0,64.0,85.0,143.0,4.0
12,115000873.0,269.0,34.0,169.0,32.0,28.0,22.0,207.0,0.0,82.0,50.0,39.0,0.0,19.0,5.0,17.0,96.0,234.0,14.0,11.0,74.0,176.0,68.0,40.0,80.0,51.0,21.0,30.0,20.0,308.0,65.0,1.0,116.0,64.0,110.0,49.0,60.0,50.0,4.0,77.0,82.0,79.0,3.0,84.0,31.0,13.0,11.0,20.0,0.0,3.0,123.0,90.0,40.0,4.0
13,145401113.0,25.0,4.0,41.0,11.0,11.0,16.0,11.0,0.0,25.0,10.0,6.0,19.0,0.0,8.0,5.0,21.0,50.0,9.0,4.0,4.0,37.0,5.0,10.0,34.0,22.0,7.0,5.0,3.0,34.0,2.0,7.0,5.0,9.0,12.0,10.0,10.0,6.0,0.0,14.0,23.0,9.0,0.0,15.0,17.0,1.0,6.0,10.0,0.0,2.0,17.0,8.0,6.0,0.0
14,150881077.0,35.0,24.0,35.0,35.0,56.0,145.0,4.0,0.0,25.0,10.0,23.0,5.0,8.0,0.0,2.0,29.0,47.0,49.0,17.0,1.0,33.0,32.0,6.0,18.0,107.0,27.0,32.0,61.0,69.0,65.0,419.0,26.0,8.0,63.0,23.0,5.0,69.0,0.0,42.0,2.0,1.0,83.0,1.0,43.0,0.0,277.0,58.0,19.0,0.0,23.0,58.0,74.0,1.0
15,156647839.0,27.0,13.0,22.0,16.0,11.0,23.0,11.0,0.0,7.0,10.0,15.0,17.0,5.0,2.0,0.0,11.0,28.0,13.0,4.0,7.0,19.0,22.0,8.0,11.0,13.0,8.0,13.0,12.0,25.0,8.0,1.0,9.0,2.0,19.0,8.0,9.0,12.0,0.0,13.0,2.0,4.0,0.0,5.0,7.0,0.0,6.0,17.0,0.0,1.0,15.0,13.0,38.0,0.0
16,176015466.0,154.0,16.0,129.0,37.0,66.0,73.0,69.0,1.0,71.0,30.0,23.0,96.0,21.0,29.0,11.0,0.0,153.0,37.0,20.0,31.0,86.0,30.0,23.0,73.0,95.0,29.0,14.0,11.0,130.0,67.0,7.0,56.0,44.0,103.0,50.0,19.0,64.0,4.0,65.0,35.0,36.0,5.0,57.0,65.0,7.0,11.0,39.0,0.0,2.0,65.0,108.0,34.0,1.0
17,185137586.0,313.0,49.0,237.0,75.0,109.0,122.0,152.0,1.0,112.0,71.0,69.0,234.0,50.0,47.0,28.0,153.0,0.0,58.0,28.0,67.0,218.0,91.0,41.0,157.0,153.0,42.0,33.0,44.0,409.0,140.0,12.0,116.0,91.0,141.0,87.0,61.0,141.0,4.0,115.0,93.0,88.0,7.0,98.0,118.0,14.0,37.0,62.0,1.0,3.0,154.0,184.0,86.0,5.0
18,194008664.0,59.0,41.0,33.0,54.0,65.0,130.0,7.0,0.0,19.0,20.0,49.0,14.0,9.0,49.0,13.0,37.0,58.0,0.0,23.0,5.0,32.0,66.0,22.0,25.0,75.0,11.0,42.0,24.0,93.0,48.0,14.0,50.0,10.0,66.0,28.0,10.0,71.0,0.0,48.0,1.0,3.0,2.0,1.0,47.0,0.0,44.0,65.0,3.0,0.0,61.0,72.0,125.0,1.0
19,198093342.0,26.0,12.0,14.0,12.0,68.0,47.0,3.0,0.0,6.0,11.0,20.0,11.0,4.0,17.0,4.0,20.0,28.0,23.0,0.0,1.0,18.0,19.0,9.0,12.0,27.0,4.0,6.0,6.0,31.0,20.0,17.0,6.0,4.0,17.0,15.0,5.0,25.0,0.0,9.0,5.0,3.0,3.0,1.0,17.0,1.0,13.0,11.0,0.0,0.0,15.0,26.0,21.0,0.0
20,210824047.0,86.0,13.0,60.0,12.0,21.0,16.0,66.0,0.0,33.0,16.0,18.0,74.0,4.0,1.0,7.0,31.0,67.0,5.0,1.0,0.0,45.0,18.0,16.0,31.0,27.0,15.0,9.0,4.0,81.0,27.0,1.0,39.0,28.0,47.0,20.0,17.0,31.0,1.0,31.0,27.0,25.0,1.0,40.0,19.0,6.0,1.0,14.0,0.0,1.0,44.0,39.0,18.0,1.0
