,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,-1.0,787239.0,4970411.0,17602601.0,18787073.0,19512791.0,19873938.0,20263645.0,23718694.0,30709612.0,37593470.0,47107118.0,48959778.0,49923648.0,55837229.0,57166994.0,64790215.0,66680811.0,68342933.0,70309675.0,75055396.0,88902818.0,90005432.0,96441830.0,100118234.0,100664808.0,109377049.0,131218849.0,147318859.0,150881077.0,153874532.0,153949977.0,156548748.0,174621891.0,177561786.0,200301483.0,210520883.0,210824047.0,213423438.0,217078361.0,222445330.0,235614474.0,244623022.0,244688337.0,244896607.0,245901604.0,246875675.0,247007005.0,250017058.0,250735486.0,260706920.0,261905897.0,265530743.0,268445390.0,270038165.0,276786706.0,280522436.0,289104235.0,289542331.0,296532899.0,301356533.0,302144631.0,310811319.0,313124247.0,315673304.0,317262357.0,324416625.0,330049233.0,330994588.0,350202078.0,354708537.0,358982116.0,359179176.0,361525299.0,361870458.0,367279583.0,368229348.0,415463353.0,418992848.0,420351613.0,427111253.0,428978217.0,428999682.0,431786594.0,436029388.0
1,787239.0,0.0,5.0,28.0,44.0,12.0,36.0,6.0,183.0,4.0,70.0,50.0,24.0,52.0,1.0,3.0,17.0,64.0,12.0,118.0,9.0,0.0,4.0,32.0,21.0,0.0,46.0,8.0,5.0,32.0,0.0,0.0,1.0,23.0,19.0,0.0,9.0,5.0,0.0,48.0,2.0,22.0,129.0,0.0,23.0,30.0,18.0,2.0,0.0,11.0,93.0,5.0,5.0,14.0,31.0,29.0,6.0,4.0,2.0,0.0,18.0,3.0,0.0,0.0,2.0,0.0,12.0,66.0,0.0,0.0,30.0,57.0,9.0,0.0,5.0,0.0,0.0,12.0,1.0,126.0,2.0,0.0,0.0,0.0,26.0
2,4970411.0,5.0,0.0,2.0,1.0,3.0,2.0,0.0,3.0,0.0,4.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,0.0,8.0,2.0,1.0,18.0,0.0,4.0,39.0,3.0,0.0,0.0,4.0,5.0,2.0,1.0,1.0,11.0,9.0,8.0,2.0,4.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,2.0,0.0,0.0,3.0,3.0
3,17602601.0,28.0,2.0,0.0,18.0,6.0,10.0,11.0,32.0,1.0,16.0,31.0,29.0,28.0,9.0,0.0,5.0,18.0,27.0,46.0,7.0,0.0,5.0,9.0,13.0,2.0,33.0,16.0,0.0,30.0,0.0,0.0,1.0,19.0,16.0,0.0,2.0,1.0,0.0,36.0,0.0,16.0,56.0,0.0,14.0,23.0,5.0,3.0,0.0,18.0,31.0,3.0,4.0,4.0,27.0,19.0,0.0,3.0,10.0,1.0,11.0,5.0,0.0,0.0,1.0,0.0,8.0,43.0,0.0,0.0,12.0,37.0,5.0,0.0,2.0,0.0,0.0,13.0,1.0,23.0,1.0,0.0,0.0,0.0,17.0
4,18787073.0,44.0,1.0,18.0,0.0,9.0,14.0,4.0,26.0,2.0,8.0,28.0,17.0,22.0,5.0,1.0,7.0,29.0,11.0,8.0,6.0,0.0,2.0,6.0,19.0,1.0,46.0,5.0,2.0,13.0,0.0,0.0,0.0,11.0,11.0,0.0,5.0,1.0,0.0,34.0,2.0,12.0,63.0,0.0,8.0,19.0,10.0,3.0,0.0,16.0,56.0,10.0,3.0,5.0,17.0,13.0,3.0,4.0,6.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,10.0,41.0,0.0,0.0,2.0,36.0,12.0,0.0,1.0,0.0,0.0,15.0,1.0,10.0,1.0,0.0,0.0,0.0,16.0
5,19512791.0,12.0,3.0,6.0,9.0,0.0,8.0,9.0,5.0,36.0,165.0,84.0,43.0,26.0,2.0,1.0,2.0,31.0,5.0,7.0,3.0,0.0,3.0,14.0,52.0,0.0,45.0,5.0,1.0,58.0,2.0,0.0,1.0,37.0,47.0,0.0,3.0,3.0,0.0,89.0,1.0,25.0,64.0,0.0,17.0,106.0,12.0,19.0,0.0,14.0,351.0,10.0,47.0,30.0,27.0,14.0,7.0,5.0,9.0,1.0,11.0,5.0,0.0,0.0,0.0,1.0,10.0,21.0,0.0,0.0,57.0,91.0,6.0,0.0,1.0,0.0,0.0,11.0,1.0,6.0,1.0,0.0,0.0,0.0,40.0
6,19873938.0,36.0,2.0,10.0,14.0,8.0,0.0,0.0,28.0,18.0,64.0,41.0,44.0,65.0,49.0,2.0,4.0,29.0,11.0,43.0,3.0,0.0,5.0,18.0,28.0,5.0,52.0,6.0,4.0,19.0,0.0,5.0,0.0,71.0,32.0,2.0,7.0,27.0,3.0,65.0,2.0,22.0,153.0,12.0,59.0,76.0,56.0,3.0,0.0,20.0,55.0,12.0,8.0,62.0,16.0,29.0,77.0,41.0,3.0,18.0,17.0,3.0,0.0,8.0,15.0,1.0,4.0,43.0,0.0,7.0,33.0,47.0,21.0,0.0,8.0,0.0,7.0,45.0,6.0,19.0,5.0,4.0,0.0,12.0,12.0
7,20263645.0,6.0,0.0,11.0,4.0,9.0,0.0,0.0,0.0,2.0,19.0,13.0,6.0,2.0,0.0,0.0,1.0,9.0,4.0,14.0,1.0,0.0,0.0,3.0,7.0,0.0,6.0,2.0,1.0,65.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,9.0,0.0,1.0,13.0,2.0,1.0,0.0,3.0,18.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,7.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0
8,23718694.0,183.0,3.0,32.0,26.0,5.0,28.0,0.0,0.0,1.0,14.0,34.0,15.0,41.0,7.0,4.0,6.0,39.0,33.0,127.0,4.0,0.0,2.0,26.0,7.0,0.0,29.0,6.0,2.0,9.0,0.0,0.0,0.0,15.0,6.0,0.0,15.0,0.0,0.0,31.0,7.0,11.0,81.0,0.0,13.0,9.0,10.0,2.0,0.0,10.0,33.0,7.0,3.0,3.0,13.0,20.0,6.0,1.0,3.0,2.0,13.0,2.0,0.0,0.0,1.0,1.0,3.0,86.0,0.0,0.0,8.0,34.0,6.0,0.0,7.0,0.0,0.0,10.0,0.0,38.0,2.0,0.0,0.0,0.0,8.0
9,30709612.0,4.0,0.0,1.0,2.0,36.0,18.0,2.0,1.0,0.0,230.0,19.0,11.0,3.0,6.0,0.0,0.0,18.0,10.0,9.0,1.0,0.0,3.0,4.0,2.0,0.0,22.0,0.0,4.0,20.0,1.0,1.0,1.0,34.0,31.0,1.0,1.0,2.0,0.0,29.0,0.0,111.0,9.0,0.0,4.0,6.0,3.0,20.0,0.0,1.0,19.0,0.0,212.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,5.0,322.0,9.0,3.0,0.0,0.0,0.0,9.0,2.0,0.0,7.0,0.0,0.0,0.0,5.0,36.0
10,37593470.0,70.0,4.0,16.0,8.0,165.0,64.0,19.0,14.0,230.0,0.0,396.0,79.0,77.0,10.0,2.0,6.0,76.0,18.0,107.0,5.0,0.0,7.0,36.0,87.0,1.0,64.0,6.0,3.0,114.0,2.0,0.0,2.0,103.0,271.0,0.0,2.0,11.0,0.0,220.0,2.0,258.0,350.0,0.0,78.0,257.0,36.0,18.0,0.0,16.0,327.0,7.0,498.0,95.0,53.0,43.0,33.0,14.0,15.0,13.0,21.0,20.0,0.0,1.0,1.0,1.0,4.0,77.0,0.0,0.0,168.0,155.0,11.0,0.0,4.0,0.0,1.0,16.0,1.0,52.0,3.0,2.0,0.0,1.0,290.0
11,47107118.0,50.0,2.0,31.0,28.0,84.0,41.0,13.0,34.0,19.0,396.0,0.0,97.0,100.0,15.0,4.0,9.0,97.0,17.0,76.0,17.0,0.0,4.0,134.0,120.0,3.0,74.0,9.0,2.0,86.0,0.0,0.0,2.0,114.0,145.0,0.0,10.0,11.0,0.0,322.0,1.0,119.0,259.0,0.0,65.0,427.0,41.0,12.0,0.0,23.0,438.0,6.0,126.0,85.0,64.0,53.0,28.0,14.0,10.0,3.0,24.0,6.0,0.0,0.0,2.0,1.0,14.0,78.0,0.0,1.0,52.0,193.0,17.0,0.0,9.0,0.0,1.0,20.0,2.0,49.0,1.0,0.0,0.0,6.0,124.0
12,48959778.0,24.0,3.0,29.0,17.0,43.0,44.0,6.0,15.0,11.0,79.0,97.0,0.0,57.0,25.0,1.0,8.0,51.0,11.0,29.0,14.0,0.0,2.0,36.0,52.0,3.0,59.0,12.0,5.0,56.0,3.0,0.0,2.0,46.0,45.0,1.0,9.0,21.0,0.0,151.0,2.0,23.0,174.0,2.0,76.0,82.0,45.0,5.0,0.0,29.0,135.0,14.0,11.0,72.0,51.0,48.0,47.0,18.0,10.0,5.0,29.0,2.0,0.0,1.0,4.0,1.0,34.0,52.0,0.0,0.0,14.0,95.0,23.0,1.0,8.0,0.0,0.0,24.0,6.0,14.0,3.0,3.0,0.0,1.0,43.0
13,49923648.0,52.0,3.0,28.0,22.0,26.0,65.0,2.0,41.0,3.0,77.0,100.0,57.0,0.0,50.0,2.0,6.0,35.0,16.0,58.0,10.0,2.0,4.0,23.0,57.0,8.0,55.0,13.0,3.0,40.0,0.0,11.0,2.0,133.0,40.0,3.0,10.0,21.0,5.0,87.0,1.0,22.0,180.0,22.0,56.0,124.0,96.0,4.0,0.0,26.0,105.0,11.0,5.0,52.0,51.0,42.0,104.0,39.0,4.0,5.0,18.0,1.0,0.0,7.0,34.0,0.0,11.0,63.0,0.0,10.0,25.0,85.0,26.0,0.0,24.0,0.0,20.0,30.0,4.0,27.0,6.0,3.0,0.0,80.0,25.0
