,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,-1.0,43133293.0,48959778.0,210585182.0,232823702.0,243336397.0,247494866.0,250998591.0,254158833.0,254766784.0,255683222.0,260314188.0,265265702.0,267190152.0,268939745.0,269680826.0,301537287.0,302039432.0,307216925.0,311371515.0,313467986.0,337938871.0,360167770.0,362124052.0,363763442.0,366252804.0,385160961.0,394285779.0,394850224.0,432690248.0,441155820.0
1,43133293.0,0.0,27.0,164.0,0.0,127.0,11.0,134.0,0.0,7.0,66.0,49.0,36.0,75.0,54.0,0.0,83.0,33.0,0.0,23.0,153.0,11.0,61.0,0.0,9.0,0.0,3.0,87.0,4.0,15.0,53.0
2,48959778.0,27.0,0.0,19.0,0.0,22.0,51.0,13.0,0.0,3.0,46.0,104.0,4.0,17.0,50.0,0.0,14.0,115.0,5.0,0.0,11.0,15.0,11.0,1.0,33.0,0.0,0.0,59.0,27.0,0.0,22.0
3,210585182.0,164.0,19.0,0.0,0.0,290.0,9.0,208.0,1.0,9.0,64.0,39.0,100.0,106.0,72.0,0.0,106.0,10.0,1.0,25.0,218.0,8.0,44.0,1.0,7.0,0.0,4.0,88.0,0.0,67.0,92.0
4,232823702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,243336397.0,127.0,22.0,290.0,0.0,0.0,15.0,201.0,1.0,5.0,68.0,58.0,48.0,85.0,60.0,0.0,104.0,11.0,1.0,28.0,169.0,18.0,54.0,1.0,4.0,0.0,2.0,90.0,0.0,41.0,73.0
6,247494866.0,11.0,51.0,9.0,0.0,15.0,0.0,10.0,0.0,1.0,25.0,30.0,1.0,10.0,11.0,0.0,13.0,33.0,1.0,1.0,7.0,6.0,2.0,0.0,6.0,0.0,0.0,16.0,14.0,1.0,4.0
7,250998591.0,134.0,13.0,208.0,0.0,201.0,10.0,0.0,0.0,11.0,89.0,52.0,41.0,97.0,67.0,0.0,162.0,14.0,0.0,34.0,107.0,8.0,59.0,2.0,4.0,0.0,3.0,124.0,1.0,43.0,64.0
8,254158833.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,254766784.0,7.0,3.0,9.0,0.0,5.0,1.0,11.0,0.0,0.0,9.0,9.0,0.0,6.0,10.0,0.0,8.0,7.0,2.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,2.0
10,255683222.0,66.0,46.0,64.0,0.0,68.0,25.0,89.0,0.0,9.0,0.0,134.0,7.0,45.0,61.0,0.0,67.0,74.0,2.0,4.0,30.0,29.0,39.0,0.0,12.0,1.0,3.0,135.0,8.0,10.0,33.0
11,260314188.0,49.0,104.0,39.0,0.0,58.0,30.0,52.0,0.0,9.0,134.0,0.0,7.0,38.0,40.0,0.0,32.0,156.0,3.0,3.0,24.0,31.0,24.0,0.0,18.0,0.0,1.0,156.0,6.0,2.0,30.0
12,265265702.0,36.0,4.0,100.0,0.0,48.0,1.0,41.0,0.0,0.0,7.0,7.0,0.0,26.0,48.0,0.0,27.0,1.0,0.0,13.0,67.0,5.0,6.0,1.0,4.0,1.0,1.0,13.0,3.0,52.0,26.0
13,267190152.0,75.0,17.0,106.0,0.0,85.0,10.0,97.0,0.0,6.0,45.0,38.0,26.0,0.0,29.0,0.0,59.0,9.0,3.0,8.0,68.0,6.0,35.0,0.0,3.0,0.0,3.0,47.0,5.0,13.0,36.0
14,268939745.0,54.0,50.0,72.0,0.0,60.0,11.0,67.0,0.0,10.0,61.0,40.0,48.0,29.0,0.0,0.0,51.0,84.0,5.0,10.0,41.0,32.0,17.0,0.0,33.0,0.0,5.0,75.0,12.0,34.0,35.0
15,269680826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,301537287.0,83.0,14.0,106.0,0.0,104.0,13.0,162.0,0.0,8.0,67.0,32.0,27.0,59.0,51.0,0.0,0.0,14.0,1.0,14.0,63.0,12.0,47.0,1.0,6.0,0.0,4.0,77.0,2.0,26.0,34.0
17,302039432.0,33.0,115.0,10.0,0.0,11.0,33.0,14.0,0.0,7.0,74.0,156.0,1.0,9.0,84.0,0.0,14.0,0.0,5.0,1.0,2.0,30.0,8.0,0.0,38.0,0.0,0.0,97.0,63.0,1.0,19.0
18,307216925.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0
19,311371515.0,23.0,0.0,25.0,0.0,28.0,1.0,34.0,1.0,0.0,4.0,3.0,13.0,8.0,10.0,0.0,14.0,1.0,0.0,0.0,23.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,17.0,7.0
20,313467986.0,153.0,11.0,218.0,0.0,169.0,7.0,107.0,0.0,3.0,30.0,24.0,67.0,68.0,41.0,0.0,63.0,2.0,1.0,23.0,0.0,8.0,35.0,0.0,2.0,0.0,2.0,34.0,0.0,28.0,66.0
21,337938871.0,11.0,15.0,8.0,0.0,18.0,6.0,8.0,0.0,2.0,29.0,31.0,5.0,6.0,32.0,0.0,12.0,30.0,1.0,0.0,8.0,0.0,5.0,1.0,10.0,0.0,0.0,30.0,4.0,3.0,12.0
22,360167770.0,61.0,11.0,44.0,0.0,54.0,2.0,59.0,0.0,3.0,39.0,24.0,6.0,35.0,17.0,0.0,47.0,8.0,0.0,6.0,35.0,5.0,0.0,0.0,5.0,0.0,2.0,44.0,0.0,5.0,15.0
23,362124052.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,363763442.0,9.0,33.0,7.0,0.0,4.0,6.0,4.0,0.0,1.0,12.0,18.0,4.0,3.0,33.0,0.0,6.0,38.0,4.0,0.0,2.0,10.0,5.0,1.0,0.0,2.0,0.0,21.0,10.0,4.0,11.0
25,366252804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
26,385160961.0,3.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
27,394285779.0,87.0,59.0,88.0,0.0,90.0,16.0,124.0,0.0,5.0,135.0,156.0,13.0,47.0,75.0,0.0,77.0,97.0,6.0,6.0,34.0,30.0,44.0,1.0,21.0,0.0,3.0,0.0,10.0,13.0,37.0
28,394850224.0,4.0,27.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,8.0,6.0,3.0,5.0,12.0,0.0,2.0,63.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,0.0,10.0,0.0,0.0,3.0
29,432690248.0,15.0,0.0,67.0,0.0,41.0,1.0,43.0,0.0,2.0,10.0,2.0,52.0,13.0,34.0,0.0,26.0,1.0,0.0,17.0,28.0,3.0,5.0,0.0,4.0,0.0,1.0,13.0,0.0,0.0,22.0
30,441155820.0,53.0,22.0,92.0,0.0,73.0,4.0,64.0,0.0,2.0,33.0,30.0,26.0,36.0,35.0,0.0,34.0,19.0,0.0,7.0,66.0,12.0,15.0,0.0,11.0,1.0,1.0,37.0,3.0,22.0,0.0
