,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0,-1.0,48827911.0,60585863.0,91771258.0,93278929.0,93821924.0,100664808.0,101824385.0,108459932.0,117802966.0,136668589.0,140198531.0,144750908.0,145401113.0,150881077.0,170071502.0,173159749.0,218597918.0,226073100.0,229423749.0,234987253.0,235031383.0,235035889.0,235133815.0,235244721.0,235311592.0,235371205.0,235372141.0,235378492.0,235396430.0,235412941.0,235426208.0,235572234.0,235589107.0,235590945.0,235600534.0,235604645.0,235629274.0,235630503.0,235636649.0,235642668.0,235658791.0,235661827.0,235672077.0,235675462.0,235676104.0,235677728.0,235677956.0,235678528.0,235685482.0,235689519.0,235691456.0,235697080.0,235698786.0,235703766.0,238169051.0,240729286.0,248129956.0,251978063.0,252161539.0,252266246.0,252379338.0,252966801.0,253750066.0,254758878.0,255164348.0,255630029.0,258242479.0,259898108.0,262232740.0,267234602.0,269518703.0,269680826.0,270620228.0,271964683.0,272259832.0,272395075.0,274709235.0,275122708.0,281553266.0,281669464.0,286094270.0,286124895.0,288104925.0,288599704.0,295342500.0,300768607.0,301514075.0,302448097.0,304068502.0,306016676.0,306275900.0,310340959.0,310815355.0,315973247.0,317262357.0,326219839.0,329566290.0,330994588.0,337273196.0,338936677.0,340846818.0,342615871.0,346768427.0,353216460.0,354708537.0,356510378.0,359179176.0,360167770.0,361525299.0,367142911.0,367808555.0,368229348.0,369398874.0,369489416.0,371745778.0,376306383.0,382368139.0,386501559.0,395332237.0,402005387.0,415349354.0,424560925.0
1,48827911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,60585863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,91771258.0,0.0,0.0,0.0,8.0,13.0,3.0,0.0,1.0,7.0,7.0,6.0,0.0,7.0,5.0,1.0,11.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,4.0,6.0,2.0,10.0,3.0,1.0,1.0,4.0,0.0,0.0,10.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,10.0,0.0,5.0,2.0,9.0,7.0,1.0,8.0,0.0,0.0,2.0,11.0,1.0,0.0,1.0,4.0,0.0,3.0,5.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,48.0,5.0,0.0,5.0,7.0,0.0,0.0,0.0,15.0,0.0,2.0,8.0,21.0,0.0,4.0,0.0,9.0,0.0,0.0
4,93278929.0,0.0,0.0,8.0,0.0,12.0,5.0,0.0,1.0,4.0,6.0,12.0,1.0,16.0,13.0,4.0,10.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,15.0,11.0,11.0,2.0,15.0,10.0,22.0,3.0,7.0,0.0,2.0,6.0,3.0,7.0,0.0,0.0,0.0,11.0,2.0,12.0,2.0,6.0,5.0,13.0,15.0,5.0,9.0,0.0,0.0,0.0,9.0,0.0,2.0,8.0,8.0,3.0,0.0,6.0,1.0,30.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,49.0,5.0,0.0,7.0,11.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,24.0,0.0,10.0,0.0,12.0,0.0,0.0
5,93821924.0,0.0,0.0,13.0,12.0,0.0,2.0,0.0,0.0,6.0,5.0,9.0,0.0,14.0,7.0,2.0,20.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,17.0,0.0,5.0,2.0,15.0,7.0,4.0,3.0,7.0,0.0,0.0,11.0,10.0,3.0,0.0,0.0,0.0,9.0,4.0,11.0,0.0,5.0,5.0,7.0,6.0,3.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,21.0,1.0,2.0,5.0,0.0,18.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,50.0,2.0,0.0,7.0,5.0,0.0,0.0,4.0,7.0,0.0,2.0,5.0,17.0,0.0,18.0,0.0,16.0,0.0,0.0
6,100664808.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,6.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,25.0,0.0,4.0,0.0,5.0,0.0,0.0
7,101824385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,108459932.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,117802966.0,0.0,0.0,7.0,4.0,6.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,9.0,52.0,7.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,16.0,7.0,5.0,17.0,7.0,30.0,3.0,5.0,1.0,3.0,7.0,12.0,6.0,0.0,0.0,0.0,9.0,28.0,19.0,0.0,9.0,7.0,5.0,15.0,7.0,6.0,0.0,0.0,8.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,7.0,0.0,20.0,9.0,0.0,1.0,5.0,6.0,3.0,6.0,51.0,9.0,0.0,3.0,2.0,0.0,2.0,34.0,1.0,0.0,4.0,2.0,7.0,0.0,13.0,0.0,41.0,0.0,0.0
