,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
0,-1.0,778057.0,4970411.0,9378802.0,14741417.0,16325355.0,18086309.0,18188983.0,18594520.0,19074053.0,19712559.0,20097381.0,20640999.0,29604379.0,31668901.0,33971579.0,40506219.0,43282075.0,45365156.0,48110601.0,48495906.0,48959778.0,49766415.0,50462497.0,50645038.0,52434723.0,53223847.0,57072321.0,63831819.0,72355549.0,72761871.0,74637074.0,75055396.0,78344217.0,83845274.0,98547437.0,107736469.0,114775132.0,117802966.0,118032934.0,124407978.0,133510668.0,136588759.0,149535231.0,150413331.0,150881077.0,160302915.0,161268794.0,180261346.0,193652442.0,212820561.0,247494866.0,250334613.0,254691950.0,254766784.0,255191504.0,261885661.0,262821567.0,263022323.0,266562398.0,266620405.0,267088381.0,271791007.0,272259832.0,272323854.0,279039469.0,283022885.0,286602917.0,289594302.0,290039931.0,294280010.0,294523668.0,295366074.0,296526287.0,296798750.0,302144631.0,305163986.0,306977093.0,311491063.0,313799444.0,316006382.0,317262357.0,318881725.0,328794414.0,329409390.0,361870458.0,369028288.0,374225825.0,374718544.0,388082574.0,388466657.0,389239423.0,395911020.0,396586851.0,398631629.0,402037439.0,406558256.0,407099078.0,425754431.0,427635368.0,432922414.0,435955399.0,437308085.0
1,778057.0,0.0,11.0,149.0,111.0,14.0,340.0,190.0,24.0,343.0,2.0,23.0,20.0,24.0,118.0,7.0,130.0,109.0,19.0,3.0,261.0,80.0,86.0,170.0,226.0,132.0,36.0,5.0,12.0,43.0,26.0,211.0,9.0,16.0,20.0,7.0,65.0,247.0,9.0,3.0,26.0,73.0,17.0,4.0,2.0,85.0,59.0,40.0,49.0,300.0,212.0,18.0,50.0,49.0,6.0,205.0,348.0,155.0,227.0,4.0,8.0,96.0,53.0,3.0,13.0,60.0,103.0,10.0,3.0,234.0,75.0,0.0,130.0,32.0,18.0,10.0,163.0,17.0,218.0,1.0,29.0,1.0,90.0,15.0,23.0,9.0,83.0,2.0,70.0,3.0,62.0,1.0,10.0,11.0,26.0,155.0,0.0,0.0,7.0,6.0,30.0,1.0,1.0
2,4970411.0,11.0,0.0,15.0,4.0,4.0,13.0,13.0,3.0,21.0,0.0,2.0,1.0,1.0,6.0,1.0,9.0,4.0,0.0,0.0,8.0,3.0,7.0,10.0,14.0,1.0,0.0,0.0,1.0,4.0,3.0,6.0,0.0,0.0,1.0,1.0,3.0,22.0,2.0,0.0,6.0,7.0,1.0,0.0,0.0,4.0,2.0,3.0,5.0,13.0,5.0,1.0,2.0,0.0,1.0,4.0,31.0,7.0,16.0,0.0,0.0,4.0,3.0,0.0,0.0,5.0,10.0,0.0,0.0,15.0,4.0,0.0,1.0,1.0,1.0,1.0,17.0,3.0,13.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,9378802.0,149.0,15.0,0.0,21.0,5.0,94.0,31.0,5.0,87.0,0.0,11.0,5.0,5.0,23.0,0.0,37.0,19.0,7.0,6.0,85.0,17.0,13.0,19.0,59.0,34.0,33.0,1.0,0.0,17.0,3.0,62.0,1.0,8.0,10.0,1.0,8.0,50.0,1.0,0.0,6.0,14.0,2.0,0.0,0.0,36.0,28.0,5.0,8.0,80.0,33.0,7.0,8.0,13.0,1.0,41.0,95.0,19.0,68.0,0.0,3.0,19.0,21.0,1.0,3.0,8.0,50.0,0.0,0.0,79.0,13.0,0.0,45.0,3.0,2.0,5.0,34.0,3.0,38.0,2.0,6.0,0.0,30.0,2.0,7.0,0.0,24.0,0.0,15.0,0.0,5.0,0.0,4.0,5.0,3.0,41.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0
4,14741417.0,111.0,4.0,21.0,0.0,2.0,66.0,98.0,17.0,121.0,1.0,13.0,2.0,4.0,31.0,1.0,46.0,30.0,2.0,2.0,75.0,33.0,33.0,66.0,89.0,26.0,9.0,3.0,1.0,12.0,11.0,62.0,3.0,5.0,0.0,1.0,25.0,95.0,2.0,0.0,9.0,46.0,2.0,0.0,0.0,45.0,3.0,15.0,26.0,72.0,49.0,7.0,25.0,25.0,1.0,34.0,138.0,52.0,78.0,1.0,3.0,43.0,5.0,2.0,3.0,20.0,39.0,2.0,1.0,73.0,26.0,0.0,54.0,10.0,10.0,5.0,63.0,17.0,81.0,1.0,9.0,1.0,7.0,5.0,3.0,6.0,27.0,0.0,29.0,1.0,28.0,1.0,3.0,0.0,14.0,63.0,0.0,0.0,6.0,0.0,11.0,1.0,0.0
5,16325355.0,14.0,4.0,5.0,2.0,0.0,70.0,10.0,1.0,24.0,0.0,44.0,6.0,5.0,8.0,3.0,12.0,7.0,3.0,2.0,13.0,9.0,5.0,27.0,36.0,6.0,20.0,0.0,1.0,1.0,15.0,12.0,1.0,1.0,1.0,2.0,4.0,16.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,14.0,3.0,0.0,9.0,15.0,33.0,25.0,3.0,22.0,0.0,26.0,18.0,2.0,44.0,1.0,0.0,0.0,9.0,0.0,4.0,1.0,7.0,0.0,0.0,18.0,12.0,0.0,2.0,1.0,0.0,0.0,20.0,0.0,10.0,15.0,1.0,0.0,10.0,1.0,4.0,0.0,20.0,0.0,9.0,3.0,5.0,0.0,10.0,6.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
6,18086309.0,340.0,13.0,94.0,66.0,70.0,0.0,171.0,20.0,387.0,3.0,68.0,31.0,41.0,90.0,12.0,113.0,80.0,49.0,5.0,237.0,107.0,78.0,333.0,389.0,74.0,50.0,7.0,9.0,64.0,72.0,207.0,16.0,11.0,14.0,4.0,72.0,244.0,10.0,5.0,16.0,238.0,8.0,0.0,5.0,113.0,56.0,27.0,57.0,307.0,1421.0,47.0,36.0,76.0,4.0,748.0,311.0,107.0,249.0,2.0,6.0,56.0,112.0,3.0,14.0,29.0,91.0,9.0,3.0,254.0,164.0,0.0,78.0,21.0,9.0,7.0,137.0,17.0,213.0,14.0,25.0,1.0,106.0,13.0,31.0,6.0,154.0,0.0,222.0,1.0,78.0,1.0,65.0,26.0,20.0,119.0,3.0,0.0,9.0,11.0,12.0,1.0,0.0
7,18188983.0,190.0,13.0,31.0,98.0,10.0,171.0,0.0,18.0,192.0,0.0,27.0,23.0,12.0,79.0,7.0,102.0,64.0,10.0,7.0,145.0,67.0,96.0,178.0,256.0,40.0,14.0,6.0,13.0,35.0,44.0,111.0,14.0,4.0,13.0,5.0,101.0,224.0,13.0,8.0,11.0,140.0,2.0,4.0,4.0,74.0,15.0,30.0,72.0,178.0,155.0,20.0,32.0,57.0,3.0,103.0,321.0,100.0,153.0,1.0,8.0,54.0,8.0,6.0,8.0,23.0,43.0,18.0,1.0,172.0,60.0,0.0,82.0,22.0,12.0,9.0,148.0,19.0,157.0,4.0,18.0,1.0,23.0,14.0,5.0,11.0,84.0,0.0,48.0,3.0,56.0,0.0,2.0,10.0,26.0,92.0,1.0,1.0,8.0,19.0,11.0,3.0,0.0
8,18594520.0,24.0,3.0,5.0,17.0,1.0,20.0,18.0,0.0,58.0,2.0,2.0,4.0,0.0,17.0,1.0,19.0,8.0,6.0,2.0,16.0,17.0,21.0,22.0,28.0,2.0,2.0,4.0,7.0,8.0,2.0,25.0,2.0,2.0,4.0,0.0,7.0,39.0,10.0,1.0,6.0,9.0,0.0,0.0,3.0,33.0,5.0,6.0,25.0,30.0,19.0,1.0,12.0,22.0,0.0,27.0,37.0,27.0,15.0,0.0,1.0,10.0,7.0,8.0,14.0,5.0,7.0,1.0,0.0,23.0,13.0,0.0,19.0,5.0,4.0,5.0,23.0,7.0,20.0,0.0,4.0,1.0,8.0,7.0,5.0,2.0,38.0,0.0,26.0,5.0,17.0,0.0,2.0,4.0,8.0,16.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0
9,19074053.0,343.0,21.0,87.0,121.0,24.0,387.0,192.0,58.0,0.0,1.0,17.0,24.0,20.0,135.0,21.0,177.0,91.0,16.0,10.0,213.0,99.0,170.0,239.0,302.0,90.0,16.0,5.0,19.0,40.0,25.0,228.0,11.0,7.0,12.0,8.0,84.0,338.0,19.0,9.0,30.0,162.0,10.0,1.0,2.0,101.0,44.0,44.0,54.0,229.0,279.0,22.0,44.0,58.0,8.0,211.0,405.0,175.0,189.0,6.0,12.0,66.0,29.0,8.0,13.0,38.0,113.0,30.0,2.0,242.0,86.0,0.0,213.0,33.0,21.0,8.0,159.0,19.0,196.0,0.0,30.0,3.0,52.0,19.0,17.0,19.0,84.0,0.0,240.0,2.0,89.0,2.0,7.0,8.0,38.0,140.0,2.0,0.0,19.0,2.0,18.0,2.0,1.0
