,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,-1.0,7455282.0,11277572.0,16994693.0,20439936.0,20778778.0,23371841.0,28762327.0,70115569.0,96894552.0,143531181.0,178779512.0,194920096.0,210824047.0,211390583.0,240401589.0,251106916.0,258047934.0,266562398.0,272308325.0,273950708.0,274585158.0,275093764.0,275179952.0,279263583.0,286787984.0,287848520.0,287859136.0,288196328.0,289513787.0,292701683.0,292702777.0,295125390.0,302554352.0,304659133.0,316144548.0,328933147.0,343800608.0,353142132.0,356182668.0,359179176.0,369028288.0,381696542.0,414344234.0,430530678.0,441155820.0
1,7455282.0,0.0,38.0,7.0,42.0,445.0,16.0,44.0,64.0,0.0,5.0,36.0,42.0,3.0,57.0,31.0,15.0,31.0,0.0,4.0,42.0,25.0,19.0,20.0,34.0,6.0,2.0,44.0,19.0,0.0,0.0,0.0,22.0,0.0,36.0,0.0,0.0,102.0,44.0,45.0,10.0,131.0,34.0,0.0,56.0,17.0
2,11277572.0,38.0,0.0,7.0,6.0,17.0,35.0,15.0,6.0,0.0,0.0,1.0,12.0,0.0,10.0,25.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,53.0,42.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,58.0,3.0,3.0,2.0,145.0,1.0,0.0,2.0,3.0
3,16994693.0,7.0,7.0,0.0,2.0,5.0,29.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,6.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0
4,20439936.0,42.0,6.0,2.0,0.0,14.0,0.0,28.0,105.0,0.0,5.0,28.0,16.0,18.0,11.0,9.0,14.0,70.0,7.0,23.0,59.0,1.0,24.0,7.0,4.0,9.0,3.0,22.0,51.0,0.0,0.0,0.0,66.0,2.0,40.0,2.0,6.0,37.0,10.0,40.0,14.0,26.0,42.0,9.0,64.0,12.0
5,20778778.0,445.0,17.0,5.0,14.0,0.0,10.0,11.0,25.0,0.0,3.0,6.0,9.0,4.0,17.0,6.0,8.0,7.0,0.0,1.0,9.0,15.0,8.0,11.0,19.0,2.0,1.0,12.0,6.0,0.0,0.0,0.0,6.0,0.0,10.0,0.0,0.0,35.0,9.0,8.0,1.0,53.0,25.0,0.0,18.0,4.0
6,23371841.0,16.0,35.0,29.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,4.0,0.0,21.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,84.0,0.0,0.0,1.0,1.0
7,28762327.0,44.0,15.0,4.0,28.0,11.0,11.0,0.0,35.0,0.0,1.0,21.0,32.0,3.0,5.0,15.0,5.0,17.0,2.0,5.0,20.0,2.0,5.0,9.0,20.0,5.0,1.0,16.0,12.0,0.0,0.0,0.0,18.0,2.0,25.0,0.0,7.0,30.0,9.0,21.0,7.0,74.0,9.0,1.0,18.0,12.0
8,70115569.0,64.0,6.0,1.0,105.0,25.0,1.0,35.0,0.0,0.0,7.0,51.0,27.0,17.0,9.0,8.0,5.0,140.0,4.0,35.0,107.0,1.0,32.0,11.0,6.0,13.0,2.0,22.0,196.0,0.0,0.0,0.0,93.0,4.0,26.0,2.0,9.0,19.0,9.0,45.0,22.0,21.0,66.0,9.0,195.0,27.0
9,96894552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
