,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
0,-1.0,7712832.0,11277572.0,16305839.0,20510812.0,20791292.0,20801977.0,21184367.0,21544263.0,21993481.0,24842854.0,31180024.0,32841180.0,50552213.0,53400136.0,57072321.0,63831819.0,78985632.0,80791048.0,98730352.0,101824385.0,107913356.0,118027407.0,122928586.0,180261346.0,189881047.0,190932580.0,192477353.0,194920096.0,204811301.0,210824047.0,217078361.0,217207174.0,221706364.0,224191683.0,225931255.0,226985070.0,230847428.0,231831045.0,242143200.0,246435539.0,248761565.0,249288691.0,252221366.0,255545373.0,255626561.0,257747817.0,258694951.0,260046126.0,261532044.0,262067630.0,264121991.0,264366006.0,264410182.0,265814972.0,271129460.0,274246546.0,274982664.0,275093764.0,281553266.0,282922168.0,285115375.0,293687645.0,297011161.0,298110296.0,302144631.0,308611383.0,311729738.0,324050936.0,325774787.0,328933147.0,339474731.0,346585747.0,346822832.0,347873395.0,350545056.0,363763442.0,369028288.0,375451125.0,381696542.0,383602088.0,394694673.0,406647184.0,412663554.0,413489377.0,425840443.0
1,7712832.0,0.0,26.0,11.0,40.0,10.0,37.0,0.0,3.0,4.0,22.0,56.0,165.0,35.0,212.0,4.0,5.0,1.0,68.0,33.0,0.0,0.0,37.0,26.0,16.0,0.0,68.0,504.0,11.0,6.0,2.0,51.0,7.0,10.0,10.0,0.0,7.0,209.0,0.0,2.0,5.0,0.0,65.0,2.0,1.0,9.0,3.0,1.0,7.0,0.0,0.0,0.0,9.0,23.0,0.0,31.0,9.0,70.0,4.0,2.0,0.0,5.0,0.0,0.0,9.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,2.0,216.0,17.0,3.0,28.0,0.0,0.0,1.0,3.0,0.0
2,11277572.0,26.0,0.0,6.0,26.0,7.0,8.0,0.0,5.0,1.0,10.0,7.0,32.0,6.0,13.0,10.0,12.0,2.0,15.0,0.0,0.0,0.0,30.0,20.0,39.0,0.0,18.0,34.0,12.0,5.0,0.0,30.0,5.0,2.0,2.0,0.0,0.0,22.0,0.0,14.0,5.0,0.0,5.0,3.0,1.0,1.0,12.0,1.0,0.0,1.0,0.0,0.0,13.0,9.0,0.0,12.0,3.0,19.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,6.0,2.0,0.0,11.0,145.0,37.0,1.0,31.0,0.0,8.0,1.0,2.0,7.0
3,16305839.0,11.0,6.0,0.0,15.0,32.0,54.0,2.0,11.0,15.0,15.0,28.0,16.0,30.0,39.0,2.0,12.0,7.0,25.0,9.0,0.0,2.0,29.0,71.0,47.0,4.0,48.0,71.0,18.0,28.0,2.0,46.0,30.0,15.0,7.0,3.0,2.0,42.0,0.0,5.0,3.0,6.0,4.0,12.0,5.0,13.0,18.0,1.0,7.0,4.0,5.0,1.0,9.0,16.0,0.0,42.0,16.0,43.0,15.0,4.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,20.0,10.0,0.0,16.0,52.0,5.0,16.0,41.0,4.0,1.0,3.0,9.0,1.0
4,20510812.0,40.0,26.0,15.0,0.0,13.0,21.0,1.0,29.0,5.0,72.0,8.0,35.0,7.0,24.0,5.0,25.0,1.0,21.0,3.0,0.0,2.0,26.0,23.0,39.0,2.0,21.0,108.0,9.0,12.0,2.0,44.0,8.0,5.0,4.0,3.0,0.0,55.0,0.0,8.0,1.0,1.0,7.0,3.0,3.0,2.0,10.0,3.0,2.0,3.0,0.0,0.0,3.0,9.0,0.0,22.0,4.0,26.0,2.0,4.0,1.0,0.0,0.0,2.0,6.0,28.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,4.0,1.0,0.0,10.0,111.0,26.0,0.0,34.0,2.0,2.0,1.0,4.0,1.0
5,20791292.0,10.0,7.0,32.0,13.0,0.0,123.0,0.0,2.0,22.0,13.0,89.0,12.0,65.0,97.0,1.0,5.0,0.0,29.0,17.0,0.0,2.0,56.0,94.0,58.0,5.0,36.0,150.0,19.0,36.0,5.0,85.0,23.0,32.0,1.0,2.0,1.0,71.0,0.0,2.0,4.0,3.0,1.0,8.0,5.0,4.0,7.0,2.0,5.0,9.0,5.0,0.0,4.0,8.0,0.0,68.0,7.0,57.0,3.0,4.0,1.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,30.0,4.0,1.0,0.0,13.0,9.0,0.0,14.0,35.0,5.0,7.0,26.0,2.0,1.0,5.0,4.0,7.0
6,20801977.0,37.0,8.0,54.0,21.0,123.0,0.0,0.0,10.0,37.0,38.0,244.0,45.0,199.0,292.0,8.0,9.0,11.0,146.0,129.0,0.0,8.0,117.0,230.0,62.0,19.0,116.0,587.0,47.0,91.0,25.0,316.0,63.0,62.0,7.0,5.0,0.0,157.0,0.0,11.0,8.0,13.0,3.0,21.0,7.0,16.0,37.0,8.0,72.0,11.0,14.0,10.0,9.0,24.0,1.0,166.0,63.0,206.0,23.0,8.0,3.0,29.0,1.0,3.0,43.0,4.0,0.0,0.0,0.0,91.0,10.0,1.0,1.0,57.0,20.0,0.0,33.0,103.0,6.0,11.0,104.0,5.0,0.0,12.0,15.0,6.0
7,21184367.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8,21544263.0,3.0,5.0,11.0,29.0,2.0,10.0,0.0,0.0,2.0,12.0,5.0,4.0,4.0,6.0,2.0,5.0,0.0,6.0,2.0,0.0,0.0,4.0,9.0,6.0,0.0,8.0,13.0,6.0,5.0,0.0,11.0,4.0,3.0,4.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,16.0,7.0,1.0,14.0,0.0,0.0,2.0,1.0,1.0
9,21993481.0,4.0,1.0,15.0,5.0,22.0,37.0,0.0,2.0,0.0,6.0,18.0,6.0,21.0,32.0,0.0,4.0,0.0,15.0,6.0,0.0,1.0,20.0,34.0,8.0,3.0,14.0,36.0,8.0,21.0,3.0,39.0,11.0,7.0,4.0,1.0,1.0,25.0,0.0,3.0,2.0,1.0,1.0,10.0,2.0,6.0,6.0,1.0,9.0,4.0,2.0,1.0,4.0,10.0,0.0,30.0,10.0,24.0,3.0,2.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,7.0,0.0,11.0,13.0,2.0,6.0,18.0,1.0,0.0,2.0,6.0,2.0
