,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-1.0,15762575.0,40636627.0,63831819.0,103591569.0,113855131.0,115000873.0,115079225.0,124407978.0,162505712.0,176015466.0,210585182.0,210824047.0,236101700.0,241314646.0,241439878.0,243168252.0,243336397.0,257917968.0,265961701.0,267936533.0,270762885.0,271428783.0,278893978.0,283718439.0,285094191.0,289513787.0,292655292.0,292700867.0,292701683.0,292702777.0,292703780.0,293550520.0,293967375.0,304993789.0,312702669.0,314048797.0,317262357.0,325245445.0,346880715.0,352800057.0,357807943.0,367279583.0,369626003.0,370169964.0,370501016.0,375451125.0,386609235.0,395517232.0,402005387.0
1,15762575.0,0.0,5.0,3.0,0.0,2.0,2.0,0.0,3.0,3.0,18.0,1.0,1.0,0.0,26.0,4.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2,40636627.0,5.0,0.0,6.0,0.0,9.0,31.0,12.0,19.0,56.0,29.0,65.0,5.0,7.0,90.0,23.0,4.0,59.0,4.0,13.0,15.0,46.0,38.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,54.0,0.0,0.0,7.0,41.0,17.0,23.0,0.0,35.0,52.0,0.0,1.0,3.0,80.0,95.0
3,63831819.0,3.0,6.0,0.0,0.0,3.0,4.0,33.0,0.0,14.0,9.0,6.0,1.0,1.0,22.0,1.0,0.0,2.0,0.0,3.0,7.0,3.0,5.0,4.0,5.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,1.0,0.0,0.0,2.0,5.0,23.0,1.0,0.0,1.0,0.0,27.0,63.0,1.0,3.0,29.0
4,103591569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,113855131.0,2.0,9.0,3.0,0.0,0.0,47.0,6.0,29.0,8.0,30.0,52.0,18.0,2.0,10.0,13.0,3.0,45.0,3.0,21.0,0.0,22.0,46.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,19.0,0.0,1.0,0.0,51.0,1.0,20.0,1.0,4.0,3.0,0.0,0.0,0.0,13.0,10.0
6,115000873.0,2.0,31.0,4.0,0.0,47.0,0.0,28.0,140.0,11.0,96.0,180.0,74.0,5.0,40.0,52.0,8.0,179.0,11.0,66.0,2.0,49.0,112.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,242.0,54.0,0.0,1.0,0.0,264.0,1.0,74.0,1.0,17.0,18.0,0.0,4.0,1.0,24.0,39.0
7,115079225.0,0.0,12.0,33.0,0.0,6.0,28.0,0.0,7.0,22.0,14.0,27.0,6.0,1.0,20.0,2.0,2.0,20.0,0.0,3.0,8.0,13.0,13.0,5.0,3.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,3.0,0.0,18.0,11.0,0.0,0.0,1.0,23.0,40.0,9.0,0.0,2.0,3.0,12.0,30.0,1.0,11.0,48.0
8,124407978.0,3.0,19.0,0.0,0.0,29.0,140.0,7.0,0.0,19.0,83.0,105.0,40.0,1.0,25.0,71.0,5.0,113.0,4.0,31.0,2.0,57.0,99.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,45.0,0.0,0.0,1.0,219.0,0.0,55.0,0.0,4.0,3.0,0.0,2.0,0.0,23.0,16.0
9,162505712.0,3.0,56.0,14.0,0.0,8.0,11.0,22.0,19.0,0.0,20.0,21.0,5.0,5.0,76.0,10.0,3.0,16.0,0.0,3.0,37.0,21.0,21.0,19.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,9.0,25.0,0.0,1.0,15.0,27.0,11.0,2.0,1.0,3.0,7.0,0.0,11.0,3.0,32.0,33.0
10,176015466.0,18.0,29.0,9.0,0.0,30.0,96.0,14.0,83.0,20.0,0.0,92.0,31.0,5.0,32.0,77.0,4.0,105.0,3.0,24.0,7.0,60.0,127.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,101.0,52.0,0.0,1.0,1.0,203.0,1.0,29.0,1.0,6.0,3.0,0.0,6.0,0.0,30.0,21.0
11,210585182.0,1.0,65.0,6.0,0.0,52.0,180.0,27.0,105.0,21.0,92.0,0.0,63.0,14.0,34.0,60.0,12.0,290.0,17.0,38.0,12.0,107.0,210.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,183.0,87.0,0.0,0.0,4.0,210.0,2.0,61.0,1.0,44.0,16.0,0.0,1.0,1.0,66.0,65.0
12,210824047.0,1.0,5.0,1.0,0.0,18.0,74.0,6.0,40.0,5.0,31.0,63.0,0.0,4.0,9.0,14.0,4.0,54.0,12.0,16.0,1.0,32.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,23.0,0.0,0.0,0.0,72.0,0.0,21.0,0.0,5.0,5.0,0.0,1.0,0.0,10.0,12.0
13,236101700.0,0.0,7.0,1.0,0.0,2.0,5.0,1.0,1.0,5.0,5.0,14.0,4.0,0.0,4.0,2.0,1.0,8.0,7.0,1.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0,6.0,0.0,1.0,0.0,39.0,15.0
14,241314646.0,26.0,90.0,22.0,0.0,10.0,40.0,20.0,25.0,76.0,32.0,34.0,9.0,4.0,0.0,31.0,4.0,24.0,1.0,18.0,136.0,62.0,77.0,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,44.0,0.0,0.0,41.0,59.0,29.0,6.0,0.0,10.0,10.0,6.0,31.0,45.0,68.0,67.0
15,241439878.0,4.0,23.0,1.0,0.0,13.0,52.0,2.0,71.0,10.0,77.0,60.0,14.0,2.0,31.0,0.0,2.0,55.0,0.0,18.0,3.0,43.0,87.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,30.0,0.0,0.0,0.0,153.0,1.0,22.0,1.0,3.0,3.0,0.0,2.0,0.0,14.0,8.0
16,243168252.0,0.0,4.0,0.0,0.0,3.0,8.0,2.0,5.0,3.0,4.0,12.0,4.0,1.0,4.0,2.0,0.0,13.0,1.0,4.0,3.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,13.0,7.0
