,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
26,269894344.0,1.0,23.0,34.0,32.0,32.0,30.0,13.0,0.0,1.0,8.0,24.0,0.0,15.0,12.0,6.0,0.0,0.0,0.0,24.0,1.0,13.0,14.0,35.0,1.0,3.0,0.0,1.0,11.0,9.0,28.0,0.0,12.0,10.0,0.0,0.0,6.0,0.0,0.0,10.0,26.0,3.0,0.0,14.0,0.0
27,269927326.0,1.0,7.0,33.0,8.0,7.0,4.0,2.0,0.0,3.0,3.0,34.0,0.0,5.0,9.0,1.0,1.0,0.0,0.0,7.0,3.0,2.0,6.0,35.0,20.0,0.0,1.0,0.0,8.0,4.0,39.0,9.0,8.0,0.0,95.0,0.0,4.0,92.0,5.0,3.0,25.0,0.0,5.0,1.0,0.0
28,270762885.0,1.0,19.0,34.0,29.0,31.0,22.0,14.0,0.0,39.0,12.0,54.0,0.0,10.0,8.0,1.0,14.0,0.0,0.0,31.0,28.0,16.0,41.0,108.0,22.0,55.0,11.0,8.0,0.0,12.0,85.0,54.0,26.0,8.0,0.0,0.0,19.0,13.0,21.0,20.0,19.0,1.0,4.0,13.0,0.0
29,284955639.0,7.0,36.0,342.0,42.0,74.0,59.0,7.0,0.0,1.0,7.0,72.0,0.0,126.0,102.0,4.0,40.0,0.0,0.0,57.0,5.0,11.0,10.0,52.0,35.0,2.0,9.0,4.0,12.0,0.0,86.0,6.0,15.0,6.0,0.0,2.0,13.0,0.0,1.0,4.0,81.0,0.0,24.0,13.0,0.0
30,290039931.0,10.0,76.0,259.0,91.0,86.0,85.0,47.0,0.0,122.0,12.0,319.0,1.0,56.0,96.0,19.0,116.0,0.0,0.0,81.0,104.0,33.0,106.0,443.0,243.0,102.0,28.0,39.0,85.0,86.0,0.0,84.0,53.0,18.0,4.0,10.0,12.0,5.0,6.0,58.0,161.0,1.0,15.0,34.0,0.0
31,290994539.0,0.0,19.0,34.0,8.0,9.0,5.0,5.0,0.0,57.0,2.0,53.0,0.0,2.0,7.0,1.0,11.0,0.0,0.0,7.0,33.0,7.0,43.0,128.0,38.0,44.0,0.0,9.0,54.0,6.0,84.0,0.0,11.0,0.0,0.0,4.0,3.0,4.0,16.0,23.0,8.0,0.0,2.0,5.0,0.0
32,295125390.0,3.0,18.0,45.0,21.0,23.0,18.0,9.0,0.0,10.0,8.0,69.0,2.0,11.0,35.0,2.0,6.0,0.0,0.0,34.0,8.0,13.0,21.0,66.0,22.0,6.0,12.0,8.0,26.0,15.0,53.0,11.0,0.0,8.0,0.0,0.0,13.0,3.0,6.0,16.0,46.0,0.0,3.0,8.0,0.0
33,296891403.0,5.0,17.0,9.0,36.0,14.0,29.0,13.0,0.0,0.0,4.0,14.0,0.0,15.0,10.0,2.0,1.0,0.0,0.0,25.0,1.0,12.0,14.0,23.0,0.0,1.0,10.0,0.0,8.0,6.0,18.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,34.0,2.0,2.0,11.0,0.0
34,298298729.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,95.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
35,316144548.0,0.0,4.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,9.0,5.0,1.0,0.0,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
36,323559063.0,4.0,5.0,11.0,15.0,32.0,6.0,5.0,0.0,7.0,9.0,14.0,1.0,4.0,10.0,0.0,10.0,0.0,0.0,21.0,16.0,9.0,11.0,26.0,8.0,10.0,6.0,4.0,19.0,13.0,12.0,3.0,13.0,5.0,2.0,1.0,0.0,12.0,12.0,6.0,9.0,0.0,12.0,3.0,0.0
37,328933147.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,4.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,0.0,3.0,11.0,2.0,1.0,0.0,92.0,13.0,0.0,5.0,4.0,3.0,0.0,70.0,0.0,12.0,0.0,7.0,2.0,4.0,0.0,1.0,0.0,0.0
38,344638727.0,0.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,12.0,4.0,5.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,8.0,38.0,1.0,5.0,0.0,5.0,21.0,1.0,6.0,16.0,6.0,0.0,3.0,0.0,12.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
39,359179176.0,2.0,11.0,17.0,12.0,14.0,13.0,12.0,0.0,30.0,3.0,28.0,2.0,10.0,8.0,2.0,12.0,0.0,1.0,17.0,25.0,12.0,33.0,73.0,17.0,27.0,10.0,3.0,20.0,4.0,58.0,23.0,16.0,6.0,0.0,2.0,6.0,2.0,5.0,0.0,19.0,0.0,0.0,12.0,0.0
40,362973396.0,20.0,78.0,182.0,129.0,83.0,90.0,40.0,0.0,14.0,15.0,121.0,0.0,96.0,76.0,16.0,15.0,0.0,0.0,166.0,6.0,31.0,36.0,136.0,54.0,3.0,26.0,25.0,19.0,81.0,161.0,8.0,46.0,34.0,3.0,4.0,9.0,4.0,2.0,19.0,0.0,3.0,31.0,29.0,0.0
41,371734648.0,0.0,6.0,4.0,8.0,2.0,6.0,1.0,0.0,0.0,2.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
42,375451125.0,37.0,7.0,12.0,15.0,12.0,3.0,6.0,0.0,2.0,13.0,11.0,0.0,13.0,12.0,1.0,4.0,0.0,0.0,9.0,3.0,5.0,1.0,19.0,4.0,0.0,0.0,5.0,4.0,24.0,15.0,2.0,3.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0
43,414270817.0,2.0,16.0,34.0,35.0,24.0,44.0,17.0,0.0,7.0,10.0,18.0,1.0,25.0,8.0,10.0,0.0,0.0,0.0,27.0,0.0,13.0,17.0,38.0,0.0,2.0,14.0,1.0,13.0,13.0,34.0,5.0,8.0,11.0,0.0,0.0,3.0,0.0,0.0,12.0,29.0,2.0,1.0,0.0,4.0
44,446905411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
