,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,-1.0,15427580.0,43022178.0,48866020.0,55390633.0,83460945.0,141267304.0,170315949.0,194920096.0,209651406.0,210824047.0,231948749.0,241314646.0,243672286.0,252991272.0,253606493.0,253766102.0,260046126.0,263539634.0,264429719.0,265271594.0,272308325.0,274119514.0,275127529.0,275661557.0,277483604.0,279906429.0,282080237.0,283718439.0,284219535.0,285011055.0,285222307.0,294476644.0,295796393.0,298087938.0,298112519.0,301681004.0,305078782.0,308411684.0,310142736.0,315997012.0,316144548.0,317262357.0,319021106.0,325023202.0,327408048.0,328933147.0,336076027.0,338067793.0,339034131.0,339474731.0,346585747.0,347873395.0,349169217.0,349217591.0,350202078.0,359179176.0,363941842.0,369028288.0,371624190.0,374893717.0,379753339.0,380979829.0,384585132.0,406647184.0,412663554.0,428843595.0,436029388.0
1,15427580.0,0.0,6.0,3.0,0.0,29.0,50.0,74.0,34.0,16.0,7.0,4.0,106.0,8.0,3.0,2.0,6.0,19.0,10.0,3.0,1.0,11.0,20.0,0.0,12.0,1.0,2.0,22.0,3.0,1.0,2.0,0.0,0.0,1.0,11.0,4.0,1.0,4.0,11.0,44.0,1.0,1.0,1.0,1.0,8.0,12.0,5.0,20.0,1.0,10.0,3.0,0.0,17.0,59.0,0.0,2.0,15.0,1.0,40.0,19.0,5.0,0.0,1.0,6.0,1.0,5.0,0.0,22.0
2,43022178.0,6.0,0.0,0.0,0.0,3.0,4.0,10.0,5.0,1.0,0.0,2.0,12.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
3,48866020.0,3.0,0.0,0.0,0.0,9.0,3.0,0.0,10.0,25.0,9.0,0.0,11.0,2.0,13.0,84.0,82.0,2.0,2.0,60.0,33.0,17.0,153.0,5.0,1.0,65.0,119.0,53.0,0.0,65.0,34.0,1.0,0.0,1.0,2.0,19.0,22.0,1.0,84.0,2.0,0.0,3.0,0.0,64.0,3.0,4.0,3.0,1.0,13.0,180.0,0.0,0.0,2.0,2.0,0.0,167.0,6.0,68.0,3.0,90.0,0.0,0.0,67.0,30.0,0.0,1.0,0.0,3.0
4,55390633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,83460945.0,29.0,3.0,9.0,0.0,0.0,19.0,34.0,14.0,9.0,1.0,19.0,20.0,3.0,3.0,6.0,22.0,6.0,3.0,8.0,1.0,2.0,38.0,0.0,2.0,8.0,8.0,21.0,3.0,8.0,4.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,16.0,5.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,12.0,3.0,33.0,0.0,2.0,11.0,26.0,0.0,10.0,11.0,3.0,33.0,26.0,0.0,0.0,6.0,31.0,1.0,2.0,0.0,17.0
6,141267304.0,50.0,4.0,3.0,0.0,19.0,0.0,45.0,18.0,5.0,1.0,8.0,23.0,3.0,2.0,0.0,3.0,6.0,2.0,0.0,0.0,3.0,8.0,0.0,2.0,2.0,1.0,15.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,13.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,16.0,0.0,3.0,0.0,2.0,7.0,22.0,0.0,0.0,5.0,0.0,30.0,9.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,18.0
7,170315949.0,74.0,10.0,0.0,0.0,34.0,45.0,0.0,37.0,14.0,4.0,10.0,55.0,0.0,6.0,1.0,2.0,15.0,5.0,0.0,0.0,2.0,20.0,0.0,1.0,1.0,0.0,15.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,7.0,22.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,32.0,0.0,4.0,0.0,2.0,19.0,85.0,0.0,0.0,17.0,0.0,97.0,15.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,52.0
8,194920096.0,34.0,5.0,10.0,0.0,14.0,18.0,37.0,0.0,17.0,2.0,6.0,103.0,13.0,6.0,12.0,8.0,8.0,23.0,5.0,4.0,7.0,31.0,0.0,34.0,23.0,9.0,13.0,5.0,8.0,18.0,1.0,0.0,19.0,36.0,4.0,8.0,27.0,32.0,19.0,1.0,1.0,0.0,2.0,28.0,5.0,43.0,18.0,2.0,10.0,13.0,3.0,6.0,28.0,2.0,7.0,9.0,6.0,49.0,20.0,22.0,0.0,5.0,5.0,3.0,3.0,0.0,17.0
9,209651406.0,16.0,1.0,25.0,0.0,9.0,5.0,14.0,17.0,0.0,28.0,4.0,31.0,2.0,29.0,24.0,12.0,19.0,4.0,10.0,13.0,49.0,49.0,2.0,4.0,30.0,27.0,9.0,1.0,9.0,15.0,0.0,0.0,1.0,3.0,35.0,25.0,3.0,59.0,35.0,0.0,2.0,0.0,6.0,1.0,8.0,7.0,7.0,5.0,37.0,0.0,0.0,6.0,12.0,0.0,40.0,19.0,18.0,13.0,35.0,1.0,0.0,11.0,3.0,0.0,6.0,0.0,10.0
