,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,-1.0,14844272.0,15270176.0,16066982.0,16542687.0,16871096.0,18787073.0,19042030.0,20791292.0,20801977.0,23412516.0,24655962.0,25512074.0,29407850.0,31180024.0,33874201.0,37263014.0,43789332.0,44299861.0,45510215.0,48959778.0,49416159.0,49566762.0,49907570.0,50552213.0,53400136.0,55312746.0,59587240.0,66142460.0,67968069.0,74446328.0,80791048.0,98724873.0,98730352.0,101824385.0,105817486.0,111950228.0,117132579.0,121981131.0,124578114.0,146383105.0,157669973.0,168497805.0,192477353.0,210824047.0,211993075.0,212950064.0,214692441.0,215728577.0,223394024.0,232333839.0,232823702.0,236837404.0,237519969.0,244326533.0,245650642.0,252289482.0,253087503.0,260724365.0,261885661.0,265509222.0,266652338.0,266725461.0,267605023.0,267822363.0,268139655.0,269680826.0,271129460.0,274982664.0,275942684.0,276991521.0,285310298.0,294523668.0,295086635.0,301062162.0,301387285.0,303877284.0,305570199.0,314182036.0,316728267.0,317262357.0,321335111.0,321539119.0,365672609.0,371913770.0,383876429.0,394098186.0,402892880.0,409731314.0,409763432.0,414729957.0,415343898.0,418992848.0,425842620.0,430530678.0,446440458.0
1,14844272.0,0.0,4.0,98.0,7.0,37.0,2.0,20.0,14.0,16.0,0.0,3.0,14.0,4.0,12.0,2.0,0.0,10.0,25.0,37.0,3.0,2.0,0.0,12.0,8.0,13.0,1.0,10.0,3.0,5.0,0.0,6.0,0.0,1.0,0.0,1.0,5.0,31.0,1.0,9.0,3.0,0.0,16.0,57.0,0.0,0.0,5.0,18.0,1.0,0.0,28.0,0.0,6.0,5.0,1.0,17.0,0.0,4.0,12.0,15.0,1.0,5.0,0.0,0.0,6.0,1.0,0.0,5.0,10.0,0.0,41.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12.0,3.0,0.0,0.0,0.0,8.0,27.0,0.0,1.0,4.0,0.0
2,15270176.0,4.0,0.0,32.0,21.0,57.0,29.0,98.0,33.0,85.0,0.0,90.0,39.0,7.0,123.0,15.0,8.0,8.0,143.0,91.0,48.0,21.0,8.0,45.0,103.0,141.0,6.0,32.0,15.0,14.0,0.0,39.0,1.0,42.0,0.0,8.0,22.0,57.0,6.0,113.0,3.0,7.0,2.0,157.0,1.0,1.0,12.0,51.0,16.0,1.0,31.0,0.0,37.0,22.0,7.0,68.0,3.0,27.0,36.0,115.0,3.0,3.0,0.0,0.0,82.0,17.0,0.0,50.0,64.0,10.0,103.0,0.0,0.0,55.0,0.0,0.0,0.0,26.0,26.0,2.0,1.0,1.0,1.0,29.0,0.0,37.0,3.0,0.0,0.0,0.0,39.0,28.0,1.0,26.0,34.0,2.0
3,16066982.0,98.0,32.0,0.0,23.0,67.0,16.0,70.0,39.0,62.0,0.0,38.0,43.0,6.0,39.0,7.0,6.0,28.0,57.0,71.0,19.0,12.0,0.0,45.0,33.0,60.0,5.0,41.0,39.0,17.0,0.0,24.0,0.0,7.0,2.0,9.0,15.0,98.0,2.0,46.0,10.0,4.0,12.0,169.0,3.0,0.0,9.0,74.0,7.0,0.0,75.0,0.0,27.0,18.0,4.0,51.0,3.0,11.0,37.0,47.0,1.0,7.0,0.0,0.0,35.0,8.0,0.0,33.0,40.0,2.0,82.0,0.0,0.0,31.0,0.0,0.0,0.0,18.0,10.0,1.0,0.0,0.0,0.0,16.0,0.0,38.0,7.0,0.0,0.0,0.0,38.0,39.0,0.0,11.0,20.0,1.0
4,16542687.0,7.0,21.0,23.0,0.0,86.0,7.0,161.0,30.0,137.0,0.0,30.0,17.0,5.0,69.0,3.0,25.0,91.0,35.0,51.0,30.0,18.0,4.0,32.0,46.0,193.0,16.0,165.0,11.0,3.0,1.0,55.0,0.0,23.0,1.0,87.0,44.0,37.0,1.0,37.0,2.0,4.0,5.0,256.0,5.0,11.0,10.0,32.0,1.0,0.0,28.0,0.0,38.0,50.0,4.0,37.0,4.0,11.0,35.0,53.0,1.0,19.0,0.0,1.0,40.0,5.0,0.0,64.0,42.0,2.0,116.0,0.0,0.0,15.0,0.0,0.0,1.0,56.0,7.0,2.0,0.0,4.0,3.0,13.0,1.0,34.0,4.0,0.0,0.0,0.0,24.0,28.0,0.0,7.0,12.0,1.0
5,16871096.0,37.0,57.0,67.0,86.0,0.0,41.0,164.0,132.0,385.0,0.0,111.0,156.0,20.0,169.0,14.0,11.0,24.0,114.0,457.0,92.0,68.0,20.0,151.0,123.0,157.0,6.0,200.0,46.0,27.0,0.0,87.0,0.0,47.0,2.0,8.0,164.0,106.0,7.0,129.0,14.0,6.0,146.0,557.0,20.0,31.0,50.0,117.0,7.0,0.0,200.0,0.0,100.0,118.0,17.0,173.0,25.0,75.0,54.0,277.0,4.0,75.0,0.0,0.0,193.0,13.0,0.0,92.0,115.0,8.0,1118.0,0.0,0.0,88.0,1.0,0.0,5.0,245.0,16.0,2.0,1.0,2.0,10.0,36.0,0.0,66.0,14.0,0.0,0.0,0.0,82.0,96.0,6.0,33.0,35.0,2.0
6,18787073.0,2.0,29.0,16.0,7.0,41.0,0.0,42.0,18.0,37.0,0.0,31.0,38.0,4.0,31.0,17.0,2.0,2.0,35.0,33.0,17.0,9.0,10.0,26.0,39.0,39.0,0.0,20.0,24.0,14.0,0.0,19.0,0.0,12.0,1.0,1.0,17.0,33.0,1.0,63.0,3.0,6.0,0.0,78.0,1.0,0.0,7.0,44.0,7.0,0.0,26.0,0.0,17.0,13.0,4.0,41.0,0.0,16.0,19.0,39.0,4.0,6.0,0.0,0.0,32.0,14.0,0.0,32.0,27.0,7.0,51.0,0.0,0.0,26.0,0.0,0.0,0.0,18.0,11.0,0.0,1.0,3.0,0.0,16.0,0.0,28.0,2.0,0.0,0.0,0.0,35.0,21.0,1.0,14.0,17.0,2.0
7,19042030.0,20.0,98.0,70.0,161.0,164.0,42.0,0.0,91.0,252.0,0.0,117.0,115.0,13.0,210.0,23.0,23.0,94.0,165.0,159.0,86.0,48.0,32.0,68.0,187.0,365.0,14.0,189.0,46.0,24.0,1.0,82.0,0.0,64.0,2.0,68.0,75.0,123.0,2.0,188.0,11.0,13.0,7.0,471.0,10.0,11.0,27.0,90.0,13.0,0.0,79.0,0.0,87.0,65.0,13.0,153.0,7.0,48.0,83.0,200.0,4.0,21.0,0.0,0.0,146.0,21.0,0.0,143.0,159.0,12.0,313.0,0.0,0.0,100.0,3.0,0.0,0.0,70.0,35.0,2.0,1.0,3.0,3.0,56.0,0.0,67.0,7.0,0.0,0.0,0.0,86.0,95.0,3.0,44.0,61.0,2.0
8,20791292.0,14.0,33.0,39.0,30.0,132.0,18.0,91.0,0.0,123.0,0.0,51.0,92.0,7.0,89.0,5.0,3.0,5.0,60.0,206.0,31.0,32.0,11.0,39.0,65.0,97.0,3.0,51.0,22.0,16.0,3.0,29.0,0.0,17.0,0.0,4.0,40.0,49.0,1.0,84.0,9.0,1.0,32.0,150.0,5.0,13.0,28.0,92.0,7.0,0.0,117.0,0.0,54.0,45.0,6.0,89.0,6.0,38.0,35.0,162.0,2.0,20.0,0.0,0.0,71.0,6.0,0.0,68.0,57.0,1.0,214.0,0.0,0.0,39.0,1.0,0.0,0.0,37.0,3.0,0.0,0.0,1.0,4.0,23.0,0.0,31.0,9.0,0.0,0.0,0.0,36.0,66.0,1.0,20.0,17.0,1.0
9,20801977.0,16.0,85.0,62.0,137.0,385.0,37.0,252.0,123.0,0.0,0.0,200.0,127.0,16.0,244.0,25.0,27.0,56.0,135.0,355.0,185.0,107.0,6.0,104.0,199.0,292.0,2.0,239.0,77.0,21.0,5.0,146.0,0.0,129.0,0.0,41.0,161.0,108.0,10.0,172.0,17.0,23.0,40.0,587.0,25.0,22.0,70.0,120.0,7.0,0.0,103.0,0.0,148.0,160.0,63.0,232.0,30.0,111.0,111.0,396.0,3.0,43.0,0.0,0.0,376.0,23.0,0.0,166.0,206.0,13.0,628.0,0.0,0.0,82.0,4.0,2.0,2.0,165.0,35.0,0.0,1.0,5.0,14.0,51.0,2.0,92.0,11.0,0.0,2.0,2.0,136.0,135.0,12.0,60.0,30.0,2.0
