,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,-1.0,2422081.0,21555552.0,31668901.0,52206201.0,66647830.0,103417313.0,115000873.0,154202065.0,156277913.0,162151197.0,195061906.0,202667966.0,210824047.0,212895664.0,241314646.0,243368411.0,243536865.0,250100275.0,254828321.0,262158535.0,266608011.0,268236675.0,270762885.0,271428783.0,279779428.0,281014187.0,281512993.0,285094191.0,287229977.0,288479798.0,289513787.0,290436372.0,291811441.0,292655292.0,292700867.0,292701683.0,292702777.0,292703780.0,293550520.0,295342500.0,300918727.0,302144631.0,306219093.0,307251688.0,309229420.0,310715125.0,311371515.0,329566290.0,330298961.0,330994588.0,346880715.0,350545056.0,352060988.0,352800057.0,356182668.0,357807943.0,358759267.0,365932691.0,366817100.0,378148257.0,379180251.0,391466277.0,399731647.0,402330335.0,408883794.0,412291455.0,416262133.0,418992848.0,438400242.0
1,2422081.0,0.0,0.0,29.0,23.0,8.0,3.0,12.0,7.0,7.0,4.0,3.0,0.0,3.0,4.0,32.0,0.0,6.0,7.0,8.0,10.0,0.0,3.0,6.0,10.0,3.0,1.0,0.0,0.0,2.0,11.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,5.0,3.0,1.0,1.0,8.0,0.0,31.0,0.0,6.0,0.0,14.0,0.0,0.0,1.0,0.0,8.0,4.0,0.0,4.0,0.0,0.0,1.0,10.0,0.0,0.0
2,21555552.0,0.0,0.0,6.0,17.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,0.0,1.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0
3,31668901.0,29.0,6.0,0.0,46.0,80.0,20.0,269.0,21.0,270.0,21.0,2.0,0.0,86.0,13.0,73.0,3.0,23.0,36.0,97.0,108.0,3.0,134.0,86.0,157.0,65.0,75.0,1.0,0.0,13.0,224.0,0.0,52.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,7.0,1.0,12.0,5.0,221.0,16.0,1.0,63.0,1.0,314.0,0.0,79.0,1.0,144.0,65.0,81.0,1.0,0.0,139.0,7.0,0.0,34.0,2.0,0.0,64.0,53.0,20.0,75.0
4,52206201.0,23.0,17.0,46.0,0.0,19.0,2.0,10.0,12.0,15.0,1.0,0.0,0.0,5.0,5.0,31.0,2.0,2.0,15.0,8.0,1.0,1.0,2.0,25.0,19.0,6.0,1.0,0.0,0.0,2.0,13.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,16.0,3.0,1.0,16.0,0.0,19.0,0.0,4.0,3.0,46.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,6.0,0.0,0.0,2.0,34.0,2.0,3.0
5,66647830.0,8.0,4.0,80.0,19.0,0.0,8.0,54.0,23.0,129.0,48.0,3.0,0.0,24.0,5.0,53.0,0.0,75.0,27.0,61.0,58.0,1.0,164.0,114.0,210.0,25.0,10.0,0.0,0.0,40.0,185.0,0.0,71.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,27.0,3.0,143.0,10.0,1.0,53.0,2.0,169.0,0.0,40.0,1.0,55.0,26.0,14.0,0.0,0.0,30.0,4.0,2.0,17.0,11.0,0.0,23.0,97.0,8.0,12.0
6,103417313.0,3.0,0.0,20.0,2.0,8.0,0.0,16.0,6.0,15.0,14.0,0.0,0.0,4.0,12.0,18.0,0.0,25.0,6.0,24.0,17.0,2.0,26.0,13.0,16.0,5.0,3.0,0.0,0.0,10.0,24.0,0.0,9.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,4.0,31.0,5.0,1.0,27.0,0.0,22.0,0.0,27.0,4.0,4.0,9.0,2.0,0.0,0.0,8.0,2.0,0.0,8.0,0.0,0.0,6.0,15.0,0.0,2.0
7,115000873.0,12.0,3.0,269.0,10.0,54.0,16.0,0.0,18.0,292.0,17.0,5.0,0.0,74.0,14.0,40.0,3.0,19.0,35.0,105.0,97.0,3.0,149.0,49.0,112.0,58.0,80.0,0.0,0.0,14.0,172.0,0.0,47.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,3.0,1.0,10.0,6.0,259.0,19.0,2.0,42.0,1.0,264.0,0.0,78.0,1.0,116.0,74.0,96.0,2.0,0.0,69.0,9.0,0.0,23.0,4.0,0.0,96.0,46.0,12.0,71.0
8,154202065.0,7.0,0.0,21.0,12.0,23.0,6.0,18.0,0.0,33.0,13.0,7.0,0.0,4.0,6.0,49.0,0.0,19.0,10.0,17.0,21.0,5.0,30.0,17.0,24.0,2.0,1.0,1.0,0.0,38.0,22.0,0.0,18.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,5.0,4.0,4.0,11.0,18.0,18.0,7.0,10.0,0.0,17.0,0.0,45.0,4.0,9.0,9.0,2.0,4.0,0.0,11.0,10.0,8.0,16.0,18.0,0.0,5.0,33.0,0.0,1.0
9,156277913.0,7.0,4.0,270.0,15.0,129.0,15.0,292.0,33.0,0.0,42.0,2.0,0.0,62.0,4.0,50.0,1.0,57.0,21.0,92.0,110.0,1.0,187.0,76.0,198.0,50.0,69.0,0.0,0.0,27.0,219.0,0.0,67.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,0.0,14.0,2.0,256.0,22.0,0.0,47.0,0.0,297.0,0.0,82.0,1.0,115.0,71.0,85.0,0.0,0.0,90.0,4.0,3.0,17.0,17.0,0.0,66.0,65.0,16.0,58.0
