,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-1.0,38956977.0,39953073.0,47847315.0,60585863.0,62403925.0,66749319.0,68492468.0,73525922.0,152988012.0,194920096.0,211993075.0,241314646.0,243483518.0,246223044.0,247178120.0,253244593.0,253601596.0,254510174.0,255107141.0,255630029.0,260046126.0,262647765.0,268445390.0,268870600.0,271344336.0,271618974.0,271630118.0,271941454.0,275115527.0,275661557.0,278893978.0,281037352.0,281425389.0,282636043.0,292801277.0,294521931.0,297864735.0,298070708.0,305787501.0,305840713.0,306072972.0,319085150.0,319225412.0,323278429.0,330398551.0,335022271.0,338067793.0,339034131.0,339474731.0,359179176.0,362982252.0,368554948.0,369028288.0,370797277.0,376061066.0,376624739.0,379047891.0,395520618.0,405452697.0,409876365.0,412663554.0,415931947.0,424509446.0
1,38956977.0,0.0,76.0,37.0,0.0,48.0,69.0,6.0,7.0,25.0,17.0,5.0,18.0,7.0,3.0,14.0,19.0,15.0,60.0,12.0,0.0,8.0,57.0,4.0,1.0,9.0,26.0,17.0,45.0,85.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,26.0,0.0,0.0,2.0,31.0,48.0,59.0,35.0,25.0,17.0,8.0,78.0,1.0,7.0,3.0,54.0,11.0,7.0,7.0,16.0,22.0,36.0,2.0,9.0,4.0,9.0,0.0
2,39953073.0,76.0,0.0,13.0,0.0,44.0,86.0,3.0,7.0,9.0,15.0,4.0,11.0,3.0,5.0,15.0,21.0,17.0,96.0,13.0,0.0,6.0,74.0,4.0,0.0,18.0,27.0,32.0,79.0,177.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,57.0,0.0,0.0,4.0,66.0,73.0,207.0,82.0,43.0,34.0,14.0,348.0,0.0,6.0,4.0,195.0,10.0,4.0,4.0,43.0,47.0,63.0,2.0,32.0,3.0,4.0,1.0
3,47847315.0,37.0,13.0,0.0,4.0,41.0,22.0,15.0,241.0,28.0,48.0,10.0,85.0,62.0,2.0,2.0,11.0,5.0,8.0,6.0,1.0,28.0,12.0,34.0,0.0,3.0,65.0,5.0,4.0,8.0,4.0,7.0,7.0,3.0,6.0,23.0,0.0,5.0,0.0,0.0,1.0,4.0,10.0,8.0,7.0,4.0,3.0,2.0,15.0,0.0,21.0,9.0,6.0,134.0,11.0,49.0,6.0,3.0,12.0,16.0,1.0,9.0,36.0,0.0
4,60585863.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,62403925.0,48.0,44.0,41.0,1.0,0.0,119.0,22.0,20.0,7.0,39.0,11.0,121.0,13.0,5.0,8.0,9.0,3.0,23.0,20.0,1.0,9.0,76.0,7.0,2.0,70.0,68.0,9.0,19.0,71.0,3.0,15.0,3.0,11.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,50.0,27.0,27.0,16.0,69.0,3.0,62.0,3.0,19.0,41.0,41.0,14.0,7.0,12.0,18.0,20.0,70.0,3.0,9.0,4.0,14.0,3.0
6,66749319.0,69.0,86.0,22.0,2.0,119.0,0.0,7.0,12.0,9.0,19.0,5.0,48.0,5.0,6.0,8.0,12.0,10.0,49.0,13.0,1.0,2.0,73.0,0.0,1.0,28.0,63.0,18.0,32.0,97.0,5.0,9.0,0.0,3.0,4.0,0.0,0.0,29.0,0.0,0.0,3.0,38.0,54.0,73.0,31.0,25.0,28.0,6.0,126.0,1.0,4.0,14.0,103.0,4.0,3.0,5.0,16.0,29.0,60.0,1.0,12.0,1.0,4.0,8.0
7,68492468.0,6.0,3.0,15.0,0.0,22.0,7.0,0.0,3.0,1.0,25.0,42.0,93.0,6.0,17.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,8.0,3.0,59.0,0.0,0.0,1.0,25.0,26.0,2.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,47.0,0.0,49.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,2.0,6.0,44.0
8,73525922.0,7.0,7.0,241.0,5.0,20.0,12.0,3.0,0.0,8.0,18.0,4.0,32.0,18.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,35.0,2.0,52.0,0.0,0.0,22.0,0.0,0.0,1.0,2.0,9.0,2.0,1.0,0.0,397.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,2.0,8.0,0.0,11.0,4.0,9.0,51.0,4.0,28.0,1.0,0.0,1.0,4.0,1.0,9.0,23.0,0.0
9,152988012.0,25.0,9.0,28.0,0.0,7.0,9.0,1.0,8.0,0.0,9.0,2.0,9.0,3.0,1.0,5.0,7.0,2.0,8.0,4.0,1.0,5.0,4.0,3.0,0.0,2.0,7.0,4.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,9.0,3.0,5.0,2.0,3.0,7.0,0.0,1.0,1.0,4.0,14.0,1.0,7.0,4.0,2.0,5.0,1.0,2.0,1.0,21.0,0.0
10,194920096.0,17.0,15.0,48.0,0.0,39.0,19.0,25.0,18.0,9.0,0.0,56.0,103.0,8.0,22.0,3.0,3.0,5.0,4.0,11.0,0.0,8.0,11.0,10.0,10.0,5.0,74.0,4.0,6.0,9.0,34.0,28.0,2.0,10.0,11.0,0.0,0.0,5.0,0.0,0.0,6.0,2.0,9.0,4.0,3.0,7.0,11.0,2.0,10.0,13.0,9.0,64.0,8.0,49.0,2.0,9.0,4.0,6.0,7.0,5.0,1.0,3.0,12.0,43.0
11,211993075.0,5.0,4.0,10.0,0.0,11.0,5.0,42.0,4.0,2.0,56.0,0.0,260.0,12.0,45.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,3.0,4.0,10.0,0.0,222.0,1.0,2.0,4.0,92.0,98.0,3.0,15.0,18.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,43.0,2.0,185.0,2.0,39.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0,165.0
