,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,-1.0,20097381.0,20801977.0,22846618.0,44148094.0,48300067.0,48959778.0,49666447.0,50645038.0,54216258.0,59503113.0,71207287.0,78787098.0,101710782.0,101824385.0,106001054.0,142555961.0,159167229.0,194594896.0,199190821.0,210824047.0,225618759.0,228637188.0,234460214.0,234987253.0,235002936.0,235023116.0,235027659.0,235031383.0,235035889.0,235061645.0,235066704.0,235144644.0,235202088.0,235361998.0,235572234.0,235573919.0,235589107.0,235590945.0,235595678.0,235600112.0,235600534.0,235602602.0,235621226.0,235630503.0,235632067.0,235635664.0,235646348.0,235654863.0,235659706.0,235660166.0,235660698.0,235667782.0,235671204.0,235677728.0,235682772.0,235684360.0,235685482.0,235698838.0,235699108.0,235704188.0,237522467.0,243343597.0,245059632.0,247247093.0,247494866.0,248948844.0,249846861.0,254766784.0,258536563.0,261885661.0,266620405.0,267190152.0,267822363.0,268445390.0,269197966.0,269680826.0,271791007.0,274246546.0,280666457.0,283022885.0,289143433.0,289594302.0,293967375.0,298770934.0,300918727.0,306977093.0,309930491.0,310790644.0,317401345.0,325249239.0,346760056.0,358127799.0,359509980.0,369028288.0,370501016.0,373157754.0,378523244.0,383602088.0,383968671.0,385160961.0,394285779.0,395989575.0,405438023.0,409731314.0
1,20097381.0,0.0,107.0,91.0,69.0,33.0,41.0,38.0,117.0,11.0,49.0,3.0,29.0,0.0,0.0,2.0,3.0,0.0,32.0,11.0,5.0,22.0,0.0,126.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,21.0,2.0,70.0,5.0,7.0,2.0,35.0,35.0,0.0,9.0,34.0,29.0,5.0,0.0,9.0,12.0,7.0,18.0,1.0,1.0,91.0,16.0,1.0,2.0,15.0,10.0,35.0,13.0,0.0,45.0,19.0,51.0,2.0,13.0,2.0,11.0,2.0,0.0,7.0,0.0,45.0,0.0
2,20801977.0,107.0,0.0,216.0,352.0,232.0,186.0,145.0,386.0,151.0,489.0,67.0,190.0,5.0,0.0,10.0,47.0,0.0,384.0,61.0,25.0,292.0,0.0,159.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,131.0,170.0,121.0,18.0,116.0,73.0,53.0,6.0,240.0,396.0,11.0,32.0,376.0,159.0,38.0,0.0,37.0,63.0,25.0,153.0,49.0,6.0,85.0,155.0,13.0,13.0,129.0,109.0,288.0,94.0,6.0,335.0,69.0,103.0,0.0,104.0,9.0,104.0,14.0,0.0,130.0,2.0,304.0,2.0
3,22846618.0,91.0,216.0,0.0,245.0,76.0,65.0,122.0,312.0,51.0,546.0,41.0,182.0,0.0,5.0,1.0,19.0,0.0,60.0,34.0,9.0,259.0,0.0,178.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,57.0,61.0,32.0,5.0,37.0,9.0,9.0,1.0,108.0,196.0,12.0,8.0,148.0,48.0,14.0,0.0,98.0,23.0,4.0,32.0,19.0,1.0,207.0,61.0,3.0,7.0,33.0,23.0,251.0,28.0,1.0,134.0,53.0,115.0,2.0,20.0,3.0,70.0,2.0,0.0,38.0,0.0,172.0,0.0
4,44148094.0,69.0,352.0,245.0,0.0,154.0,167.0,150.0,394.0,108.0,566.0,50.0,153.0,2.0,10.0,7.0,23.0,0.0,165.0,57.0,22.0,298.0,3.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,172.0,104.0,15.0,39.0,38.0,23.0,8.0,221.0,387.0,10.0,23.0,246.0,73.0,38.0,0.0,45.0,53.0,23.0,88.0,49.0,6.0,77.0,130.0,8.0,22.0,64.0,80.0,262.0,105.0,5.0,218.0,106.0,150.0,5.0,38.0,12.0,106.0,12.0,2.0,109.0,0.0,281.0,1.0
5,48300067.0,33.0,232.0,76.0,154.0,0.0,88.0,82.0,192.0,110.0,326.0,41.0,146.0,2.0,1.0,9.0,21.0,0.0,136.0,244.0,24.0,144.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,119.0,45.0,13.0,30.0,37.0,33.0,6.0,157.0,256.0,8.0,22.0,189.0,109.0,36.0,0.0,12.0,33.0,21.0,98.0,30.0,2.0,29.0,148.0,13.0,17.0,72.0,78.0,162.0,63.0,3.0,169.0,63.0,68.0,3.0,29.0,7.0,75.0,11.0,1.0,79.0,3.0,164.0,1.0
6,48959778.0,41.0,186.0,65.0,167.0,88.0,0.0,62.0,157.0,45.0,152.0,24.0,59.0,1.0,1.0,3.0,14.0,0.0,118.0,25.0,21.0,100.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,45.0,46.0,5.0,52.0,27.0,27.0,3.0,140.0,164.0,6.0,17.0,146.0,72.0,17.0,0.0,14.0,50.0,13.0,51.0,34.0,2.0,50.0,79.0,11.0,12.0,54.0,50.0,139.0,47.0,4.0,163.0,25.0,58.0,0.0,46.0,3.0,58.0,6.0,0.0,59.0,0.0,84.0,2.0
7,49666447.0,38.0,145.0,122.0,150.0,82.0,62.0,0.0,118.0,50.0,146.0,21.0,118.0,2.0,0.0,6.0,15.0,0.0,53.0,24.0,15.0,136.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,273.0,124.0,2.0,22.0,23.0,20.0,4.0,131.0,246.0,6.0,15.0,96.0,50.0,21.0,0.0,15.0,31.0,16.0,59.0,22.0,4.0,40.0,72.0,10.0,14.0,42.0,54.0,105.0,46.0,3.0,110.0,29.0,41.0,0.0,14.0,7.0,34.0,12.0,0.0,78.0,0.0,164.0,2.0
8,50645038.0,117.0,386.0,312.0,394.0,192.0,157.0,118.0,0.0,92.0,685.0,55.0,157.0,4.0,16.0,5.0,19.0,0.0,203.0,110.0,16.0,232.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,106.0,57.0,13.0,76.0,21.0,20.0,3.0,202.0,364.0,7.0,11.0,254.0,65.0,27.0,0.0,38.0,42.0,14.0,61.0,35.0,1.0,129.0,139.0,7.0,13.0,59.0,67.0,238.0,86.0,1.0,236.0,108.0,167.0,1.0,37.0,9.0,102.0,9.0,1.0,63.0,1.0,199.0,0.0
9,54216258.0,11.0,151.0,51.0,108.0,110.0,45.0,50.0,92.0,0.0,205.0,13.0,119.0,1.0,4.0,5.0,3.0,0.0,161.0,42.0,5.0,117.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,116.0,28.0,3.0,10.0,16.0,9.0,1.0,54.0,167.0,1.0,6.0,96.0,61.0,6.0,0.0,4.0,4.0,7.0,55.0,5.0,3.0,9.0,22.0,2.0,5.0,57.0,60.0,46.0,31.0,0.0,60.0,41.0,43.0,1.0,20.0,0.0,13.0,2.0,0.0,40.0,0.0,84.0,1.0
