,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,-1.0,16166657.0,18594520.0,21906466.0,40641696.0,43022178.0,48866020.0,49686518.0,49923648.0,52915212.0,189917222.0,194920096.0,210824047.0,231672811.0,243336397.0,244511558.0,246223044.0,251196980.0,252052670.0,252488678.0,255371410.0,256524628.0,257005678.0,262067630.0,263300487.0,264261873.0,264429719.0,266141540.0,269990099.0,272308325.0,273106559.0,273933503.0,276891481.0,277399791.0,277428389.0,279906429.0,280978003.0,281553266.0,282080237.0,282806019.0,285115375.0,286787984.0,288064331.0,297241163.0,299231191.0,300864688.0,302144631.0,304538938.0,305691248.0,313176788.0,314182036.0,315467525.0,316449522.0,317185026.0,317262357.0,317823400.0,319225412.0,324501150.0,325387681.0,328933147.0,333523377.0,336041527.0,338067793.0,339034131.0,339474731.0,342768599.0,346585747.0,348934165.0,359179176.0,365900970.0,369028288.0,371624190.0,379753339.0,386082293.0,387346317.0,387850747.0,394753847.0,395517232.0,396823485.0,406855411.0,407126132.0,412663554.0,424028809.0,427538029.0,430530678.0,438568464.0,439896774.0,444082604.0
1,16166657.0,0.0,18.0,10.0,13.0,3.0,19.0,50.0,56.0,41.0,12.0,20.0,24.0,4.0,52.0,23.0,3.0,36.0,11.0,3.0,2.0,0.0,21.0,7.0,14.0,26.0,9.0,24.0,11.0,37.0,48.0,2.0,28.0,4.0,11.0,17.0,8.0,10.0,18.0,1.0,2.0,11.0,10.0,5.0,6.0,6.0,3.0,10.0,3.0,9.0,33.0,6.0,0.0,3.0,0.0,9.0,10.0,7.0,19.0,12.0,2.0,28.0,3.0,29.0,1.0,3.0,1.0,15.0,25.0,9.0,44.0,28.0,1.0,94.0,52.0,5.0,3.0,22.0,21.0,6.0,36.0,10.0,1.0,7.0,32.0,5.0,26.0,57.0
2,18594520.0,18.0,0.0,1.0,3.0,7.0,3.0,15.0,12.0,21.0,29.0,15.0,3.0,3.0,5.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,7.0,1.0,4.0,2.0,12.0,5.0,4.0,9.0,0.0,5.0,0.0,4.0,2.0,3.0,2.0,6.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,5.0,3.0,0.0,3.0,6.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,10.0,0.0,2.0,1.0,0.0,1.0,3.0,3.0,2.0,38.0,6.0,0.0,12.0,12.0,0.0,1.0,5.0,6.0,0.0,6.0,1.0,0.0,2.0,2.0,2.0,9.0,23.0
3,21906466.0,10.0,1.0,0.0,0.0,1.0,1.0,8.0,15.0,12.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,14.0,1.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0
4,40641696.0,13.0,3.0,0.0,0.0,0.0,109.0,30.0,21.0,0.0,0.0,10.0,4.0,5.0,13.0,9.0,2.0,7.0,32.0,0.0,24.0,0.0,59.0,1.0,130.0,43.0,58.0,72.0,64.0,7.0,21.0,28.0,78.0,45.0,60.0,104.0,1.0,4.0,61.0,0.0,2.0,9.0,0.0,33.0,55.0,4.0,0.0,3.0,133.0,3.0,98.0,60.0,0.0,2.0,0.0,21.0,156.0,107.0,79.0,6.0,0.0,25.0,6.0,263.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,84.0,0.0,18.0,7.0,0.0,0.0,15.0,0.0,35.0,85.0,1.0,2.0,1.0,3.0,0.0,2.0,143.0
5,43022178.0,3.0,7.0,1.0,0.0,0.0,0.0,3.0,3.0,14.0,16.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,36.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,8.0,5.0
6,48866020.0,19.0,3.0,1.0,109.0,0.0,0.0,26.0,12.0,6.0,1.0,10.0,9.0,5.0,30.0,8.0,2.0,6.0,29.0,0.0,17.0,0.0,70.0,3.0,112.0,58.0,60.0,47.0,43.0,17.0,31.0,38.0,68.0,26.0,41.0,119.0,1.0,5.0,53.0,0.0,1.0,18.0,2.0,39.0,68.0,2.0,0.0,3.0,88.0,17.0,88.0,56.0,0.0,3.0,0.0,40.0,132.0,101.0,96.0,3.0,0.0,25.0,13.0,180.0,0.0,10.0,0.0,3.0,6.0,22.0,3.0,90.0,0.0,22.0,12.0,1.0,0.0,20.0,2.0,50.0,97.0,1.0,5.0,2.0,6.0,1.0,5.0,117.0
7,49686518.0,50.0,15.0,8.0,30.0,3.0,26.0,0.0,107.0,26.0,15.0,35.0,12.0,10.0,33.0,23.0,2.0,18.0,12.0,0.0,11.0,0.0,85.0,7.0,37.0,51.0,14.0,61.0,55.0,35.0,102.0,9.0,73.0,12.0,37.0,34.0,9.0,6.0,36.0,0.0,7.0,19.0,8.0,11.0,13.0,12.0,4.0,11.0,8.0,2.0,79.0,9.0,0.0,4.0,1.0,14.0,22.0,16.0,38.0,16.0,0.0,28.0,5.0,50.0,3.0,4.0,1.0,13.0,21.0,5.0,32.0,47.0,0.0,76.0,57.0,1.0,0.0,42.0,20.0,12.0,111.0,6.0,3.0,11.0,56.0,3.0,25.0,61.0
8,49923648.0,56.0,12.0,15.0,21.0,3.0,12.0,107.0,0.0,32.0,19.0,41.0,21.0,7.0,55.0,17.0,2.0,49.0,8.0,1.0,3.0,0.0,49.0,2.0,15.0,52.0,6.0,46.0,28.0,26.0,68.0,1.0,46.0,2.0,29.0,17.0,4.0,5.0,32.0,0.0,3.0,7.0,4.0,4.0,6.0,12.0,1.0,11.0,2.0,1.0,46.0,2.0,0.0,5.0,0.0,13.0,4.0,10.0,18.0,9.0,0.0,25.0,1.0,24.0,0.0,1.0,0.0,13.0,26.0,3.0,51.0,30.0,0.0,88.0,59.0,5.0,0.0,34.0,29.0,4.0,74.0,10.0,4.0,8.0,43.0,1.0,20.0,53.0
9,52915212.0,41.0,21.0,12.0,0.0,14.0,6.0,26.0,32.0,0.0,37.0,41.0,2.0,5.0,4.0,30.0,17.0,2.0,4.0,2.0,0.0,0.0,1.0,42.0,4.0,1.0,2.0,39.0,2.0,3.0,13.0,2.0,16.0,0.0,0.0,5.0,9.0,51.0,14.0,4.0,3.0,33.0,55.0,0.0,0.0,16.0,43.0,30.0,2.0,13.0,18.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,29.0,19.0,43.0,0.0,7.0,10.0,0.0,3.0,18.0,12.0,18.0,150.0,11.0,0.0,20.0,26.0,2.0,29.0,3.0,11.0,1.0,18.0,1.0,5.0,16.0,30.0,29.0,47.0,38.0
10,189917222.0,12.0,29.0,12.0,0.0,16.0,1.0,15.0,19.0,37.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,41.0,0.0,3.0,12.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0,1.0,3.0,3.0,0.0,1.0,4.0,11.0,2.0,2.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,8.0,4.0,2.0,92.0,2.0,0.0,10.0,11.0,0.0,1.0,2.0,10.0,0.0,8.0,0.0,0.0,4.0,13.0,0.0,17.0,39.0
