,0,1,2,3,4,5,6,7,8,9,10,11,12
0,-1.0,66661768.0,82413703.0,101824385.0,225296478.0,235662702.0,244003312.0,244048907.0,255296863.0,257451454.0,259417000.0,269680826.0,333291502.0
1,66661768.0,0.0,22.0,1.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,0.0,4.0
2,82413703.0,22.0,0.0,2.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,2.0
3,101824385.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,225296478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
5,235662702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,244003312.0,4.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,5.0
7,244048907.0,12.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,8.0
8,255296863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,257451454.0,1.0,0.0,0.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0
10,259417000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,269680826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,333291502.0,4.0,2.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0
