,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
0,-1.0,11527202.0,18447907.0,31394603.0,38473472.0,41555288.0,49704500.0,52915212.0,60585863.0,65705154.0,65766056.0,71294722.0,75055396.0,86713455.0,88955642.0,101824385.0,136668589.0,210824047.0,229423749.0,234958981.0,234987253.0,235002936.0,235016615.0,235017564.0,235027659.0,235031383.0,235038511.0,235049190.0,235061645.0,235120851.0,235133815.0,235144644.0,235239044.0,235244721.0,235311592.0,235327869.0,235371205.0,235372141.0,235412941.0,235571847.0,235572234.0,235573221.0,235573919.0,235585808.0,235589107.0,235593353.0,235595678.0,235600534.0,235602290.0,235604645.0,235617791.0,235619991.0,235627963.0,235628521.0,235629053.0,235629274.0,235632067.0,235633785.0,235635319.0,235635664.0,235636649.0,235636944.0,235637445.0,235637805.0,235642668.0,235644513.0,235649193.0,235653027.0,235653830.0,235656055.0,235659706.0,235659779.0,235660166.0,235660698.0,235661342.0,235662702.0,235663710.0,235666549.0,235667201.0,235667782.0,235671204.0,235672077.0,235675462.0,235676104.0,235677728.0,235677956.0,235678528.0,235682468.0,235685482.0,235689519.0,235691456.0,235693397.0,235697080.0,235698786.0,235700121.0,235708493.0,240864395.0,243130731.0,244118655.0,252379338.0,252702702.0,254460428.0,255630029.0,256148938.0,262232740.0,270762885.0,270770932.0,272259832.0,276654387.0,279154506.0,281118098.0,281669464.0,283718439.0,285831156.0,287229977.0,288168641.0,288599704.0,292175585.0,294017920.0,298112519.0,301514075.0,302144631.0,302448097.0,306275900.0,310769612.0,312905716.0,313618438.0,316144548.0,317262357.0,330994588.0,339034131.0,350725789.0,354708537.0,359179176.0,361525299.0,361947583.0,365187887.0,367585280.0,374893717.0,378522968.0,378709673.0,382287248.0,383925055.0,394271408.0,407433127.0,409228836.0,415808107.0,424560925.0,425932577.0,426039146.0,431498631.0
1,11527202.0,0.0,10.0,2.0,36.0,14.0,1.0,4.0,0.0,15.0,47.0,3.0,0.0,6.0,10.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,20.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,17.0,2.0,0.0,0.0,5.0,13.0,0.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,9.0,0.0,32.0,0.0,0.0,6.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,25.0,0.0,0.0
2,18447907.0,10.0,0.0,5.0,45.0,7.0,0.0,87.0,0.0,43.0,20.0,29.0,15.0,34.0,6.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,11.0,7.0,12.0,0.0,7.0,12.0,29.0,0.0,5.0,0.0,2.0,3.0,13.0,5.0,1.0,3.0,0.0,0.0,20.0,18.0,3.0,19.0,11.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,6.0,3.0,38.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,4.0,0.0
3,31394603.0,2.0,5.0,0.0,11.0,5.0,2.0,1.0,0.0,12.0,12.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,21.0,1.0,11.0,0.0,3.0,4.0,1.0,0.0,11.0,4.0,3.0,5.0,0.0,0.0,2.0,1.0,5.0,4.0,1.0,0.0,0.0,24.0,2.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,4.0,3.0,0.0
4,38473472.0,36.0,45.0,11.0,0.0,173.0,9.0,32.0,0.0,90.0,83.0,9.0,5.0,36.0,42.0,2.0,11.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,47.0,38.0,41.0,14.0,2.0,4.0,18.0,131.0,0.0,4.0,36.0,36.0,12.0,49.0,2.0,19.0,84.0,1.0,0.0,44.0,14.0,44.0,35.0,2.0,0.0,14.0,14.0,48.0,18.0,5.0,0.0,4.0,27.0,13.0,9.0,35.0,0.0,38.0,0.0,32.0,4.0,2.0,18.0,0.0,0.0,0.0,261.0,47.0,0.0,0.0,87.0,13.0,0.0
5,41555288.0,14.0,7.0,5.0,173.0,0.0,1.0,4.0,0.0,17.0,29.0,4.0,1.0,7.0,19.0,0.0,4.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,21.0,9.0,40.0,2.0,0.0,0.0,7.0,37.0,0.0,1.0,21.0,21.0,3.0,23.0,1.0,3.0,19.0,1.0,0.0,15.0,8.0,36.0,33.0,0.0,0.0,3.0,5.0,27.0,6.0,2.0,0.0,0.0,19.0,8.0,2.0,27.0,1.0,22.0,0.0,15.0,1.0,2.0,13.0,0.0,0.0,0.0,214.0,18.0,0.0,0.0,28.0,8.0,0.0
6,49704500.0,1.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,2.0,26.0,0.0,8.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,21.0,7.0,1.0,0.0,0.0,33.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,15.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,7.0,2.0,0.0
7,52915212.0,4.0,87.0,1.0,32.0,4.0,0.0,0.0,0.0,19.0,12.0,33.0,3.0,27.0,3.0,0.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,40.0,3.0,29.0,0.0,23.0,15.0,17.0,0.0,17.0,0.0,12.0,0.0,7.0,5.0,2.0,4.0,0.0,0.0,14.0,8.0,1.0,13.0,43.0,0.0,2.0,42.0,6.0,4.0,1.0,0.0,0.0,7.0,2.0,50.0,12.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,1.0,2.0,0.0
8,60585863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,65705154.0,15.0,43.0,12.0,90.0,17.0,12.0,19.0,0.0,0.0,29.0,11.0,7.0,18.0,11.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,22.0,13.0,4.0,4.0,0.0,3.0,39.0,0.0,4.0,6.0,24.0,4.0,20.0,3.0,9.0,34.0,0.0,0.0,25.0,37.0,10.0,15.0,1.0,0.0,16.0,7.0,25.0,5.0,1.0,1.0,0.0,17.0,5.0,15.0,9.0,1.0,14.0,0.0,5.0,1.0,4.0,8.0,0.0,0.0,0.0,59.0,8.0,0.0,0.0,23.0,3.0,0.0
