,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
20,244152633.0,39.0,254.0,91.0,42.0,84.0,2.0,43.0,77.0,60.0,17.0,159.0,15.0,204.0,51.0,27.0,55.0,76.0,27.0,95.0,0.0,102.0,39.0,117.0,216.0,167.0,180.0,141.0,7.0,7.0,80.0,36.0,4.0,229.0,0.0,36.0,18.0,48.0,65.0,50.0,242.0,74.0,205.0,10.0,3.0,196.0,16.0,4.0
21,244529400.0,30.0,156.0,53.0,33.0,34.0,4.0,29.0,59.0,63.0,9.0,120.0,9.0,67.0,128.0,24.0,76.0,89.0,44.0,131.0,102.0,0.0,31.0,63.0,87.0,255.0,145.0,184.0,11.0,9.0,100.0,57.0,2.0,236.0,0.0,38.0,4.0,112.0,62.0,90.0,106.0,21.0,130.0,7.0,3.0,166.0,27.0,2.0
22,250334613.0,20.0,45.0,20.0,30.0,32.0,1.0,17.0,17.0,20.0,3.0,44.0,26.0,50.0,20.0,11.0,14.0,5.0,4.0,33.0,39.0,31.0,0.0,34.0,34.0,56.0,42.0,47.0,3.0,1.0,19.0,11.0,4.0,61.0,0.0,14.0,80.0,9.0,22.0,8.0,40.0,77.0,46.0,2.0,0.0,25.0,7.0,4.0
23,255056286.0,26.0,192.0,40.0,41.0,52.0,7.0,26.0,30.0,112.0,31.0,115.0,15.0,136.0,72.0,53.0,42.0,85.0,25.0,121.0,117.0,63.0,34.0,0.0,103.0,150.0,53.0,154.0,6.0,10.0,63.0,31.0,2.0,121.0,0.0,19.0,7.0,43.0,40.0,33.0,78.0,34.0,84.0,56.0,2.0,62.0,6.0,4.0
24,255689417.0,33.0,358.0,220.0,31.0,311.0,2.0,77.0,73.0,101.0,12.0,189.0,10.0,219.0,30.0,43.0,44.0,33.0,18.0,97.0,216.0,87.0,34.0,103.0,0.0,156.0,136.0,139.0,9.0,2.0,81.0,31.0,3.0,289.0,0.0,28.0,10.0,26.0,98.0,40.0,292.0,61.0,165.0,12.0,2.0,198.0,15.0,1.0
25,258536563.0,68.0,302.0,84.0,95.0,134.0,4.0,51.0,140.0,144.0,24.0,194.0,18.0,144.0,308.0,75.0,133.0,177.0,81.0,319.0,167.0,255.0,56.0,150.0,156.0,0.0,189.0,340.0,18.0,6.0,206.0,73.0,4.0,443.0,0.0,69.0,17.0,195.0,125.0,197.0,194.0,66.0,275.0,24.0,5.0,232.0,40.0,9.0
26,260314188.0,32.0,149.0,115.0,74.0,61.0,0.0,47.0,105.0,43.0,1.0,164.0,10.0,98.0,65.0,20.0,51.0,39.0,27.0,69.0,180.0,145.0,42.0,53.0,136.0,189.0,0.0,136.0,18.0,6.0,82.0,33.0,0.0,298.0,0.0,29.0,15.0,53.0,56.0,75.0,298.0,72.0,287.0,3.0,1.0,332.0,38.0,1.0
27,262821567.0,69.0,256.0,67.0,55.0,95.0,5.0,56.0,88.0,144.0,22.0,166.0,20.0,129.0,189.0,56.0,108.0,149.0,57.0,224.0,141.0,184.0,47.0,154.0,139.0,340.0,136.0,0.0,12.0,9.0,148.0,68.0,4.0,278.0,0.0,56.0,15.0,154.0,104.0,122.0,140.0,52.0,196.0,40.0,3.0,178.0,30.0,4.0
28,263555244.0,12.0,7.0,8.0,4.0,4.0,0.0,4.0,12.0,2.0,0.0,22.0,2.0,7.0,8.0,2.0,4.0,6.0,3.0,7.0,7.0,11.0,3.0,6.0,9.0,18.0,18.0,12.0,0.0,0.0,6.0,2.0,0.0,20.0,0.0,4.0,1.0,5.0,8.0,6.0,15.0,3.0,12.0,0.0,0.0,17.0,3.0,0.0
29,266562398.0,1.0,10.0,1.0,3.0,0.0,0.0,3.0,2.0,6.0,0.0,6.0,0.0,1.0,6.0,2.0,3.0,5.0,2.0,9.0,7.0,9.0,1.0,10.0,2.0,6.0,6.0,9.0,0.0,0.0,3.0,4.0,0.0,9.0,0.0,2.0,0.0,4.0,3.0,2.0,5.0,0.0,6.0,1.0,0.0,7.0,3.0,0.0
30,269266951.0,31.0,137.0,41.0,29.0,52.0,1.0,35.0,46.0,60.0,15.0,102.0,10.0,68.0,91.0,28.0,68.0,91.0,44.0,123.0,80.0,100.0,19.0,63.0,81.0,206.0,82.0,148.0,6.0,3.0,0.0,35.0,3.0,150.0,0.0,33.0,7.0,67.0,52.0,78.0,97.0,24.0,113.0,17.0,2.0,110.0,16.0,4.0
31,275519557.0,8.0,53.0,9.0,11.0,7.0,2.0,9.0,16.0,23.0,7.0,33.0,6.0,27.0,60.0,12.0,42.0,38.0,17.0,43.0,36.0,57.0,11.0,31.0,31.0,73.0,33.0,68.0,2.0,4.0,35.0,0.0,2.0,61.0,0.0,27.0,1.0,38.0,20.0,40.0,26.0,5.0,43.0,5.0,2.0,44.0,13.0,0.0
32,283718439.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,6.0,4.0,1.0,0.0,3.0,0.0,0.0
33,290039931.0,80.0,398.0,179.0,119.0,195.0,4.0,113.0,184.0,132.0,7.0,319.0,10.0,197.0,182.0,57.0,101.0,99.0,65.0,189.0,229.0,236.0,61.0,121.0,289.0,443.0,298.0,278.0,20.0,9.0,150.0,61.0,3.0,0.0,0.0,70.0,9.0,114.0,161.0,152.0,410.0,81.0,396.0,10.0,1.0,408.0,46.0,6.0
34,294523668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,296526287.0,17.0,41.0,11.0,16.0,13.0,0.0,11.0,25.0,25.0,0.0,42.0,5.0,23.0,31.0,9.0,34.0,16.0,18.0,41.0,36.0,38.0,14.0,19.0,28.0,69.0,29.0,56.0,4.0,2.0,33.0,27.0,1.0,70.0,0.0,0.0,0.0,21.0,23.0,31.0,27.0,6.0,46.0,5.0,0.0,42.0,11.0,0.0
36,302144631.0,16.0,9.0,10.0,5.0,13.0,0.0,3.0,2.0,1.0,1.0,10.0,25.0,18.0,3.0,1.0,2.0,0.0,1.0,7.0,18.0,4.0,80.0,7.0,10.0,17.0,15.0,15.0,1.0,0.0,7.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,117.0,5.0,0.0,0.0,4.0,1.0,7.0
37,304993789.0,6.0,84.0,6.0,6.0,1.0,0.0,1.0,13.0,51.0,20.0,30.0,4.0,12.0,242.0,4.0,71.0,182.0,62.0,129.0,48.0,112.0,9.0,43.0,26.0,195.0,53.0,154.0,5.0,4.0,67.0,38.0,0.0,114.0,0.0,21.0,0.0,0.0,18.0,115.0,27.0,1.0,46.0,14.0,4.0,62.0,10.0,0.0
38,330185697.0,41.0,172.0,54.0,22.0,75.0,4.0,34.0,70.0,82.0,5.0,84.0,4.0,75.0,31.0,44.0,22.0,22.0,19.0,93.0,65.0,62.0,22.0,40.0,98.0,125.0,56.0,104.0,8.0,3.0,52.0,20.0,2.0,161.0,0.0,23.0,1.0,18.0,0.0,34.0,108.0,38.0,136.0,8.0,0.0,84.0,16.0,2.0
39,330229987.0,16.0,84.0,24.0,32.0,9.0,0.0,16.0,46.0,41.0,9.0,51.0,4.0,26.0,147.0,3.0,63.0,111.0,57.0,113.0,50.0,90.0,8.0,33.0,40.0,197.0,75.0,122.0,6.0,2.0,78.0,40.0,0.0,152.0,0.0,31.0,1.0,115.0,34.0,0.0,56.0,4.0,85.0,9.0,1.0,102.0,21.0,0.0
40,353463122.0,70.0,297.0,208.0,89.0,273.0,4.0,141.0,121.0,76.0,2.0,271.0,10.0,200.0,48.0,55.0,50.0,23.0,25.0,84.0,242.0,106.0,40.0,78.0,292.0,194.0,298.0,140.0,15.0,5.0,97.0,26.0,2.0,410.0,0.0,27.0,18.0,27.0,108.0,56.0,0.0,121.0,298.0,1.0,0.0,314.0,27.0,9.0
41,369028288.0,73.0,76.0,46.0,39.0,136.0,1.0,47.0,58.0,51.0,3.0,45.0,20.0,77.0,12.0,35.0,6.0,3.0,2.0,58.0,74.0,21.0,77.0,34.0,61.0,66.0,72.0,52.0,3.0,0.0,24.0,5.0,6.0,81.0,0.0,6.0,117.0,1.0,38.0,4.0,121.0,0.0,87.0,1.0,0.0,40.0,4.0,16.0
42,373482595.0,77.0,288.0,97.0,103.0,165.0,0.0,75.0,156.0,116.0,6.0,196.0,8.0,122.0,76.0,60.0,79.0,66.0,43.0,133.0,205.0,130.0,46.0,84.0,165.0,275.0,287.0,196.0,12.0,6.0,113.0,43.0,4.0,396.0,0.0,46.0,5.0,46.0,136.0,85.0,298.0,87.0,0.0,17.0,1.0,260.0,30.0,5.0
43,378247069.0,3.0,33.0,2.0,2.0,6.0,0.0,1.0,5.0,49.0,42.0,6.0,2.0,8.0,24.0,6.0,11.0,82.0,10.0,23.0,10.0,7.0,2.0,56.0,12.0,24.0,3.0,40.0,0.0,1.0,17.0,5.0,1.0,10.0,0.0,5.0,0.0,14.0,8.0,9.0,1.0,1.0,17.0,0.0,2.0,7.0,1.0,0.0
44,385160961.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,5.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
45,402037439.0,41.0,248.0,150.0,48.0,77.0,2.0,54.0,127.0,66.0,4.0,204.0,8.0,119.0,90.0,24.0,65.0,66.0,39.0,98.0,196.0,166.0,25.0,62.0,198.0,232.0,332.0,178.0,17.0,7.0,110.0,44.0,3.0,408.0,0.0,42.0,4.0,62.0,84.0,102.0,314.0,40.0,260.0,7.0,2.0,0.0,37.0,1.0
46,418834841.0,5.0,22.0,14.0,10.0,8.0,0.0,8.0,13.0,11.0,1.0,20.0,1.0,13.0,22.0,3.0,13.0,6.0,8.0,15.0,16.0,27.0,7.0,6.0,15.0,40.0,38.0,30.0,3.0,3.0,16.0,13.0,0.0,46.0,0.0,11.0,1.0,10.0,16.0,21.0,27.0,4.0,30.0,1.0,0.0,37.0,0.0,0.0
47,425840443.0,3.0,6.0,1.0,5.0,2.0,0.0,2.0,3.0,3.0,0.0,5.0,3.0,6.0,1.0,5.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,9.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,2.0,0.0,9.0,16.0,5.0,0.0,0.0,1.0,0.0,0.0
