,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,-1.0,8378902.0,11277572.0,20753721.0,49765627.0,60568628.0,64234543.0,65269218.0,69853727.0,71207287.0,124999935.0,141530427.0,141850650.0,210824047.0,223236244.0,232181027.0,246223044.0,250846617.0,251794786.0,253753754.0,254766784.0,258694951.0,260764375.0,264429719.0,267190152.0,268566249.0,269472851.0,271791007.0,273520514.0,276573521.0,281669464.0,285115375.0,286198366.0,295740317.0,299566836.0,302144631.0,306147681.0,307512769.0,315212695.0,334291756.0,338067793.0,339474731.0,342208838.0,350493052.0,359179176.0,367473622.0,369028288.0,377022974.0,378326411.0,378581207.0,396823485.0,400060309.0,405827508.0,406558256.0,414854193.0,423782407.0,425423239.0,428152918.0,432012989.0
1,8378902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11277572.0,0.0,0.0,1.0,0.0,7.0,11.0,4.0,15.0,1.0,8.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,37.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,20.0,145.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20753721.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,49765627.0,0.0,0.0,0.0,0.0,11.0,10.0,1.0,1.0,5.0,8.0,0.0,0.0,1.0,1.0,0.0,19.0,1.0,1.0,52.0,1.0,42.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,5.0,1.0,36.0,4.0,10.0,1.0,1.0,14.0,33.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0
5,60568628.0,0.0,7.0,0.0,11.0,0.0,277.0,23.0,29.0,85.0,126.0,27.0,10.0,41.0,3.0,0.0,1.0,7.0,2.0,132.0,12.0,4.0,7.0,9.0,57.0,7.0,0.0,15.0,0.0,3.0,50.0,1.0,1.0,5.0,83.0,5.0,16.0,0.0,10.0,14.0,2.0,4.0,10.0,3.0,39.0,10.0,45.0,2.0,0.0,18.0,47.0,0.0,77.0,0.0,11.0,1.0,3.0,3.0,0.0
6,64234543.0,0.0,11.0,2.0,10.0,277.0,0.0,30.0,27.0,153.0,120.0,30.0,3.0,75.0,6.0,0.0,4.0,19.0,10.0,143.0,15.0,5.0,19.0,8.0,87.0,85.0,0.0,27.0,0.0,14.0,68.0,7.0,0.0,10.0,95.0,5.0,17.0,2.0,16.0,11.0,5.0,3.0,12.0,33.0,48.0,17.0,84.0,12.0,6.0,41.0,53.0,0.0,79.0,0.0,58.0,7.0,7.0,17.0,1.0
7,65269218.0,0.0,4.0,1.0,1.0,23.0,30.0,0.0,11.0,9.0,16.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,1.0,17.0,2.0,5.0,0.0,1.0,14.0,1.0,0.0,1.0,0.0,11.0,4.0,16.0,0.0,0.0,1.0,7.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0
8,69853727.0,0.0,15.0,5.0,1.0,29.0,27.0,11.0,0.0,15.0,35.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,12.0,0.0,0.0,6.0,2.0,0.0,0.0,19.0,2.0,2.0,1.0,3.0,5.0,1.0,0.0,2.0,0.0,5.0,3.0,32.0,1.0,0.0,5.0,9.0,0.0,24.0,0.0,1.0,1.0,1.0,1.0,0.0
9,71207287.0,0.0,1.0,7.0,5.0,85.0,153.0,9.0,15.0,0.0,33.0,9.0,1.0,37.0,1.0,0.0,1.0,10.0,4.0,39.0,7.0,2.0,11.0,4.0,42.0,16.0,0.0,7.0,0.0,2.0,33.0,0.0,0.0,15.0,39.0,3.0,7.0,0.0,6.0,4.0,2.0,0.0,8.0,8.0,25.0,4.0,16.0,6.0,1.0,22.0,24.0,0.0,38.0,0.0,15.0,3.0,5.0,8.0,0.0
