,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
0,-1.0,742143.0,8606342.0,14795451.0,15898695.0,20263645.0,20791292.0,21804882.0,22201334.0,29604379.0,48984831.0,49052075.0,49817093.0,50645038.0,51858867.0,73525922.0,79264947.0,98914416.0,104900245.0,107307337.0,111596475.0,117874804.0,125656811.0,143531181.0,147053731.0,153550209.0,164827760.0,170315949.0,180261346.0,194008664.0,203123011.0,210824047.0,217078361.0,219225568.0,227274347.0,228848615.0,232181027.0,240391988.0,243545094.0,245027772.0,253204705.0,255408158.0,255566546.0,255630029.0,258651798.0,258784349.0,260046126.0,262647765.0,263022323.0,271618974.0,271791007.0,272524094.0,275523472.0,275661557.0,280978003.0,283718439.0,286415104.0,290840403.0,292801277.0,295125390.0,302144631.0,305840713.0,306461651.0,316144548.0,316698915.0,318018013.0,320715595.0,346707708.0,349146547.0,352445450.0,354708537.0,357252820.0,369028288.0,380885436.0,383968671.0,385841976.0,388440784.0,395689000.0,402037439.0,411999037.0,412663554.0,425840443.0,427111253.0
1,742143.0,0.0,12.0,2.0,17.0,0.0,2.0,0.0,67.0,0.0,2.0,0.0,10.0,12.0,0.0,4.0,1.0,2.0,2.0,5.0,0.0,0.0,13.0,0.0,2.0,6.0,38.0,1.0,1.0,0.0,1.0,0.0,7.0,4.0,1.0,16.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0
2,8606342.0,12.0,0.0,141.0,122.0,0.0,22.0,2.0,356.0,3.0,10.0,1.0,107.0,80.0,0.0,14.0,5.0,8.0,10.0,30.0,0.0,25.0,34.0,0.0,4.0,78.0,129.0,19.0,7.0,17.0,5.0,3.0,35.0,55.0,4.0,73.0,0.0,3.0,17.0,3.0,8.0,6.0,6.0,0.0,0.0,6.0,5.0,0.0,58.0,10.0,8.0,18.0,1.0,3.0,1.0,0.0,6.0,13.0,0.0,8.0,1.0,0.0,12.0,0.0,0.0,16.0,1.0,0.0,9.0,0.0,5.0,25.0,13.0,4.0,1.0,1.0,0.0,2.0,43.0,6.0,0.0,2.0,1.0
3,14795451.0,2.0,141.0,0.0,295.0,15.0,81.0,3.0,301.0,20.0,26.0,2.0,305.0,197.0,2.0,64.0,3.0,18.0,60.0,127.0,11.0,75.0,108.0,3.0,25.0,223.0,183.0,93.0,30.0,58.0,9.0,10.0,142.0,130.0,25.0,261.0,0.0,6.0,17.0,13.0,25.0,18.0,14.0,1.0,1.0,10.0,23.0,2.0,167.0,21.0,25.0,41.0,2.0,1.0,0.0,1.0,11.0,28.0,1.0,22.0,17.0,1.0,41.0,0.0,0.0,62.0,1.0,0.0,25.0,4.0,21.0,66.0,92.0,27.0,4.0,20.0,0.0,8.0,94.0,11.0,9.0,6.0,0.0
4,15898695.0,17.0,122.0,295.0,0.0,6.0,195.0,19.0,891.0,38.0,38.0,8.0,1119.0,506.0,1.0,158.0,31.0,20.0,161.0,362.0,35.0,35.0,134.0,2.0,36.0,259.0,241.0,389.0,70.0,124.0,19.0,12.0,278.0,189.0,33.0,276.0,0.0,33.0,71.0,14.0,49.0,46.0,42.0,0.0,3.0,40.0,34.0,1.0,326.0,56.0,81.0,89.0,2.0,7.0,4.0,2.0,47.0,53.0,5.0,50.0,9.0,0.0,49.0,7.0,0.0,184.0,3.0,0.0,34.0,1.0,57.0,53.0,129.0,48.0,6.0,44.0,0.0,20.0,134.0,22.0,11.0,7.0,2.0
5,20263645.0,0.0,0.0,15.0,6.0,0.0,3.0,0.0,16.0,0.0,1.0,0.0,11.0,16.0,0.0,3.0,0.0,2.0,19.0,17.0,35.0,3.0,2.0,1.0,1.0,5.0,7.0,13.0,9.0,9.0,1.0,0.0,14.0,4.0,3.0,6.0,0.0,1.0,9.0,6.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,8.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,7.0,0.0,7.0,0.0,0.0,17.0,0.0,0.0,3.0,1.0,15.0,1.0,73.0,2.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0
6,20791292.0,2.0,22.0,81.0,195.0,3.0,0.0,2.0,123.0,10.0,24.0,6.0,189.0,117.0,1.0,52.0,3.0,8.0,31.0,48.0,4.0,24.0,49.0,0.0,4.0,70.0,88.0,63.0,58.0,50.0,5.0,5.0,85.0,58.0,11.0,134.0,0.0,7.0,5.0,4.0,18.0,16.0,16.0,1.0,0.0,6.0,5.0,0.0,136.0,31.0,13.0,38.0,3.0,3.0,4.0,0.0,11.0,26.0,1.0,22.0,4.0,0.0,28.0,0.0,0.0,36.0,2.0,0.0,20.0,0.0,4.0,25.0,35.0,13.0,2.0,7.0,0.0,5.0,45.0,15.0,5.0,7.0,2.0
7,21804882.0,0.0,2.0,3.0,19.0,0.0,2.0,0.0,18.0,5.0,5.0,0.0,8.0,12.0,0.0,5.0,12.0,0.0,12.0,40.0,2.0,1.0,1.0,0.0,5.0,10.0,7.0,16.0,6.0,4.0,6.0,1.0,9.0,7.0,1.0,8.0,0.0,4.0,2.0,0.0,6.0,8.0,5.0,0.0,0.0,4.0,3.0,1.0,7.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,1.0,0.0,7.0,0.0,3.0,2.0,3.0,1.0,0.0,1.0
8,22201334.0,67.0,356.0,301.0,891.0,16.0,123.0,18.0,0.0,28.0,39.0,5.0,805.0,458.0,1.0,183.0,34.0,30.0,100.0,243.0,19.0,34.0,171.0,4.0,37.0,246.0,408.0,276.0,41.0,116.0,44.0,8.0,296.0,135.0,32.0,343.0,0.0,24.0,135.0,38.0,53.0,47.0,35.0,2.0,0.0,39.0,36.0,7.0,167.0,63.0,38.0,85.0,3.0,4.0,4.0,4.0,44.0,51.0,2.0,43.0,11.0,1.0,28.0,1.0,0.0,164.0,2.0,0.0,34.0,5.0,48.0,55.0,113.0,20.0,2.0,24.0,0.0,28.0,147.0,23.0,6.0,7.0,3.0
9,29604379.0,0.0,3.0,20.0,38.0,0.0,10.0,5.0,28.0,0.0,5.0,2.0,22.0,24.0,1.0,6.0,1.0,1.0,45.0,39.0,1.0,2.0,3.0,0.0,2.0,10.0,9.0,21.0,5.0,7.0,5.0,0.0,12.0,11.0,1.0,10.0,0.0,3.0,3.0,0.0,5.0,6.0,1.0,0.0,2.0,3.0,1.0,0.0,29.0,6.0,22.0,3.0,2.0,1.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0,6.0,1.0,8.0,25.0,0.0,28.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0
