,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,-1.0,257593.0,9378802.0,16174166.0,16542687.0,16990368.0,21801133.0,22510291.0,25905386.0,26067145.0,26718847.0,34947001.0,35158890.0,36935615.0,40692423.0,47379932.0,47950082.0,49008274.0,51478771.0,54308395.0,57811254.0,62842049.0,75055396.0,80293889.0,80791048.0,83845274.0,84424836.0,89351501.0,93011077.0,101411925.0,124407978.0,125797024.0,131803623.0,136208159.0,144477353.0,145832580.0,148509906.0,153465683.0,154961965.0,158482123.0,159065451.0,164583381.0,206738462.0,230637111.0,234958981.0,234987253.0,235027659.0,235038511.0,235049190.0,235061645.0,235120851.0,235327869.0,235378492.0,235396430.0,235431252.0,235573919.0,235581178.0,235590945.0,235595678.0,235602602.0,235621226.0,235623809.0,235628211.0,235632067.0,235633785.0,235635319.0,235635664.0,235636649.0,235637445.0,235646348.0,235654863.0,235656055.0,235657683.0,235659779.0,235661342.0,235665778.0,235666549.0,235674459.0,235675462.0,235676104.0,235679167.0,235683160.0,235693397.0,235700121.0,235708493.0,238169051.0,243997708.0,244071747.0,244117260.0,244152633.0,246340444.0,247438302.0,248010895.0,255689417.0,258536563.0,260314188.0,262821567.0,266720939.0,269680826.0,270934983.0,278914984.0,282256180.0,282635105.0,283718439.0,289192501.0,293202820.0,294523668.0,297664153.0,299716452.0,302039432.0,302144631.0,309041796.0,312862050.0,313203705.0,313799444.0,317401345.0,333557711.0,339855935.0,349146547.0,357252820.0,361525299.0,362115130.0,362145115.0,369028288.0,376344961.0,402037439.0,405452697.0,406558256.0,414109253.0,421837588.0,424552302.0
1,257593.0,0.0,94.0,2.0,57.0,121.0,142.0,18.0,97.0,25.0,348.0,41.0,132.0,101.0,37.0,27.0,147.0,63.0,204.0,429.0,73.0,35.0,14.0,13.0,150.0,15.0,12.0,327.0,302.0,1.0,45.0,219.0,116.0,79.0,66.0,49.0,183.0,127.0,195.0,32.0,122.0,6.0,56.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,170.0,49.0,62.0,121.0,125.0,54.0,147.0,142.0,181.0,92.0,158.0,4.0,0.0,0.0,135.0,0.0,48.0,5.0,1.0,8.0,0.0,2.0,17.0,332.0,18.0,48.0,5.0,32.0,38.0,256.0,43.0,6.0,50.0,30.0,1.0,1.0,1.0,230.0,0.0,89.0,19.0,2.0,60.0,17.0,3.0
2,9378802.0,94.0,0.0,0.0,20.0,8.0,22.0,1.0,25.0,1.0,59.0,2.0,31.0,1.0,10.0,0.0,63.0,12.0,62.0,51.0,39.0,7.0,1.0,0.0,29.0,10.0,0.0,39.0,135.0,0.0,6.0,71.0,15.0,36.0,6.0,9.0,25.0,17.0,15.0,1.0,13.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,67.0,8.0,9.0,23.0,8.0,4.0,24.0,53.0,23.0,42.0,19.0,0.0,0.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,5.0,12.0,1.0,1.0,2.0,36.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,41.0,7.0,0.0,2.0,0.0,0.0
3,16174166.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,16542687.0,57.0,20.0,1.0,0.0,37.0,15.0,6.0,16.0,5.0,41.0,7.0,12.0,21.0,29.0,4.0,81.0,13.0,52.0,67.0,12.0,6.0,4.0,1.0,55.0,6.0,0.0,24.0,43.0,0.0,3.0,29.0,14.0,10.0,6.0,16.0,16.0,33.0,25.0,12.0,13.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,29.0,1.0,10.0,15.0,18.0,14.0,36.0,31.0,26.0,6.0,19.0,1.0,0.0,0.0,24.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,4.0,30.0,1.0,4.0,0.0,4.0,26.0,29.0,10.0,1.0,10.0,11.0,0.0,0.0,0.0,22.0,0.0,12.0,3.0,0.0,6.0,3.0,0.0
5,16990368.0,121.0,8.0,1.0,37.0,0.0,32.0,8.0,31.0,13.0,67.0,12.0,23.0,19.0,11.0,22.0,51.0,25.0,58.0,104.0,8.0,16.0,8.0,5.0,42.0,18.0,4.0,74.0,79.0,0.0,1.0,26.0,49.0,23.0,33.0,32.0,52.0,81.0,44.0,31.0,54.0,5.0,29.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,22.0,11.0,26.0,32.0,57.0,49.0,84.0,32.0,67.0,10.0,40.0,4.0,0.0,0.0,21.0,0.0,49.0,3.0,0.0,2.0,0.0,0.0,9.0,92.0,10.0,7.0,0.0,23.0,35.0,75.0,19.0,0.0,19.0,4.0,0.0,0.0,0.0,189.0,0.0,18.0,5.0,0.0,24.0,18.0,1.0
6,21801133.0,142.0,22.0,0.0,15.0,32.0,0.0,23.0,45.0,16.0,99.0,22.0,49.0,7.0,10.0,11.0,42.0,70.0,106.0,84.0,31.0,41.0,4.0,6.0,31.0,9.0,3.0,85.0,181.0,0.0,9.0,87.0,54.0,46.0,35.0,12.0,64.0,52.0,44.0,7.0,75.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,42.0,24.0,53.0,32.0,53.0,27.0,80.0,73.0,76.0,25.0,58.0,3.0,0.0,0.0,4.0,0.0,17.0,2.0,0.0,2.0,0.0,0.0,9.0,86.0,2.0,11.0,7.0,11.0,1.0,83.0,28.0,0.0,11.0,15.0,0.0,0.0,0.0,35.0,0.0,35.0,3.0,0.0,20.0,6.0,0.0
7,22510291.0,18.0,1.0,0.0,6.0,8.0,23.0,0.0,15.0,13.0,19.0,31.0,7.0,4.0,7.0,10.0,2.0,21.0,66.0,12.0,22.0,23.0,8.0,4.0,10.0,3.0,3.0,14.0,68.0,0.0,0.0,10.0,17.0,6.0,36.0,7.0,5.0,32.0,13.0,7.0,71.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15.0,9.0,33.0,24.0,28.0,31.0,26.0,0.0,18.0,1.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,48.0,0.0,0.0,3.0,6.0,1.0,64.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,0.0,23.0,2.0,0.0
8,25905386.0,97.0,25.0,0.0,16.0,31.0,45.0,15.0,0.0,18.0,129.0,13.0,37.0,11.0,26.0,21.0,72.0,30.0,89.0,128.0,75.0,15.0,11.0,8.0,28.0,6.0,3.0,26.0,123.0,0.0,15.0,81.0,46.0,55.0,45.0,16.0,19.0,72.0,52.0,41.0,53.0,1.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,35.0,26.0,5.0,97.0,69.0,34.0,38.0,115.0,111.0,80.0,85.0,4.0,0.0,0.0,5.0,0.0,18.0,4.0,0.0,3.0,0.0,0.0,8.0,96.0,4.0,30.0,1.0,17.0,0.0,81.0,12.0,0.0,25.0,11.0,0.0,0.0,0.0,63.0,0.0,84.0,5.0,0.0,34.0,12.0,0.0
9,26067145.0,25.0,1.0,0.0,5.0,13.0,16.0,13.0,18.0,0.0,27.0,8.0,6.0,6.0,9.0,12.0,11.0,22.0,43.0,24.0,16.0,24.0,4.0,5.0,20.0,5.0,0.0,15.0,52.0,0.0,3.0,7.0,25.0,7.0,17.0,73.0,8.0,44.0,20.0,8.0,50.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,6.0,14.0,31.0,68.0,28.0,20.0,23.0,3.0,26.0,5.0,0.0,0.0,5.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,5.0,34.0,0.0,1.0,0.0,10.0,2.0,31.0,15.0,0.0,4.0,1.0,0.0,0.0,0.0,14.0,0.0,8.0,2.0,0.0,32.0,5.0,0.0
