,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,-1.0,257593.0,8182262.0,16131860.0,16218776.0,17648230.0,19719446.0,24436542.0,27187343.0,37303498.0,40569347.0,46634901.0,46640967.0,56567360.0,68638036.0,73938917.0,88877316.0,90462707.0,91419075.0,92405215.0,100664808.0,101868031.0,103510582.0,109448397.0,109980164.0,116496187.0,124407978.0,133331774.0,148686224.0,150881077.0,152388511.0,162371105.0,176123374.0,192477353.0,195976296.0,196120000.0,197309389.0,207026848.0,207420361.0,207669328.0,210824047.0,217078361.0,219922207.0,227452005.0,238169051.0,241413139.0,241899180.0,243245945.0,243336397.0,243453870.0,245717053.0,245859327.0,245979058.0,246578837.0,249101464.0,252426369.0,253596561.0,257197718.0,258019953.0,259105109.0,261121484.0,268184418.0,269680826.0,270762885.0,271787365.0,271791007.0,272524094.0,275576176.0,276579513.0,286229334.0,287229977.0,288479798.0,289574030.0,289680934.0,296532899.0,296709793.0,306296054.0,307251688.0,307768573.0,311371515.0,314101925.0,317262357.0,321335111.0,326336700.0,326341109.0,326411032.0,330657168.0,360188787.0,369028288.0,373801351.0,376306383.0,378550330.0,384671106.0,389575276.0,395445890.0,396449208.0,420285181.0,420351613.0,426039339.0,427111253.0,433935305.0
1,257593.0,0.0,0.0,188.0,635.0,69.0,9.0,215.0,375.0,321.0,358.0,70.0,46.0,98.0,29.0,177.0,8.0,101.0,219.0,113.0,11.0,224.0,14.0,0.0,86.0,44.0,45.0,3.0,27.0,191.0,117.0,217.0,8.0,462.0,36.0,108.0,46.0,6.0,140.0,29.0,26.0,175.0,11.0,250.0,165.0,218.0,0.0,72.0,36.0,20.0,29.0,9.0,58.0,54.0,74.0,71.0,5.0,41.0,61.0,30.0,51.0,17.0,0.0,57.0,469.0,50.0,112.0,17.0,3.0,182.0,23.0,66.0,9.0,27.0,6.0,27.0,98.0,11.0,69.0,8.0,0.0,1.0,16.0,0.0,3.0,66.0,12.0,2.0,230.0,139.0,71.0,8.0,127.0,4.0,2.0,16.0,116.0,106.0,11.0,10.0,0.0
2,8182262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16131860.0,188.0,0.0,0.0,109.0,120.0,14.0,94.0,141.0,443.0,226.0,49.0,70.0,24.0,18.0,123.0,9.0,23.0,369.0,17.0,17.0,188.0,8.0,0.0,29.0,73.0,107.0,1.0,13.0,107.0,23.0,150.0,6.0,254.0,25.0,59.0,18.0,6.0,41.0,43.0,53.0,227.0,16.0,119.0,71.0,126.0,0.0,12.0,111.0,6.0,15.0,6.0,43.0,27.0,18.0,74.0,2.0,61.0,43.0,62.0,8.0,32.0,0.0,158.0,28.0,13.0,126.0,8.0,4.0,104.0,25.0,200.0,3.0,10.0,22.0,16.0,61.0,33.0,62.0,7.0,0.0,1.0,0.0,0.0,2.0,59.0,4.0,3.0,76.0,107.0,159.0,0.0,103.0,4.0,0.0,48.0,13.0,33.0,2.0,15.0,0.0
4,16218776.0,635.0,0.0,109.0,0.0,27.0,13.0,186.0,251.0,111.0,244.0,34.0,22.0,83.0,11.0,182.0,2.0,72.0,95.0,70.0,2.0,205.0,4.0,0.0,103.0,8.0,13.0,0.0,10.0,128.0,135.0,103.0,10.0,705.0,17.0,36.0,28.0,2.0,91.0,14.0,13.0,158.0,8.0,164.0,161.0,150.0,0.0,36.0,14.0,8.0,27.0,3.0,15.0,25.0,53.0,51.0,3.0,11.0,34.0,13.0,25.0,7.0,0.0,32.0,349.0,68.0,72.0,7.0,0.0,101.0,4.0,23.0,6.0,23.0,3.0,24.0,49.0,4.0,73.0,2.0,0.0,1.0,15.0,0.0,3.0,53.0,10.0,0.0,257.0,71.0,44.0,7.0,54.0,1.0,1.0,9.0,37.0,94.0,0.0,4.0,0.0
5,17648230.0,69.0,0.0,120.0,27.0,0.0,3.0,25.0,27.0,73.0,45.0,37.0,49.0,3.0,2.0,29.0,6.0,17.0,120.0,9.0,11.0,35.0,4.0,0.0,7.0,20.0,52.0,0.0,5.0,31.0,7.0,98.0,0.0,53.0,30.0,11.0,3.0,1.0,14.0,13.0,32.0,63.0,7.0,44.0,64.0,27.0,0.0,7.0,75.0,3.0,4.0,0.0,11.0,17.0,7.0,39.0,1.0,39.0,15.0,43.0,4.0,34.0,0.0,59.0,22.0,7.0,70.0,2.0,0.0,30.0,5.0,86.0,7.0,2.0,21.0,6.0,18.0,21.0,16.0,5.0,0.0,0.0,7.0,0.0,0.0,28.0,0.0,2.0,29.0,26.0,150.0,0.0,58.0,5.0,0.0,42.0,13.0,9.0,1.0,19.0,0.0
6,19719446.0,9.0,0.0,14.0,13.0,3.0,0.0,13.0,37.0,7.0,28.0,2.0,0.0,5.0,2.0,18.0,0.0,1.0,9.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,7.0,0.0,62.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,14.0,1.0,4.0,2.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
7,24436542.0,215.0,0.0,94.0,186.0,25.0,13.0,0.0,141.0,80.0,139.0,16.0,15.0,47.0,14.0,93.0,0.0,35.0,58.0,38.0,3.0,106.0,5.0,0.0,28.0,6.0,7.0,0.0,2.0,43.0,41.0,52.0,2.0,197.0,12.0,27.0,28.0,2.0,51.0,10.0,9.0,116.0,4.0,91.0,69.0,78.0,0.0,12.0,8.0,2.0,9.0,1.0,8.0,16.0,26.0,26.0,0.0,9.0,20.0,11.0,0.0,6.0,0.0,28.0,126.0,22.0,45.0,6.0,0.0,74.0,1.0,21.0,4.0,9.0,3.0,10.0,25.0,9.0,47.0,2.0,0.0,1.0,6.0,0.0,1.0,25.0,2.0,0.0,90.0,30.0,28.0,0.0,27.0,0.0,0.0,6.0,12.0,46.0,1.0,4.0,0.0
8,27187343.0,375.0,0.0,141.0,251.0,27.0,37.0,141.0,0.0,157.0,259.0,32.0,18.0,129.0,18.0,186.0,0.0,71.0,130.0,75.0,3.0,135.0,3.0,0.0,36.0,9.0,29.0,0.0,4.0,80.0,85.0,111.0,3.0,586.0,15.0,41.0,69.0,1.0,52.0,18.0,9.0,129.0,3.0,138.0,93.0,344.0,0.0,17.0,10.0,6.0,27.0,4.0,12.0,14.0,21.0,40.0,3.0,16.0,20.0,19.0,2.0,6.0,0.0,35.0,101.0,54.0,71.0,5.0,0.0,109.0,3.0,30.0,9.0,14.0,8.0,13.0,38.0,5.0,55.0,2.0,0.0,1.0,4.0,0.0,3.0,34.0,1.0,0.0,125.0,29.0,43.0,0.0,44.0,1.0,1.0,8.0,19.0,156.0,2.0,3.0,0.0
9,37303498.0,321.0,0.0,443.0,111.0,73.0,7.0,80.0,157.0,0.0,297.0,45.0,25.0,68.0,8.0,101.0,3.0,64.0,604.0,63.0,4.0,168.0,1.0,0.0,31.0,10.0,63.0,1.0,5.0,215.0,45.0,134.0,2.0,314.0,13.0,16.0,29.0,2.0,80.0,13.0,19.0,211.0,8.0,134.0,123.0,155.0,0.0,4.0,36.0,7.0,16.0,1.0,13.0,10.0,7.0,38.0,1.0,16.0,9.0,28.0,3.0,10.0,0.0,40.0,63.0,22.0,123.0,11.0,3.0,86.0,7.0,101.0,5.0,13.0,17.0,5.0,23.0,10.0,47.0,1.0,0.0,1.0,5.0,0.0,2.0,46.0,2.0,0.0,116.0,17.0,72.0,1.0,69.0,0.0,0.0,14.0,30.0,91.0,1.0,3.0,0.0
